T	w(CU)	w(FE)	w(TI)	fs	w(CU@BCC_A2)	w(FE@BCC_A2)	w(TI@BCC_A2)	w(CU@LIQUID)	w(FE@LIQUID)	w(TI@LIQUID)	dwdT_L(CU@LIQUID)	dwdT_L(FE@LIQUID)	dwdT_L(TI@LIQUID)	-T	fw(@BCC_A2)	-T//fw(@BCC_A2)	-T_1	fs_1	-T//fs	
K	%	%	%	mole/mole	%	%	%	%	%	%	SI	SI	SI		kg/kg					
1577.454519	0	0	100	1	0	0	100							-1577.454519	1	NaN	-1577.454519	1	NaN	
1574.894519	0	0	100	1	0	0	100							-1574.894519	1	NaN	-1574.894519	1	NaN	
1572.334519	0	0	100	1	0	0	100							-1572.334519	1	NaN	-1572.334519	1	NaN	
1569.774519	0	0	100	1	0	0	100							-1569.774519	1	NaN	-1569.774519	1	NaN	
1567.214519	0	0	100	1	0	0	100							-1567.214519	1	NaN	-1567.214519	1	NaN	
1564.654519	0	0	100	1	0	0	100							-1564.654519	1	NaN	-1564.654519	1	NaN	
1562.094519	0	0	100	1	0	0	100							-1562.094519	1	NaN	-1562.094519	1	NaN	
1559.534519	0	0	100	1	0	0	100							-1559.534519	1	NaN	-1559.534519	1	NaN	
1556.974519	0	0	100	1	0	0	100							-1556.974519	1	NaN	-1556.974519	1	NaN	
1554.414519	0	0	100	1	0	0	100							-1554.414519	1	NaN	-1554.414519	1	NaN	
1551.854519	0	0	100	1	0	0	100							-1551.854519	1	NaN	-1551.854519	1	NaN	
1549.294519	0	0	100	1	0	0	100							-1549.294519	1	NaN	-1549.294519	1	NaN	
1546.734519	0	0	100	1	0	0	100							-1546.734519	1	NaN	-1546.734519	1	NaN	
1544.174519	0	0	100	1	0	0	100							-1544.174519	1	NaN	-1544.174519	1	NaN	
1541.614519	0	0	100	1	0	0	100							-1541.614519	1	NaN	-1541.614519	1	NaN	
1539.054519	0	0	100	1	0	0	100							-1539.054519	1	NaN	-1539.054519	1	NaN	
1536.494519	0	0	100	1	0	0	100							-1536.494519	1	NaN	-1536.494519	1	NaN	
1533.934519	0	0	100	1	0	0	100							-1533.934519	1	NaN	-1533.934519	1	NaN	
1531.374519	0	0	100	1	0	0	100							-1531.374519	1	NaN	-1531.374519	1	NaN	
1528.814519	0	0	100	1	0	0	100							-1528.814519	1	NaN	-1528.814519	1	NaN	
1526.254519	0	0	100	1	0	0	100							-1526.254519	1	NaN	-1526.254519	1	NaN	
1523.694519	0	0	100	1	0	0	100							-1523.694519	1	NaN	-1523.694519	1	NaN	
1521.134519	0	0	100	1	0	0	100							-1521.134519	1	NaN	-1521.134519	1	NaN	
1518.574519	0	0	100	1	0	0	100							-1518.574519	1	NaN	-1518.574519	1	NaN	
1516.014519	0	0	100	1	0	0	100							-1516.014519	1	NaN	-1516.014519	1	NaN	
1513.454519	0	0	100	1	0	0	100							-1513.454519	1	NaN	-1513.454519	1	NaN	
1510.894519	0	0	100	1	0	0	100							-1510.894519	1	NaN	-1510.894519	1	NaN	
1508.334519	0	0	100	1	0	0	100							-1508.334519	1	NaN	-1508.334519	1	NaN	
1505.774519	0	0	100	1	0	0	100							-1505.774519	1	NaN	-1505.774519	1	NaN	
1503.214519	0	0	100	1	0	0	100							-1503.214519	1	NaN	-1503.214519	1	NaN	
1500.654519	0	0	100	1	0	0	100							-1500.654519	1	NaN	-1500.654519	1	NaN	
1498.094519	0	0	100	1	0	0	100							-1498.094519	1	NaN	-1498.094519	1	NaN	
1495.534519	0	0	100	1	0	0	100							-1495.534519	1	NaN	-1495.534519	1	NaN	
1492.974519	0	0	100	1	0	0	100							-1492.974519	1	NaN	-1492.974519	1	NaN	
1490.414519	0	0	100	1	0	0	100							-1490.414519	1	NaN	-1490.414519	1	NaN	
1487.854519	0	0	100	1	0	0	100							-1487.854519	1	NaN	-1487.854519	1	NaN	
1485.294519	0	0	100	1	0	0	100							-1485.294519	1	NaN	-1485.294519	1	NaN	
1482.734519	0	0	100	1	0	0	100							-1482.734519	1	NaN	-1482.734519	1	NaN	
1480.174519	0	0	100	1	0	0	100							-1480.174519	1	NaN	-1480.174519	1	NaN	
1477.614519	0	0	100	1	0	0	100							-1477.614519	1	NaN	-1477.614519	1	NaN	
1475.054519	0	0	100	1	0	0	100							-1475.054519	1	NaN	-1475.054519	1	NaN	
1472.494519	0	0	100	1	0	0	100							-1472.494519	1	NaN	-1472.494519	1	NaN	
1469.934519	0	0	100	1	0	0	100							-1469.934519	1	NaN	-1469.934519	1	NaN	
1467.374519	0	0	100	1	0	0	100							-1467.374519	1	NaN	-1467.374519	1	NaN	
1464.814519	0	0	100	1	0	0	100							-1464.814519	1	NaN	-1464.814519	1	NaN	
1462.254519	0	0	100	1	0	0	100							-1462.254519	1	NaN	-1462.254519	1	NaN	
1459.694519	0	0	100	1	0	0	100							-1459.694519	1	NaN	-1459.694519	1	NaN	
1457.134519	0	0	100	1	0	0	100							-1457.134519	1	NaN	-1457.134519	1	NaN	
1454.574519	0	0	100	1	0	0	100							-1454.574519	1	NaN	-1454.574519	1	NaN	
1452.014519	0	0	100	1	0	0	100							-1452.014519	1	NaN	-1452.014519	1	NaN	
1449.454519	0	0	100	1	0	0	100							-1449.454519	1	NaN	-1449.454519	1	NaN	
1446.894519	0	0	100	1	0	0	100							-1446.894519	1	NaN	-1446.894519	1	NaN	
1444.334519	0	0	100	1	0	0	100							-1444.334519	1	NaN	-1444.334519	1	NaN	
1441.774519	0	0	100	1	0	0	100							-1441.774519	1	NaN	-1441.774519	1	NaN	
1439.214519	0	0	100	1	0	0	100							-1439.214519	1	NaN	-1439.214519	1	NaN	
1436.654519	0	0	100	1	0	0	100							-1436.654519	1	NaN	-1436.654519	1	NaN	
1434.094519	0	0	100	1	0	0	100							-1434.094519	1	NaN	-1434.094519	1	NaN	
1431.534519	0	0	100	1	0	0	100							-1431.534519	1	NaN	-1431.534519	1	NaN	
1428.974519	0	0	100	1	0	0	100							-1428.974519	1	NaN	-1428.974519	1	NaN	
1426.414519	0	0	100	1	0	0	100							-1426.414519	1	NaN	-1426.414519	1	NaN	
1423.854519	0	0	100	1	0	0	100							-1423.854519	1	NaN	-1423.854519	1	NaN	
1421.294519	0	0	100	1	0	0	100							-1421.294519	1	NaN	-1421.294519	1	NaN	
1418.734519	0	0	100	1	0	0	100							-1418.734519	1	NaN	-1418.734519	1	NaN	
1416.174519	0	0	100	1	0	0	100							-1416.174519	1	NaN	-1416.174519	1	NaN	
1413.614519	0	0	100	1	0	0	100							-1413.614519	1	NaN	-1413.614519	1	NaN	
1411.054519	0	0	100	1	0	0	100							-1411.054519	1	NaN	-1411.054519	1	NaN	
1408.494519	0	0	100	1	0	0	100							-1408.494519	1	NaN	-1408.494519	1	NaN	
1405.934519	0	0	100	1	0	0	100							-1405.934519	1	NaN	-1405.934519	1	NaN	
1403.374519	0	0	100	1	0	0	100							-1403.374519	1	NaN	-1403.374519	1	NaN	
1400.814519	0	0	100	1	0	0	100							-1400.814519	1	NaN	-1400.814519	1	NaN	
1398.254519	0	0	100	1	0	0	100							-1398.254519	1	NaN	-1398.254519	1	NaN	
1395.694519	0	0	100	1	0	0	100							-1395.694519	1	NaN	-1395.694519	1	NaN	
1393.134519	0	0	100	1	0	0	100							-1393.134519	1	NaN	-1393.134519	1	NaN	
1390.574519	0	0	100	1	0	0	100							-1390.574519	1	NaN	-1390.574519	1	NaN	
1388.014519	0	0	100	1	0	0	100							-1388.014519	1	NaN	-1388.014519	1	NaN	
1385.454519	0	0	100	1	0	0	100							-1385.454519	1	NaN	-1385.454519	1	NaN	
1382.894519	0	0	100	1	0	0	100							-1382.894519	1	NaN	-1382.894519	1	NaN	
