T	w(CU)	w(FE)	w(TI)	fs	fw(@BCC_A2)	w(CU@BCC_A2)	w(FE@BCC_A2)	w(TI@BCC_A2)	w(CU@LIQUID)	w(FE@LIQUID)	w(TI@LIQUID)	w(CU@HCP_A3)	w(FE@HCP_A3)	w(TI@HCP_A3)	w(CU@CUTI2)	w(FE@CUTI2)	w(TI@CUTI2)	dwdT_L(CU@LIQUID)	dwdT_L(FE@LIQUID)	dwdT_L(TI@LIQUID)	-T	fw(@BCC_A2)_1	-T//fw(@BCC_A2)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	%	%	%	SI	SI	SI				
1749.01362	3	0	97	1	1	2.999999999	0	97													-1749.01362	1	NaN	
1746.45362	3	0	97	1	1	2.999999999	0	97													-1746.45362	1	NaN	
1743.89362	3	0	97	1	1	2.999999999	0	97													-1743.89362	1	NaN	
1741.33362	3	0	97	1	1	2.999999999	0	97													-1741.33362	1	NaN	
1738.77362	3	0	97	1	1	2.999999999	0	97													-1738.77362	1	NaN	
1736.21362	3	0	97	1	1	2.999999999	0	97													-1736.21362	1	NaN	
1733.65362	3	0	97	1	1	2.999999999	0	97													-1733.65362	1	NaN	
1731.09362	3	0	97	1	1	2.999999999	0	97													-1731.09362	1	NaN	
1728.53362	3	0	97	1	1	2.999999999	0	97													-1728.53362	1	NaN	
1725.97362	3	0	97	1	1	2.999999999	0	97													-1725.97362	1	NaN	
1723.41362	3	0	97	1	1	2.999999999	0	97													-1723.41362	1	NaN	
1720.85362	3	0	97	1	1	2.999999999	0	97													-1720.85362	1	NaN	
1718.29362	3	0	97	1	1	2.999999999	0	97													-1718.29362	1	NaN	
1715.73362	3	0	97	1	1	2.999999999	0	97													-1715.73362	1	NaN	
1713.17362	3	0	97	1	1	2.999999999	0	97													-1713.17362	1	NaN	
1710.61362	3	0	97	1	1	2.999999999	0	97													-1710.61362	1	NaN	
1708.05362	3	0	97	1	1	2.999999999	0	97													-1708.05362	1	NaN	
1705.49362	3	0	97	1	1	2.999999999	0	97													-1705.49362	1	NaN	
1702.93362	3	0	97	1	1	2.999999999	0	97													-1702.93362	1	NaN	
1700.37362	3	0	97	1	1	2.999999999	0	97													-1700.37362	1	NaN	
