T	w(AL)	w(CU)	w(SI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(CU@FCC_A1)	w(SI@FCC_A1)	w(AL@LIQUID)	w(CU@LIQUID)	w(SI@LIQUID)	dwdT_L(AL@LIQUID)	dwdT_L(CU@LIQUID)	dwdT_L(SI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	SI	SI	SI				
914.7408328	100	0	0	1	1	100	0	0							-914.7408328	1	NaN	
914.6608328	100	0	0	1	1	100	0	0							-914.6608328	1	NaN	
914.5808328	100	0	0	1	1	100	0	0							-914.5808328	1	NaN	
914.5008328	100	0	0	1	1	100	0	0							-914.5008328	1	NaN	
914.4208328	100	0	0	1	1	100	0	0							-914.4208328	1	NaN	
914.3408328	100	0	0	1	1	100	0	0							-914.3408328	1	NaN	
914.2608328	100	0	0	1	1	100	0	0							-914.2608328	1	NaN	
914.1808328	100	0	0	1	1	100	0	0							-914.1808328	1	NaN	
914.1008328	100	0	0	1	1	100	0	0							-914.1008328	1	NaN	
914.0208328	100	0	0	1	1	100	0	0							-914.0208328	1	NaN	
913.9408328	100	0	0	1	1	100	0	0							-913.9408328	1	NaN	
913.8608328	100	0	0	1	1	100	0	0							-913.8608328	1	NaN	
913.7808328	100	0	0	1	1	100	0	0							-913.7808328	1	NaN	
913.7008328	100	0	0	1	1	100	0	0							-913.7008328	1	NaN	
913.6208328	100	0	0	1	1	100	0	0							-913.6208328	1	NaN	
913.5408328	100	0	0	1	1	100	0	0							-913.5408328	1	NaN	
913.4608328	100	0	0	1	1	100	0	0							-913.4608328	1	NaN	
913.3808328	100	0	0	1	1	100	0	0							-913.3808328	1	NaN	
913.3008328	100	0	0	1	1	100	0	0							-913.3008328	1	NaN	
913.2208328	100	0	0	1	1	100	0	0							-913.2208328	1	NaN	
913.1408328	100	0	0	1	1	100	0	0							-913.1408328	1	NaN	
913.0608328	100	0	0	1	1	100	0	0							-913.0608328	1	NaN	
912.9808328	100	0	0	1	1	100	0	0							-912.9808328	1	NaN	
912.9008328	100	0	0	1	1	100	0	0							-912.9008328	1	NaN	
912.8208328	100	0	0	1	1	100	0	0							-912.8208328	1	NaN	
912.7408328	100	0	0	1	1	100	0	0							-912.7408328	1	NaN	
