T	w(AL)	w(CU)	w(LI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(CU@FCC_A1)	w(LI@FCC_A1)	w(AL@LIQUID)	w(CU@LIQUID)	w(LI@LIQUID)	w(AL@ALCULI_T2)	w(CU@ALCULI_T2)	w(LI@ALCULI_T2)	w(AL@ALLI)	w(CU@ALLI)	w(LI@ALLI)	dwdT_L(AL@LIQUID)	dwdT_L(CU@LIQUID)	dwdT_L(LI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	%	%	%	SI	SI	SI				
697.1339207	88	8	4	1	0.7222348111	97.79078828	0.1445814099	2.064630315				62.54235303	28.42537001	9.032276954							-697.1339207	0.7222348111	-10881.7622312957	
694.5739207	88	8	4	1	0.7220055517	97.80198076	0.1356013739	2.062417869				62.54235303	28.42537001	9.032276954							-694.5739207	0.7220055517	-11488.1122704239	
692.0139207	88	8	4	1	0.7217884691	97.81258532	0.1270930415	2.060321638				62.54235303	28.42537001	9.032276954							-692.0139207	0.7217884691	-12137.51454278	
689.4539207	88	8	4	1	0.721583073	97.82262487	0.1190380376	2.058337096				62.54235303	28.42537001	9.032276954							-689.4539207	0.721583073	-12833.3825858071	
686.8939207	88	8	4	1	0.7213888817	97.832122	0.1114182296	2.056459774				62.54235303	28.42537001	9.032276954							-686.8939207	0.7213888817	-13579.4202777109	
684.3339207	88	8	4	1	0.7212054224	97.84109896	0.1042157621	2.054685275				62.54235303	28.42537001	9.032276954							-684.3339207	0.7212054224	-14379.6543434575	
681.7739207	88	8	4	1	0.7210322322	97.84957764	0.09741308905	2.053009274				62.54235303	28.42537001	9.032276954							-681.7739207	0.7210322322	-15238.4235527778	
679.2139207	88	8	4	1	0.7208688576	97.8575795	0.09099300806	2.051427491				62.54235303	28.42537001	9.032276954							-679.2139207	0.7208688576	-16160.605412214	
676.6539207	88	8	4	1	0.7207148589	97.86512547	0.08493866132	2.049935867				62.54235303	28.42537001	9.032276954							-676.6539207	0.7207148589	-17151.3885640808	
674.0939207	88	8	4	1	0.7205698049	97.8722361	0.07923359923	2.048530297				62.54235303	28.42537001	9.032276954							-674.0939207	0.7205698049	-18216.3518360834	
671.5339207	88	8	4	1	0.7204332769	97.8789314	0.07386177115	2.047206827				62.54235303	28.42537001	9.032276954							-671.5339207	0.7204332769	-19361.7136306379	
668.9739207	88	8	4	1	0.7203048683	97.88523084	0.06880755043	2.045961606				62.54235303	28.42537001	9.032276954							-668.9739207	0.7203048683	-20594.2235588452	
666.4139207	88	8	4	1	0.7201841848	97.89115336	0.06405574891	2.044790894				62.54235303	28.42537001	9.032276954							-666.4139207	0.7201841848	-21894.7697451405	
666.3339207	88	8	4	1	0.7201805344	97.89133256	0.06391196668	2.044755474				62.54235303	28.42537001	9.032276954							-666.3339207	0.7201805344	-21934.6516630223	
666.2939207	88	8	4	1	0.7201787116	97.89142203	0.0638401805	2.044737788				62.54235303	28.42537001	9.032276954							-666.2939207	0.7201787116	-21953.9010484027	
666.2739207	88	8	4	1	0.7201778008	97.89146674	0.06380431367	2.044728951				62.54235303	28.42537001	9.032276954							-666.2739207	0.7201778008	-21965.3109970313	
666.2651466	88	8	4	1	0.7201774014	97.89148634	0.06378858432	2.044725076				62.54235303	28.42537001	9.032276954	81.69890164	0	18.30109836				-666.2651466	0.7201774014	-21166.4642935071	
666.2439207	88	8	4	1	0.7201679792	97.89170991	0.06377199827	2.044518095				62.54235303	28.42537001	9.032276954	81.69887077	0	18.30112923				-666.2439207	0.7201679792	-2253.24065412981	
666.2239207	88	8	4	1	0.7201591049	97.89192053	0.06375637364	2.044323093				62.54235303	28.42537001	9.032276954	81.69884167	0	18.30115833				-666.2239207	0.7201591049	-2253.65232915067	
666.1839207	88	8	4	1	0.7201413552	97.89234177	0.06372513218	2.043933099				62.54235303	28.42537001	9.032276954	81.69878349	0	18.30121651				-666.1839207	0.7201413552	-2253.72856298723	
666.1039207	88	8	4	1	0.7201058638	97.89318411	0.06366268279	2.043153212				62.54235303	28.42537001	9.032276954	81.6986671	0	18.3013329				-666.1039207	0.7201058638	-2254.40509828156	
665.9439207	88	8	4	1	0.7200349129	97.89486823	0.06353791811	2.041593847				62.54235303	28.42537001	9.032276954	81.69843423	0	18.30156577				-665.9439207	0.7200349129	-2255.75916721445	
665.6239207	88	8	4	1	0.719893139	97.89823432	0.06328892463	2.038476752				62.54235303	28.42537001	9.032276954	81.69796809	0	18.30203191				-665.6239207	0.719893139	-2258.47580694784	
664.9839207	88	8	4	1	0.7196101025	97.90495782	0.06279307726	2.0322491				62.54235303	28.42537001	9.032276954	81.6970343	0	18.3029657				-664.9839207	0.7196101025	-2263.92566627415	
663.7039207	88	8	4	1	0.7190460699	97.91837013	0.06180990925	2.019819961				62.54235303	28.42537001	9.032276954	81.69516064	0	18.30483936				-663.7039207	0.7190460699	-2274.88628925153	
661.1439207	88	8	4	1	0.7179261289	97.94505614	0.05987742317	1.995066434				62.54235303	28.42537001	9.032276954	81.69138913	0	18.30861087				-661.1439207	0.7179261289	-2296.98095221819	
658.5839207	88	8	4	1	0.7168169531	97.97155766	0.05798958416	1.97045276				62.54235303	28.42537001	9.032276954	81.68758552	0	18.31241448				-658.5839207	0.7168169531	-2319.29964056725	
656.0239207	88	8	4	1	0.7157184625	97.99787502	0.05614580629	1.945979175				62.54235303	28.42537001	9.032276954	81.68375002	0	18.31624998				-656.0239207	0.7157184625	-2341.88653524459	
653.4639207	88	8	4	1	0.7146305786	98.02400858	0.05434550252	1.921645919				62.54235303	28.42537001	9.032276954	81.6798828	0	18.3201172				-653.4639207	0.7146305786	-2364.74797713291	
650.9039207	88	8	4	1	0.7135532245	98.04995867	0.05258808464	1.897453244				62.54235303	28.42537001	9.032276954	81.67598405	0	18.32401595				-650.9039207	0.7135532245	-2387.88977109367	
648.3439207	88	8	4	1	0.7124863241	98.07572563	0.05087296334	1.873401411				62.54235303	28.42537001	9.032276954	81.67205396	0	18.32794604				-648.3439207	0.7124863241	-2411.31808556936	
645.7839207	88	8	4	1	0.711429803	98.10130976	0.0491995483	1.849490688				62.54235303	28.42537001	9.032276954	81.6680927	0	18.3319073				-645.7839207	0.711429803	-2435.03975456243	
643.2239207	88	8	4	1	0.710383588	98.1267114	0.04756724835	1.825721354				62.54235303	28.42537001	9.032276954	81.66410043	0	18.33589957				-643.2239207	0.710383588	-2459.06107086817	
640.6639207	88	8	4	1	0.7093476069	98.15193083	0.0459754715	1.802093694				62.54235303	28.42537001	9.032276954	81.66007733	0	18.33992267				-640.6639207	0.7093476069	-2483.38905467799	
638.1039207	88	8	4	1	0.7083217891	98.17696837	0.04442362514	1.778608003				62.54235303	28.42537001	9.032276954	81.65602355	0	18.34397645				-638.1039207	0.7083217891	-2508.03097381761	
635.5439207	88	8	4	1	0.707306065	98.2018243	0.04291111611	1.755264583				62.54235303	28.42537001	9.032276954	81.65193926	0	18.34806074				-635.5439207	0.707306065	-2532.99377389656	
