T	w(AL)	w(CU)	w(LI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(CU@FCC_A1)	w(LI@FCC_A1)	w(AL@LIQUID)	w(CU@LIQUID)	w(LI@LIQUID)	w(AL@ALCULI_T2)	w(CU@ALCULI_T2)	w(LI@ALCULI_T2)	w(AL@ALCULI_T1)	w(CU@ALCULI_T1)	w(LI@ALCULI_T1)	dwdT_L(AL@LIQUID)	dwdT_L(CU@LIQUID)	dwdT_L(LI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	%	%	%	SI	SI	SI				
802.1228245	87	10	3	0.6650415073	0.6444754058	96.78119563	0.8957583197	2.323046052	69.26916954	26.50368616	4.227144293							0	0	0	-802.1228245	0.6444754058	528.781114519574	
799.5628245	87	10	3	0.6700931776	0.649240703	96.75281417	0.9132758232	2.333910004	68.94793427	26.8191617	4.232904029							0	0	0	-799.5628245	0.649240703	545.986617526524	
797.0028245	87	10	3	0.6749898816	0.6538576173	96.72445633	0.9309444682	2.344599199	68.63063576	27.13132276	4.238041474							0	0	0	-797.0028245	0.6538576173	562.38171751933	
796.3628245	87	10	3	0.6761928337	0.6549917216	96.71736812	0.9353830396	2.347248836	68.5519221	27.2088413	4.239236599							0	0	0	-796.3628245	0.6549917216	570.19625201803	
796.2028245	87	10	3	0.6764899773	0.6552716151	96.7155978	0.9364969133	2.347905292	68.53226942	27.22820656	4.239524014							0	0	0	-796.2028245	0.6552716151	570.223147805439	
796.1628245	87	10	3	0.6765644643	0.655341807	96.71515499	0.9367750892	2.348069918	68.52736015	27.23304355	4.239596302							0	0	0	-796.1628245	0.655341807	569.533970037374	
796.1495263	87	10	3	0.6765892445	0.6553651608	96.71500776	0.9368675444	2.348124691	68.52572839	27.23465124	4.239620369	62.54235303	28.42537001	9.032276954				0	0	0	-796.1495263	0.6553651608	491.156588693762	
796.1328245	87	10	3	0.6768887403	0.6554580844	96.7150984	0.9374914228	2.347410182	68.52151582	27.23985086	4.238633321	62.54235303	28.42537001	9.032276954				0	0	0	-796.1328245	0.6554580844	179.870470601625	
796.1128245	87	10	3	0.6772467862	0.6555691769	96.71520603	0.9382387514	2.346555222	68.51647204	27.24607579	4.237452166	62.54235303	28.42537001	9.032276954				0	0	0	-796.1128245	0.6555691769	180.153412354541	
796.0728245	87	10	3	0.6779609902	0.6557909071	96.71541927	0.9397337394	2.344846993	68.50639241	27.25851522	4.235092373	62.54235303	28.42537001	9.032276954				0	0	0	-796.0728245	0.6557909071	180.759034468538	
795.9928245	87	10	3	0.6793823309	0.6562317416	96.71583689	0.9427254736	2.341437634	68.4862597	27.28335739	4.230382912	62.54235303	28.42537001	9.032276954				0	0	0	-795.9928245	0.6562317416	182.152177289491	
795.8328245	87	10	3	0.6821966591	0.6571037066	96.71663688	0.9487160144	2.334647104	68.44609975	27.33289606	4.221004187	62.54235303	28.42537001	9.032276954				0	0	0	-795.8328245	0.6571037066	185.063954166149	
795.5128245	87	10	3	0.6877125601	0.6588046825	96.71809719	0.9607255668	2.321177245	68.36619625	27.43139855	4.202405198	62.54235303	28.42537001	9.032276954				0	0	0	-795.5128245	0.6588046825	191.030043041644	
794.8728245	87	10	3	0.6983229877	0.6620602594	96.72046898	0.9848610781	2.29466994	68.20800815	27.62616958	4.165822271	62.54235303	28.42537001	9.032276954				0	0	0	-794.8728245	0.6620602594	202.856674678836	
793.5928245	87	10	3	0.718004663	0.6680315598	96.72309147	1.033614585	2.243293946	67.89777141	28.00724929	4.094979303	62.54235303	28.42537001	9.032276954				0	0	0	-793.5928245	0.6680315598	228.181739996188	
791.0328245	87	10	3	0.752235408	0.6782014227	96.72035935	1.133178367	2.146462285	67.29951463	28.73885448	3.961630882	62.54235303	28.42537001	9.032276954				0	0	0	-791.0328245	0.6782014227	281.954693458992	
788.4728245	87	10	3	0.7810632998	0.6865466692	96.70776553	1.235707527	2.05652694	66.7272074	29.4348871	3.837905501	62.54235303	28.42537001	9.032276954				0	0	0	-788.4728245	0.6865466692	337.938782012712	
