T	w(AL)	w(CU)	w(LI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(CU@FCC_A1)	w(LI@FCC_A1)	w(AL@LIQUID)	w(CU@LIQUID)	w(LI@LIQUID)	w(AL@ALCULI_T2)	w(CU@ALCULI_T2)	w(LI@ALCULI_T2)	w(AL@ALCULI_T1)	w(CU@ALCULI_T1)	w(LI@ALCULI_T1)	w(AL@ALLI)	w(CU@ALLI)	w(LI@ALLI)	dwdT_L(AL@LIQUID)	dwdT_L(CU@LIQUID)	dwdT_L(LI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	SI	SI	SI				
730.4633003	81	14	5	1	0.53348896	97.6018615	0.8410557426	1.557082753				62.54235303	28.42537001	9.032276954	43.36164434	51.06106018	5.577295482							-730.4633003	0.53348896	-2586.66889003559	
727.9033003	81	14	5	1	0.5325045461	97.63886441	0.8228809124	1.538254677				62.54235303	28.42537001	9.032276954	43.36164434	51.06106018	5.577295482							-727.9033003	0.5325045461	-2614.71800918291	
725.3433003	81	14	5	1	0.5315306998	97.67550012	0.8049586664	1.519541213				62.54235303	28.42537001	9.032276954	43.36164434	51.06106018	5.577295482							-725.3433003	0.5315306998	-2643.11345584818	
722.7833003	81	14	5	1	0.5305673235	97.71176924	0.7872883405	1.500942423				62.54235303	28.42537001	9.032276954	43.36164434	51.06106018	5.577295482							-722.7833003	0.5305673235	-2671.86191276881	
720.2233003	81	14	5	1	0.5296143208	97.7476724	0.7698692215	1.482458378				62.54235303	28.42537001	9.032276954	43.36164434	51.06106018	5.577295482							-720.2233003	0.5296143208	-2700.97092858514	
717.6633003	81	14	5	1	0.5286715974	97.7832103	0.7527005482	1.464089156				62.54235303	28.42537001	9.032276954	43.36164434	51.06106018	5.577295482							-717.6633003	0.5286715974	-2730.44786784687	
715.1033003	81	14	5	1	0.5277390599	97.81838364	0.7357815118	1.445834844				62.54235303	28.42537001	9.032276954	43.36164434	51.06106018	5.577295482							-715.1033003	0.5277390599	-2760.30031153964	
712.5433003	81	14	5	1	0.5268166169	97.85319321	0.7191112564	1.427695535				62.54235303	28.42537001	9.032276954	43.36164434	51.06106018	5.577295482							-712.5433003	0.5268166169	-2790.53606690349	
709.9833003	81	14	5	1	0.5259041779	97.88763979	0.7026888801	1.409671327				62.54235303	28.42537001	9.032276954	43.36164434	51.06106018	5.577295482							-709.9833003	0.5259041779	-2821.16300530436	
707.4233003	81	14	5	1	0.5250016542	97.92172424	0.6865134353	1.391762326				62.54235303	28.42537001	9.032276954	43.36164434	51.06106018	5.577295482							-707.4233003	0.5250016542	-2852.18956162087	
704.8633003	81	14	5	1	0.5241089582	97.95544743	0.6705839293	1.373968644				62.54235303	28.42537001	9.032276954	43.36164434	51.06106018	5.577295482							-704.8633003	0.5241089582	-2883.62389565216	
702.3033003	81	14	5	1	0.5232260037	97.98881028	0.6548993252	1.356290397				62.54235303	28.42537001	9.032276954	43.36164434	51.06106018	5.577295482							-702.3033003	0.5232260037	-2915.47444693614	
699.7433003	81	14	5	1	0.5223527056	98.02181375	0.6394585426	1.338727707				62.54235303	28.42537001	9.032276954	43.36164434	51.06106018	5.577295482							-699.7433003	0.5223527056	-2947.75033842096	
697.1833003	81	14	5	1	0.5214889804	98.05445884	0.6242604578	1.3212807				62.54235303	28.42537001	9.032276954	43.36164434	51.06106018	5.577295482							-697.1833003	0.5214889804	-2980.4604851526	
694.6233003	81	14	5	1	0.5206347454	98.08674659	0.6093039048	1.303949507				62.54235303	28.42537001	9.032276954	43.36164434	51.06106018	5.577295482							-694.6233003	0.5206347454	-3013.61383138949	
692.0633003	81	14	5	1	0.5197899193	98.11867806	0.5945876759	1.286734262				62.54235303	28.42537001	9.032276954	43.36164434	51.06106018	5.577295482							-692.0633003	0.5197899193	-3047.22033308622	
689.5033003	81	14	5	1	0.518954422	98.15025437	0.5801105223	1.269635104				62.54235303	28.42537001	9.032276954	43.36164434	51.06106018	5.577295482							-689.5033003	0.518954422	-3081.28941030661	
686.9433003	81	14	5	1	0.5181281743	98.18147667	0.5658711545	1.252652174				62.54235303	28.42537001	9.032276954	43.36164434	51.06106018	5.577295482							-686.9433003	0.5181281743	-3114.27463637365	
685.6633003	81	14	5	1	0.5177182042	98.19695542	0.5588402296	1.24420435				62.54235303	28.42537001	9.032276954	43.36164434	51.06106018	5.577295482							-685.6633003	0.5177182042	-3131.72291286361	
685.5033003	81	14	5	1	0.5176671335	98.19888407	0.55796551	1.243150419				62.54235303	28.42537001	9.032276954	43.36164434	51.06106018	5.577295482							-685.5033003	0.5176671335	-3134.78302378496	
685.4233003	81	14	5	1	0.517641621	98.19984788	0.5575284964	1.242623624				62.54235303	28.42537001	9.032276954	43.36164434	51.06106018	5.577295482							-685.4233003	0.517641621	-3136.23904981437	
685.4033003	81	14	5	1	0.5176352442	98.20008878	0.5574192789	1.242491943				62.54235303	28.42537001	9.032276954	43.36164434	51.06106018	5.577295482							-685.4033003	0.5176352442	-3520.39516714833	
685.3833003	81	14	5	1	0.5176300284	98.20034407	0.5572612299	1.242394702				62.54235303	28.42537001	9.032276954										-685.3833003	0.5176300284	-4741.34216601889	
