T	w(AL)	w(CU)	w(LI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(CU@FCC_A1)	w(LI@FCC_A1)	w(AL@LIQUID)	w(CU@LIQUID)	w(LI@LIQUID)	w(AL@ALLI)	w(CU@ALLI)	w(LI@ALLI)	dwdT_L(AL@LIQUID)	dwdT_L(CU@LIQUID)	dwdT_L(LI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	SI	SI	SI				
630.5564768	98	0	2	1	0.9827133545	98.28771258	0	1.712287419				81.64412749	0	18.35587251				-630.5564768	0.9827133545	-1883.46881691371	
627.9964768	98	0	2	1	0.981360681	98.31073294	0	1.689267056				81.63994483	0	18.36005517				-627.9964768	0.981360681	-1901.83950542051	
625.4364768	98	0	2	1	0.9800210968	98.33360599	0	1.666394014				81.63573252	0	18.36426748				-625.4364768	0.9800210968	-1920.45791734066	
622.8764768	98	0	2	1	0.9786945232	98.35633148	0	1.643668523				81.63149071	0	18.36850929				-622.8764768	0.9786945232	-1939.33018717216	
620.3164768	98	0	2	1	0.9773808833	98.37890918	0	1.621090824				81.6272195	0	18.3727805				-620.3164768	0.9773808833	-1958.46274254017	
617.7564768	98	0	2	1	0.9760801014	98.40133884	0	1.598661164				81.62291903	0	18.37708097				-617.7564768	0.9760801014	-1977.86197001529	
615.1964768	98	0	2	1	0.9747921032	98.4236202	0	1.5763798				81.61858941	0	18.38141059				-615.1964768	0.9747921032	-1997.53457052967	
612.6364768	98	0	2	1	0.9735168157	98.44575301	0	1.554246994				81.61423076	0	18.38576924				-612.6364768	0.9735168157	-2017.48774937942	
610.0764768	98	0	2	1	0.9722541676	98.46773698	0	1.532263019				81.60984318	0	18.39015682				-610.0764768	0.9722541676	-2037.72849249746	
607.5164768	98	0	2	1	0.9710040883	98.48957185	0	1.510428153				81.6054268	0	18.3945732				-607.5164768	0.9710040883	-2058.26416570452	
604.9564768	98	0	2	1	0.969766509	98.51125732	0	1.488742683				81.6009817	0	18.3990183				-604.9564768	0.969766509	-2079.10272637889	
602.3964768	98	0	2	1	0.968541362	98.5327931	0	1.467206901				81.596508	0	18.403492				-602.3964768	0.968541362	-2100.25177559044	
599.8364768	98	0	2	1	0.9673285806	98.55417889	0	1.445821108				81.59200579	0	18.40799421				-599.8364768	0.9673285806	-2121.71955943401	
597.2764768	98	0	2	1	0.9661280996	98.57541439	0	1.42458561				81.58747518	0	18.41252482				-597.2764768	0.9661280996	-2143.51472294414	
594.7164768	98	0	2	1	0.9649398549	98.59649928	0	1.40350072				81.58291624	0	18.41708376				-594.7164768	0.9649398549	-2165.64599295581	
592.1564768	98	0	2	1	0.9637637836	98.61743324	0	1.382566757				81.57832907	0	18.42167093				-592.1564768	0.9637637836	-2188.12214825591	
