T	w(AL)	w(CU)	w(LI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(CU@FCC_A1)	w(LI@FCC_A1)	w(AL@LIQUID)	w(CU@LIQUID)	w(LI@LIQUID)	w(AL@ALCULI_TB)	w(CU@ALCULI_TB)	w(LI@ALCULI_TB)	w(AL@ALCULI_T1)	w(CU@ALCULI_T1)	w(LI@ALCULI_T1)	w(AL@ALCULI_T2)	w(CU@ALCULI_T2)	w(LI@ALCULI_T2)	w(AL@ALLI)	w(CU@ALLI)	w(LI@ALLI)	dwdT_L(AL@LIQUID)	dwdT_L(CU@LIQUID)	dwdT_L(LI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	SI	SI	SI				
738.5408736	96	3	1	1	0.9784963721	97.15667965	1.942398021	0.9009223287				43.66113616	54.84131265	1.497551188	43.36164434	51.06106018	5.577295482										-738.5408736	0.9784963721	-2528.38544229846	
738.2208736	96	3	1	1	0.9783699522	97.16368849	1.93677946	0.89953205				43.66113616	54.84131265	1.497551188	43.36164434	51.06106018	5.577295482										-738.2208736	0.9783699522	-2534.11408875306	
738.0608736	96	3	1	1	0.9783068494	97.1671877	1.933975189	0.8988371087				43.66113616	54.84131265	1.497551188	43.36164434	51.06106018	5.577295482										-738.0608736	0.9783068494	-2536.98260913659	
737.9808736	96	3	1	1	0.9782753248	97.16893601	1.932574304	0.8984896878				43.66113616	54.84131265	1.497551188	43.36164434	51.06106018	5.577295482										-737.9808736	0.9782753248	-2538.420248969	
737.9408736	96	3	1	1	0.9782595692	97.16980984	1.931874174	0.8983159898				43.66113616	54.84131265	1.497551188	43.36164434	51.06106018	5.577295482										-737.9408736	0.9782595692	-2484.09292298719	
737.9208736	96	3	1	1	0.9782514253	97.17026067	1.931502195	0.8982371391							43.36164434	51.06106018	5.577295482										-737.9208736	0.9782514253	-2262.89412768542	
737.9108736	96	3	1	1	0.9782467803	97.17051621	1.931268856	0.8982149328							43.36164434	51.06106018	5.577295482										-737.9108736	0.9782467803	-2152.89888235487	
737.8908736	96	3	1	1	0.9782374909	97.17102719	1.930802315	0.8981704999							43.36164434	51.06106018	5.577295482										-737.8908736	0.9782374909	-2153.18480899163	
737.8508736	96	3	1	1	0.9782189171	97.17204888	1.929869461	0.8980816556							43.36164434	51.06106018	5.577295482										-737.8508736	0.9782189171	-2153.96380330475	
737.7708736	96	3	1	1	0.9781817898	97.17409128	1.928004668	0.8979040541							43.36164434	51.06106018	5.577295482										-737.7708736	0.9781817898	-2155.53746813886	
737.6108736	96	3	1	1	0.9781076166	97.17817205	1.924278746	0.8975491996							43.36164434	51.06106018	5.577295482										-737.6108736	0.9781076166	-2158.69439993545	
737.2908736	96	3	1	1	0.9779595952	97.18631757	1.916841544	0.8968408837							43.36164434	51.06106018	5.577295482										-737.2908736	0.9779595952	-2165.03183761972	
736.6508736	96	3	1	1	0.9776648502	97.20254452	1.902025665	0.8954298187							43.36164434	51.06106018	5.577295482										-736.6508736	0.9776648502	-2177.81558222027	
735.3708736	96	3	1	1	0.9770805345	97.23474262	1.872627412	0.8926299703							43.36164434	51.06106018	5.577295482										-735.3708736	0.9770805345	-2203.81657129458	
732.8108736	96	3	1	1	0.9759324452	97.29811906	1.814762022	0.8871189177							43.36164434	51.06106018	5.577295482										-732.8108736	0.9759324452	-2257.07213779689	
730.2508736	96	3	1	1	0.9748114615	97.36014327	1.758131281	0.8817254527							43.36164434	51.06106018	5.577295482										-730.2508736	0.9748114615	-2311.97285970638	
727.6908736	96	3	1	1	0.9737172398	97.42082447	1.70272676	0.8764487722							43.36164434	51.06106018	5.577295482										-727.6908736	0.9737172398	-2368.85521682077	
725.1308736	96	3	1	1	0.9726494345	97.48017234	1.648539622	0.8712880342							43.36164434	51.06106018	5.577295482										-725.1308736	0.9726494345	-2427.80944791527	
722.5708736	96	3	1	1	0.9716076986	97.53819701	1.595560629	0.8662423588							43.36164434	51.06106018	5.577295482										-722.5708736	0.9716076986	-2488.93055098914	
