T	w(AL)	w(CU)	w(LI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(CU@FCC_A1)	w(LI@FCC_A1)	w(AL@LIQUID)	w(CU@LIQUID)	w(LI@LIQUID)	w(AL@ALCULI_T1)	w(CU@ALCULI_T1)	w(LI@ALCULI_T1)	w(AL@ALCULI_TB)	w(CU@ALCULI_TB)	w(LI@ALCULI_TB)	w(AL@ALCULI_T2)	w(CU@ALCULI_T2)	w(LI@ALCULI_T2)	dwdT_L(AL@LIQUID)	dwdT_L(CU@LIQUID)	dwdT_L(LI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	SI	SI	SI				
778.0856819	82	16	2	1	0.7312227556	96.17372098	2.750664293	1.075614722				43.36164434	51.06106018	5.577295482	43.66113616	54.84131265	1.497551188							-778.0856819	0.7312227556	-2587.17824420184	
777.7656819	82	16	2	1	0.7310992212	96.18269373	2.743117855	1.074188415				43.36164434	51.06106018	5.577295482	43.66113616	54.84131265	1.497551188							-777.7656819	0.7310992212	-2593.57890500178	
777.1256819	82	16	2	1	0.7308530645	96.20058457	2.728079553	1.071335879				43.36164434	51.06106018	5.577295482	43.66113616	54.84131265	1.497551188							-777.1256819	0.7308530645	-2606.42341181135	
775.8456819	82	16	2	1	0.7303643723	96.23614892	2.698219816	1.065631259				43.36164434	51.06106018	5.577295482	43.66113616	54.84131265	1.497551188							-775.8456819	0.7303643723	-2632.29740264275	
773.2856819	82	16	2	1	0.7294012565	96.30641822	2.639356858	1.05422492				43.36164434	51.06106018	5.577295482	43.66113616	54.84131265	1.497551188							-773.2856819	0.7294012565	-2682.65237524613	
770.7256819	82	16	2	1	0.7284554978	96.37556	2.581615508	1.042824495				43.36164434	51.06106018	5.577295482	43.66113616	54.84131265	1.497551188							-770.7256819	0.7284554978	-2732.87208226765	
768.1656819	82	16	2	1	0.7275274354	96.44359563	2.524971984	1.031432382				43.36164434	51.06106018	5.577295482	43.66113616	54.84131265	1.497551188							-768.1656819	0.7275274354	-2784.85817857103	
765.6056819	82	16	2	1	0.7266166591	96.51054578	2.469403315	1.020050909				43.36164434	51.06106018	5.577295482	43.66113616	54.84131265	1.497551188							-765.6056819	0.7266166591	-2837.59199256033	
763.0456819	82	16	2	1	0.7257227725	96.57643034	2.414887308	1.008682349				43.36164434	51.06106018	5.577295482	43.66113616	54.84131265	1.497551188							-763.0456819	0.7257227725	-2891.09051973189	
760.4856819	82	16	2	1	0.7248453934	96.64126858	2.361402508	0.9973289099				43.36164434	51.06106018	5.577295482	43.66113616	54.84131265	1.497551188							-760.4856819	0.7248453934	-2945.37427536258	
757.9256819	82	16	2	1	0.7239841539	96.7050791	2.308928157	0.9859927458				43.36164434	51.06106018	5.577295482	43.66113616	54.84131265	1.497551188							-757.9256819	0.7239841539	-3000.46487500939	
755.3656819	82	16	2	1	0.7231386992	96.76787988	2.257444161	0.9746759542				43.36164434	51.06106018	5.577295482	43.66113616	54.84131265	1.497551188							-755.3656819	0.7231386992	-3056.38384271703	
752.8056819	82	16	2	1	0.722308687	96.82968836	2.206931059	0.9633805799				43.36164434	51.06106018	5.577295482	43.66113616	54.84131265	1.497551188							-752.8056819	0.722308687	-3113.1534320284	
750.2456819	82	16	2	1	0.7214937869	96.89052139	2.157369994	0.9521086161				43.36164434	51.06106018	5.577295482	43.66113616	54.84131265	1.497551188							-750.2456819	0.7214937869	-3170.79733546938	
