T	w(CU)	w(FE)	w(TI)	fs	fw(@BCC_A2)	w(CU@BCC_A2)	w(FE@BCC_A2)	w(TI@BCC_A2)	w(CU@LIQUID)	w(FE@LIQUID)	w(TI@LIQUID)	w(CU@HCP_A3)	w(FE@HCP_A3)	w(TI@HCP_A3)	w(CU@BCC_B2)	w(FE@BCC_B2)	w(TI@BCC_B2)	dwdT_L(CU@LIQUID)	dwdT_L(FE@LIQUID)	dwdT_L(TI@LIQUID)	-T	fw(@BCC_A2)_1	-T//fw(@BCC_A2)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	%	%	%	SI	SI	SI				
1565.148631	0	7	93	1	1	0	6.999999971	93.00000003													-1565.148631	1	NaN	
1562.588631	0	7	93	1	1	0	6.999999971	93.00000003													-1562.588631	1	NaN	
1560.028631	0	7	93	1	1	0	6.999999971	93.00000003													-1560.028631	1	NaN	
1557.468631	0	7	93	1	1	0	6.999999971	93.00000003													-1557.468631	1	NaN	
1554.908631	0	7	93	1	1	0	6.999999971	93.00000003													-1554.908631	1	NaN	
1552.348631	0	7	93	1	1	0	6.999999971	93.00000003													-1552.348631	1	NaN	
1549.788631	0	7	93	1	1	0	6.99999997	93.00000003													-1549.788631	1	NaN	
1547.228631	0	7	93	1	1	0	6.99999997	93.00000003													-1547.228631	1	NaN	
1544.668631	0	7	93	1	1	0	6.99999997	93.00000003													-1544.668631	1	NaN	
1542.108631	0	7	93	1	1	0	6.99999997	93.00000003													-1542.108631	1	NaN	
1539.548631	0	7	93	1	1	0	6.99999997	93.00000003													-1539.548631	1	NaN	
1536.988631	0	7	93	1	1	0	6.99999997	93.00000003													-1536.988631	1	NaN	
1534.428631	0	7	93	1	1	0	6.99999997	93.00000003													-1534.428631	1	NaN	
1531.868631	0	7	93	1	1	0	6.99999997	93.00000003													-1531.868631	1	NaN	
1529.308631	0	7	93	1	1	0	6.99999997	93.00000003													-1529.308631	1	NaN	
1526.748631	0	7	93	1	1	0	6.999999969	93.00000003													-1526.748631	1	NaN	
1524.188631	0	7	93	1	1	0	6.999999969	93.00000003													-1524.188631	1	NaN	
1521.628631	0	7	93	1	1	0	6.999999969	93.00000003													-1521.628631	1	NaN	
1519.068631	0	7	93	1	1	0	6.999999969	93.00000003													-1519.068631	1	NaN	
1516.508631	0	7	93	1	1	0	6.999999969	93.00000003													-1516.508631	1	NaN	
1513.948631	0	7	93	1	1	0	6.999999969	93.00000003													-1513.948631	1	NaN	
1511.388631	0	7	93	1	1	0	6.999999969	93.00000003													-1511.388631	1	NaN	
1508.828631	0	7	93	1	1	0	6.999999968	93.00000003													-1508.828631	1	NaN	
1506.268631	0	7	93	1	1	0	6.999999968	93.00000003													-1506.268631	1	NaN	
1503.708631	0	7	93	1	1	0	6.999999968	93.00000003													-1503.708631	1	NaN	
1501.148631	0	7	93	1	1	0	6.999999968	93.00000003													-1501.148631	1	NaN	
1498.588631	0	7	93	1	1	0	6.999999968	93.00000003													-1498.588631	1	NaN	
1496.028631	0	7	93	1	1	0	6.999999968	93.00000003													-1496.028631	1	NaN	
1493.468631	0	7	93	1	1	0	6.999999968	93.00000003													-1493.468631	1	NaN	
1490.908631	0	7	93	1	1	0	6.999999968	93.00000003													-1490.908631	1	NaN	
1488.348631	0	7	93	1	1	0	6.999999967	93.00000003													-1488.348631	1	NaN	
1485.788631	0	7	93	1	1	0	6.999999967	93.00000003													-1485.788631	1	NaN	
1483.228631	0	7	93	1	1	0	6.999999967	93.00000003													-1483.228631	1	NaN	
1480.668631	0	7	93	1	1	0	6.999999967	93.00000003													-1480.668631	1	NaN	
1478.108631	0	7	93	1	1	0	6.999999967	93.00000003													-1478.108631	1	NaN	
1475.548631	0	7	93	1	1	0	6.999999967	93.00000003													-1475.548631	1	NaN	
1472.988631	0	7	93	1	1	0	6.999999967	93.00000003													-1472.988631	1	NaN	
1470.428631	0	7	93	1	1	0	6.999999966	93.00000003													-1470.428631	1	NaN	
1467.868631	0	7	93	1	1	0	6.999999966	93.00000003													-1467.868631	1	NaN	
1465.308631	0	7	93	1	1	0	6.999999966	93.00000003													-1465.308631	1	NaN	
1462.748631	0	7	93	1	1	0	6.999999966	93.00000003													-1462.748631	1	NaN	
1460.188631	0	7	93	1	1	0	6.999999966	93.00000003													-1460.188631	1	NaN	
1457.628631	0	7	93	1	1	0	6.999999966	93.00000003													-1457.628631	1	NaN	
1455.068631	0	7	93	1	1	0	6.999999965	93.00000003													-1455.068631	1	NaN	
1452.508631	0	7	93	1	1	0	6.999999965	93.00000003													-1452.508631	1	NaN	
1449.948631	0	7	93	1	1	0	6.999999965	93.00000003													-1449.948631	1	NaN	
1447.388631	0	7	93	1	1	0	6.999999965	93.00000003													-1447.388631	1	NaN	
1444.828631	0	7	93	1	1	0	6.999999965	93.00000004													-1444.828631	1	NaN	
1442.268631	0	7	93	1	1	0	6.999999965	93.00000004													-1442.268631	1	NaN	
1439.708631	0	7	93	1	1	0	6.999999965	93.00000004													-1439.708631	1	NaN	
1437.148631	0	7	93	1	1	0	6.999999964	93.00000004													-1437.148631	1	NaN	
1434.588631	0	7	93	1	1	0	6.999999964	93.00000004													-1434.588631	1	NaN	
1432.028631	0	7	93	1	1	0	6.999999964	93.00000004													-1432.028631	1	NaN	
1429.468631	0	7	93	1	1	0	6.999999964	93.00000004													-1429.468631	1	NaN	
1426.908631	0	7	93	1	1	0	6.999999964	93.00000004													-1426.908631	1	NaN	
1424.348631	0	7	93	1	1	0	6.999999964	93.00000004													-1424.348631	1	NaN	
1421.788631	0	7	93	1	1	0	6.999999963	93.00000004													-1421.788631	1	NaN	
1419.228631	0	7	93	1	1	0	6.999999963	93.00000004													-1419.228631	1	NaN	
