T	w(CU)	w(FE)	w(TI)	fs	fw(@BCC_A2)	w(CU@BCC_A2)	w(FE@BCC_A2)	w(TI@BCC_A2)	w(CU@LIQUID)	w(FE@LIQUID)	w(TI@LIQUID)	w(CU@BCC_B2)	w(FE@BCC_B2)	w(TI@BCC_B2)	w(CU@CUTI2)	w(FE@CUTI2)	w(TI@CUTI2)	w(CU@HCP_A3)	w(FE@HCP_A3)	w(TI@HCP_A3)	dwdT_L(CU@LIQUID)	dwdT_L(FE@LIQUID)	dwdT_L(TI@LIQUID)	-T	fw(@BCC_A2)_1	-T//fw(@BCC_A2)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	SI	SI	SI				
1332.647951	12	13	75	1	0.7292391374	6.578482943	10.14510494	83.27641211				26.60175132	20.68907873	52.70916995										-1332.647951	0.7292391374	-5091.824319471	
1332.627951	12	13	75	1	0.7292349771	6.578294614	10.14497243	83.27673295				26.60194958	20.68927221	52.70877821										-1332.627951	0.7292349771	-4796.66181128947	
1332.587951	12	13	75	1	0.7292266004	6.57791765	10.14470764	83.27737471				26.60234538	20.68965916	52.70799546										-1332.587951	0.7292266004	-4775.58735830797	
1332.507951	12	13	75	1	0.7292098516	6.577163749	10.14417802	83.27865823				26.60313708	20.69043317	52.70642975										-1332.507951	0.7292098516	-4776.75637656517	
1332.347951	12	13	75	1	0.7291763602	6.575655993	10.14311877	83.28122524				26.60472022	20.69198099	52.70329879										-1332.347951	0.7291763602	-4777.92150331573	
1332.027951	12	13	75	1	0.7291094016	6.572640668	10.14100019	83.28635914				26.60788538	20.69507581	52.69703881										-1332.027951	0.7291094016	-4780.21936131639	
1331.387951	12	13	75	1	0.7289755807	6.566610757	10.13676269	83.29662656				26.61421125	20.70126219	52.68452656										-1331.387951	0.7289755807	-4784.82342403015	
1330.107951	12	13	75	1	0.7287083261	6.554553911	10.12828632	83.31715977				26.62684531	20.71362215	52.65953254										-1330.107951	0.7287083261	-4793.99721077979	
1327.547951	12	13	75	1	0.7281753353	6.530451989	10.11132823	83.35821978				26.65204177	20.7382901	52.60966814										-1327.547951	0.7281753353	-4811.01571588298	
1324.987951	12	13	75	1	0.727644096	6.506365946	10.09436231	83.39927174				26.6771423	20.76288716	52.55997054										-1324.987951	0.727644096	-4827.11065028849	
1322.427951	12	13	75	1	0.7271146533	6.482295133	10.07738922	83.44031565				26.70214557	20.78741414	52.51044029										-1322.427951	0.7271146533	-4843.50736443808	
1319.867951	12	13	75	1	0.7265870047	6.458239613	10.06040876	83.48135163				26.72705113	20.81187051	52.46107836										-1319.867951	0.7265870047	-4859.83209768578	
1317.307951	12	13	75	1	0.7260611131	6.434199238	10.04342093	83.52237983				26.75185825	20.83625601	52.41188574										-1317.307951	0.7260611131	-4875.92642984153	
1314.747951	12	13	75	1	0.7255369422	6.410173866	10.02642572	83.56340041				26.7765662	20.86057039	52.36286341										-1314.747951	0.7255369422	-4891.79215588323	
1312.187951	12	13	75	1	0.7250144565	6.386163363	10.00942311	83.60441353				26.80117427	20.88481345	52.31401229										-1312.187951	0.7250144565	-4907.43270692082	
1309.627951	12	13	75	1	0.7244936216	6.362167601	9.992413075	83.64541932				26.82568177	20.90898498	52.26533325										-1309.627951	0.7244936216	-4922.85031745275	
1307.067951	12	13	75	1	0.7239744036	6.33818646	9.975395588	83.68641795				26.85008803	20.93308485	52.21682712										-1307.067951	0.7239744036	-4938.04747034272	
1304.507951	12	13	75	1	0.7234567697	6.314219828	9.958370615	83.72740956				26.87439241	20.9571129	52.16849469										-1304.507951	0.7234567697	-4953.02778815826	
1301.947951	12	13	75	1	0.7229406878	6.290267597	9.941338114	83.76839429				26.89859428	20.98106903	52.12033669										-1301.947951	0.7229406878	-4967.7936941977	
1299.387951	12	13	75	1	0.7224261266	6.266329671	9.924298041	83.80937229				26.92269302	21.00495315	52.07235383										-1299.387951	0.7224261266	-4982.34780144965	
1296.827951	12	13	75	1	0.7219130555	6.242405955	9.907250343	83.8503437				26.94668803	21.02876521	52.02454675										-1296.827951	0.7219130555	-4996.6924318409	
1294.267951	12	13	75	1	0.7214014446	6.218496366	9.890194966	83.89130867				26.97057874	21.05250517	51.97691609										-1294.267951	0.7214014446	-5010.83107428729	
1291.707951	12	13	75	1	0.7208912649	6.194600824	9.873131846	83.93226733				26.99436457	21.076173	51.92946242										-1291.707951	0.7208912649	-5024.76591987521	
1289.147951	12	13	75	1	0.7203824878	6.170719258	9.856060916	83.97321983				27.01804498	21.09976873	51.88218629										-1289.147951	0.7203824878	-5038.49985165798	
1286.587951	12	13	75	1	0.7198750857	6.146851602	9.838982103	84.01416629				27.04161943	21.12329238	51.83508819										-1286.587951	0.7198750857	-5052.03639629214	
1284.027951	12	13	75	1	0.7193690315	6.122997798	9.821895331	84.05510687				27.0650874	21.14674399	51.78816861										-1284.027951	0.7193690315	-5065.37727580762	
1281.467951	12	13	75	1	0.7188642987	6.099157795	9.804800515	84.09604169				27.08844837	21.17012366	51.74142798										-1281.467951	0.7188642987	-5078.52535903974	
1278.907951	12	13	75	1	0.7183608615	6.075331546	9.787697566	84.13697089				27.11170184	21.19343146	51.6948667										-1278.907951	0.7183608615	-5091.48366836636	
1276.347951	12	13	75	1	0.7178586947	6.051519012	9.770586392	84.1778946				27.13484734	21.21666751	51.64848515										-1276.347951	0.7178586947	-5104.25436539705	
