T	w(CU)	w(FE)	w(TI)	fs	fw(@BCC_A2)	w(CU@BCC_A2)	w(FE@BCC_A2)	w(TI@BCC_A2)	w(CU@LIQUID)	w(FE@LIQUID)	w(TI@LIQUID)	w(CU@HCP_A3)	w(FE@HCP_A3)	w(TI@HCP_A3)	w(CU@CUTI2)	w(FE@CUTI2)	w(TI@CUTI2)	w(CU@BCC_B2)	w(FE@BCC_B2)	w(TI@BCC_B2)	dwdT_L(CU@LIQUID)	dwdT_L(FE@LIQUID)	dwdT_L(TI@LIQUID)	-T	fw(@BCC_A2)_1	-T//fw(@BCC_A2)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	SI	SI	SI				
1690.976136	4	2	94	1	1	3.999999988	1.999999989	94.00000002																-1690.976136	1	NaN	
1688.416136	4	2	94	1	1	3.999999988	1.999999989	94.00000002																-1688.416136	1	NaN	
1685.856136	4	2	94	1	1	3.999999988	1.999999989	94.00000002																-1685.856136	1	NaN	
1683.296136	4	2	94	1	1	3.999999988	1.999999989	94.00000002																-1683.296136	1	NaN	
1680.736136	4	2	94	1	1	3.999999988	1.999999989	94.00000002																-1680.736136	1	NaN	
1678.176136	4	2	94	1	1	3.999999988	1.999999989	94.00000002																-1678.176136	1	NaN	
1675.616136	4	2	94	1	1	3.999999988	1.999999989	94.00000002																-1675.616136	1	NaN	
1673.056136	4	2	94	1	1	3.999999987	1.999999989	94.00000002																-1673.056136	1	NaN	
1670.496136	4	2	94	1	1	3.999999987	1.999999989	94.00000002																-1670.496136	1	NaN	
1667.936136	4	2	94	1	1	3.999999987	1.999999989	94.00000002																-1667.936136	1	NaN	
1665.376136	4	2	94	1	1	3.999999987	1.999999988	94.00000002																-1665.376136	1	NaN	
1662.816136	4	2	94	1	1	3.999999987	1.999999988	94.00000002																-1662.816136	1	NaN	
1660.256136	4	2	94	1	1	3.999999987	1.999999988	94.00000002																-1660.256136	1	NaN	
1657.696136	4	2	94	1	1	3.999999987	1.999999988	94.00000002																-1657.696136	1	NaN	
1655.136136	4	2	94	1	1	3.999999987	1.999999988	94.00000002																-1655.136136	1	NaN	
1652.576136	4	2	94	1	1	3.999999987	1.999999988	94.00000002																-1652.576136	1	NaN	
1650.016136	4	2	94	1	1	3.999999987	1.999999988	94.00000002																-1650.016136	1	NaN	
1647.456136	4	2	94	1	1	3.999999987	1.999999988	94.00000002																-1647.456136	1	NaN	
1644.896136	4	2	94	1	1	3.999999987	1.999999988	94.00000002																-1644.896136	1	NaN	
1642.336136	4	2	94	1	1	3.999999987	1.999999988	94.00000002																-1642.336136	1	NaN	
1639.776136	4	2	94	1	1	3.999999987	1.999999988	94.00000002																-1639.776136	1	NaN	
1637.216136	4	2	94	1	1	3.999999987	1.999999988	94.00000002																-1637.216136	1	NaN	
1634.656136	4	2	94	1	1	3.999999987	1.999999988	94.00000003																-1634.656136	1	NaN	
1632.096136	4	2	94	1	1	3.999999987	1.999999988	94.00000003																-1632.096136	1	NaN	
1629.536136	4	2	94	1	1	3.999999987	1.999999988	94.00000003																-1629.536136	1	NaN	
1626.976136	4	2	94	1	1	3.999999987	1.999999988	94.00000003																-1626.976136	1	NaN	
1624.416136	4	2	94	1	1	3.999999987	1.999999988	94.00000003																-1624.416136	1	NaN	
1621.856136	4	2	94	1	1	3.999999987	1.999999988	94.00000003																-1621.856136	1	NaN	
1619.296136	4	2	94	1	1	3.999999987	1.999999988	94.00000003																-1619.296136	1	NaN	
1616.736136	4	2	94	1	1	3.999999987	1.999999988	94.00000003																-1616.736136	1	NaN	
1614.176136	4	2	94	1	1	3.999999987	1.999999988	94.00000003																-1614.176136	1	NaN	
1611.616136	4	2	94	1	1	3.999999987	1.999999988	94.00000003																-1611.616136	1	NaN	
1609.056136	4	2	94	1	1	3.999999986	1.999999988	94.00000003																-1609.056136	1	NaN	
1606.496136	4	2	94	1	1	3.999999986	1.999999988	94.00000003																-1606.496136	1	NaN	
1603.936136	4	2	94	1	1	3.999999986	1.999999988	94.00000003																-1603.936136	1	NaN	
1601.376136	4	2	94	1	1	3.999999986	1.999999988	94.00000003																-1601.376136	1	NaN	
1598.816136	4	2	94	1	1	3.999999986	1.999999988	94.00000003																-1598.816136	1	NaN	
