T	w(AL)	w(LI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(LI@FCC_A1)	w(AL@LIQUID)	w(LI@LIQUID)	w(AL@ALLI)	w(LI@ALLI)	dwdT_L(AL@LIQUID)	dwdT_L(LI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	mole/mole	kg/kg	%	%	%	%	%	%	SI	SI				
633.2950902	97	3	1	0.733230215	95.49420105	4.505798945			81.86535702	18.13464298			-633.2950902	0.733230215	NaN	
628.1750902	97	3	1	0.733230215	95.49420105	4.505798945			81.86535702	18.13464298			-628.1750902	0.733230215	NaN	
623.0550902	97	3	1	0.733230215	95.49420105	4.505798945			81.86535702	18.13464298			-623.0550902	0.733230215	NaN	
617.9350902	97	3	1	0.733230215	95.49420105	4.505798945			81.86535702	18.13464298			-617.9350902	0.733230215	NaN	
612.8150902	97	3	1	0.733230215	95.49420105	4.505798945			81.86535702	18.13464298			-612.8150902	0.733230215	NaN	
607.6950902	97	3	1	0.733230215	95.49420105	4.505798945			81.86535702	18.13464298			-607.6950902	0.733230215	NaN	
602.5750902	97	3	1	0.733230215	95.49420105	4.505798945			81.86535702	18.13464298			-602.5750902	0.733230215	NaN	
597.4550902	97	3	1	0.733230215	95.49420105	4.505798945			81.86535702	18.13464298			-597.4550902	0.733230215	NaN	
592.3350902	97	3	1	0.733230215	95.49420105	4.505798945			81.86535702	18.13464298			-592.3350902	0.733230215	NaN	
587.2150902	97	3	1	0.733230215	95.49420105	4.505798945			81.86535702	18.13464298			-587.2150902	0.733230215	NaN	
582.0950902	97	3	1	0.733230215	95.49420105	4.505798945			81.86535702	18.13464298			-582.0950902	0.733230215	NaN	
576.9750902	97	3	1	0.733230215	95.49420105	4.505798945			81.86535702	18.13464298			-576.9750902	0.733230215	NaN	
571.8550902	97	3	1	0.733230215	95.49420105	4.505798945			81.86535702	18.13464298			-571.8550902	0.733230215	NaN	
566.7350902	97	3	1	0.733230215	95.49420105	4.505798945			81.86535702	18.13464298			-566.7350902	0.733230215	NaN	
561.6150902	97	3	1	0.733230215	95.49420105	4.505798945			81.86535702	18.13464298			-561.6150902	0.733230215	NaN	
556.4950902	97	3	1	0.733230215	95.49420105	4.505798945			81.86535702	18.13464298			-556.4950902	0.733230215	NaN	
551.3750902	97	3	1	0.733230215	95.49420105	4.505798945			81.86535702	18.13464298			-551.3750902	0.733230215	NaN	
546.2550902	97	3	1	0.733230215	95.49420105	4.505798945			81.86535702	18.13464298			-546.2550902	0.733230215	NaN	
541.1350902	97	3	1	0.733230215	95.49420105	4.505798945			81.86535702	18.13464298			-541.1350902	0.733230215	NaN	
536.0150902	97	3	1	0.733230215	95.49420105	4.505798945			81.86535702	18.13464298			-536.0150902	0.733230215	NaN	
530.8950902	97	3	1	0.733230215	95.49420105	4.505798945			81.86535702	18.13464298			-530.8950902	0.733230215	NaN	
525.7750902	97	3	1	0.733230215	95.49420105	4.505798945			81.86535702	18.13464298			-525.7750902	0.733230215	NaN	
520.6550902	97	3	1	0.733230215	95.49420105	4.505798945			81.86535702	18.13464298			-520.6550902	0.733230215	NaN	
515.5350902	97	3	1	0.733230215	95.49420105	4.505798945			81.86535702	18.13464298			-515.5350902	0.733230215	NaN	
510.4150902	97	3	1	0.733230215	95.49420105	4.505798945			81.86535702	18.13464298			-510.4150902	0.733230215	NaN	
505.2950902	97	3	1	0.733230215	95.49420105	4.505798945			81.86535702	18.13464298			-505.2950902	0.733230215	NaN	
500.1750902	97	3	1	0.733230215	95.49420105	4.505798945			81.86535702	18.13464298			-500.1750902	0.733230215	NaN	
495.0550902	97	3	1	0.733230215	95.49420105	4.505798945			81.86535702	18.13464298			-495.0550902	0.733230215	NaN	
489.9350902	97	3	1	0.733230215	95.49420105	4.505798945			81.86535702	18.13464298			-489.9350902	0.733230215	NaN	
484.8150902	97	3	1	0.733230215	95.49420105	4.505798945			81.86535702	18.13464298			-484.8150902	0.733230215	NaN	
479.6950902	97	3	1	0.733230215	95.49420105	4.505798945			81.86535702	18.13464298			-479.6950902	0.733230215	NaN	
474.5750902	97	3	1	0.733230215	95.49420105	4.505798945			81.86535702	18.13464298			-474.5750902	0.733230215	NaN	
469.4550902	97	3	1	0.733230215	95.49420105	4.505798945			81.86535702	18.13464298			-469.4550902	0.733230215	NaN	
464.3350902	97	3	1	0.733230215	95.49420105	4.505798945			81.86535702	18.13464298			-464.3350902	0.733230215	NaN	
459.2150902	97	3	1	0.733230215	95.49420105	4.505798945			81.86535702	18.13464298			-459.2150902	0.733230215	NaN	
