T	w(AL)	w(CU)	w(LI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(CU@FCC_A1)	w(LI@FCC_A1)	w(AL@LIQUID)	w(CU@LIQUID)	w(LI@LIQUID)	w(AL@ALCULI_T2)	w(CU@ALCULI_T2)	w(LI@ALCULI_T2)	w(AL@ALCULI_T1)	w(CU@ALCULI_T1)	w(LI@ALCULI_T1)	w(AL@ALCULI_TB)	w(CU@ALCULI_TB)	w(LI@ALCULI_TB)	dwdT_L(AL@LIQUID)	dwdT_L(CU@LIQUID)	dwdT_L(LI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	SI	SI	SI				
711.8437131	83	12	5	1	0.3654868505	96.16506658	2.75794572	1.0769877							43.36164434	51.06106018	5.577295482	43.66113616	54.84131265	1.497551188				-711.8437131	0.3654868505	NaN	
706.7237131	83	12	5	1	0.3654868505	96.16506658	2.75794572	1.0769877							43.36164434	51.06106018	5.577295482	43.66113616	54.84131265	1.497551188				-706.7237131	0.3654868505	NaN	
701.6037131	83	12	5	1	0.3654868505	96.16506658	2.75794572	1.0769877							43.36164434	51.06106018	5.577295482	43.66113616	54.84131265	1.497551188				-701.6037131	0.3654868505	NaN	
696.4837131	83	12	5	1	0.3654868505	96.16506658	2.75794572	1.0769877							43.36164434	51.06106018	5.577295482	43.66113616	54.84131265	1.497551188				-696.4837131	0.3654868505	NaN	
691.3637131	83	12	5	1	0.3654868505	96.16506658	2.75794572	1.0769877							43.36164434	51.06106018	5.577295482	43.66113616	54.84131265	1.497551188				-691.3637131	0.3654868505	NaN	
686.2437131	83	12	5	1	0.3654868505	96.16506658	2.75794572	1.0769877							43.36164434	51.06106018	5.577295482	43.66113616	54.84131265	1.497551188				-686.2437131	0.3654868505	NaN	
681.1237131	83	12	5	1	0.3654868505	96.16506658	2.75794572	1.0769877							43.36164434	51.06106018	5.577295482	43.66113616	54.84131265	1.497551188				-681.1237131	0.3654868505	NaN	
676.0037131	83	12	5	1	0.3654868505	96.16506658	2.75794572	1.0769877							43.36164434	51.06106018	5.577295482	43.66113616	54.84131265	1.497551188				-676.0037131	0.3654868505	NaN	
670.8837131	83	12	5	1	0.3654868505	96.16506658	2.75794572	1.0769877							43.36164434	51.06106018	5.577295482	43.66113616	54.84131265	1.497551188				-670.8837131	0.3654868505	NaN	
665.7637131	83	12	5	1	0.3654868505	96.16506658	2.75794572	1.0769877							43.36164434	51.06106018	5.577295482	43.66113616	54.84131265	1.497551188				-665.7637131	0.3654868505	NaN	
660.6437131	83	12	5	1	0.3654868505	96.16506658	2.75794572	1.0769877							43.36164434	51.06106018	5.577295482	43.66113616	54.84131265	1.497551188				-660.6437131	0.3654868505	NaN	
655.5237131	83	12	5	1	0.3654868505	96.16506658	2.75794572	1.0769877							43.36164434	51.06106018	5.577295482	43.66113616	54.84131265	1.497551188				-655.5237131	0.3654868505	NaN	
650.4037131	83	12	5	1	0.3654868505	96.16506658	2.75794572	1.0769877							43.36164434	51.06106018	5.577295482	43.66113616	54.84131265	1.497551188				-650.4037131	0.3654868505	NaN	
645.2837131	83	12	5	1	0.3654868505	96.16506658	2.75794572	1.0769877							43.36164434	51.06106018	5.577295482	43.66113616	54.84131265	1.497551188				-645.2837131	0.3654868505	NaN	
640.1637131	83	12	5	1	0.3654868505	96.16506658	2.75794572	1.0769877							43.36164434	51.06106018	5.577295482	43.66113616	54.84131265	1.497551188				-640.1637131	0.3654868505	NaN	
