T	w(AL)	w(CU)	w(SI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(CU@FCC_A1)	w(SI@FCC_A1)	w(AL@LIQUID)	w(CU@LIQUID)	w(SI@LIQUID)	w(AL@DIAMOND_A4)	w(CU@DIAMOND_A4)	w(SI@DIAMOND_A4)	w(AL@ALCU_THETA)	w(CU@ALCU_THETA)	w(SI@ALCU_THETA)	dwdT_L(AL@FCC_A1)	dwdT_L(CU@FCC_A1)	dwdT_L(SI@FCC_A1)	dwdT_L(AL@LIQUID)	dwdT_L(CU@LIQUID)	dwdT_L(SI@LIQUID)	dwdT_L(AL@DIAMOND_A4)	dwdT_L(CU@DIAMOND_A4)	dwdT_L(SI@DIAMOND_A4)	dwdT_L(AL@ALCU_THETA)	dwdT_L(CU@ALCU_THETA)	dwdT_L(SI@ALCU_THETA)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	%	%	%	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI				
806.631459	87	3	10	0.8995449247	0.05465149099	95.21422243	3.609062875	1.176714699	71.85494172	20.65479633	7.490261943	3.595928659E-05	0	99.99996404				0.7669740272	-1.079681725	0.3127076976	0	0	0	0.7649731702		0.3136746044				-806.631459	0.05465149099	-875.920882458876	
804.071459	87	3	10	0.9060844308	0.05189192819	94.91802677	3.923103777	1.158869452	71.09795371	21.7249586	7.177087691	3.40506754E-05	0	99.99996595				0.7585629744	-1.071339304	0.3127763296	0	0	0	0.756580432		0.3137063747				-804.071459	0.05189192819	-989.599364615414	
801.511459	87	3	10	0.9119370187	0.04944119722	94.6037736	4.254753236	1.141473164	70.34859476	22.78692271	6.864482529	3.223136167E-05	0	99.99996777				0.7509268546	-1.063162066	0.3122352118	0	0	0	0.7489629369		0.3131294499				-801.511459	0.04944119722	-1109.27204256834	
798.951459	87	3	10	0.9172046521	0.04724784716	94.26930028	4.606163076	1.124536643	69.60628649	23.84057562	6.553137895	3.049775451E-05	0	99.9999695				0.7438691546	-1.054870219	0.3110010639	0	0	0	0.7419240806		0.3118604138				-798.951459	0.04724784716	-1234.29964161067	
796.391459	87	3	10	0.9219693635	0.04527073268	93.91187828	4.980046282	1.108075437	68.8706483	24.88552198	6.243829723	2.884637039E-05	0	99.99997115				0.7371921907	-1.046181646	0.3089894552	0	0	0	0.7352660934		0.3098147212				-796.391459	0.04527073268	-1197.25000233392	
795.111459	87	3	10	0.9241762576	0.02213017451	93.7235044	5.176466001	1.100029595	68.50526509	25.4045308	6.09020411	2.805045204E-05	0	99.99997195				0.3669338643	-0.5202526312	0.1533187669	0	0	0	0.3650172237		0.154127324				-795.111459	0.02213017451	-34.3250241031172	
794.791459	87	3	10	0.9247103947	0.005495492659	93.67532009	5.226642011	1.098037896	68.41417134	25.53390493	6.051923725	2.785450353E-05	0	99.99997215				0.09264373521	-0.130620153	0.03797641779	0	0	0	0.09072935618		0.03878076869				-794.791459	0.005495492659	-52.6107298613509	
794.631459	87	3	10	0.9249752925	0.002743167313	93.65105742	5.251897489	1.097045094	68.36866171	25.59853469	6.032803603	2.775697948E-05	0	99.99997224				0.04705889958	-0.0658765624	0.01881766281	0	0	0	0.04514603335		0.0196198643				-794.631459	0.002743167313	-35.9927308717879	
794.591459	87	3	10	0.9250413499	0.0006863508491	93.64497408	5.258228713	1.096797204	68.35728851	25.6146857	6.028025796	2.773264521E-05	0	99.99997227				0.01292245155	-0.01739814327	0.004475691722	0	0	0	0.01100977722		0.005277412005				-794.591459	0.0006863508491	-52.5506997812356	
794.571459	87	3	10	0.9250742489	0.0003420677097	93.64192971	5.261396988	1.096673305	68.35160244	25.62276037	6.025637193	2.772048509E-05	0	99.99997228				0.007235279402	-0.009321945087	0.002086665684	0	0	0	0.005322741262		0.002888130499				-794.571459	0.0003420677097	-58.3371418913861	
794.561459	87	3	10	0.9250906889	0.0001710078885	93.64040684	5.262981792	1.096611367	68.34875892	25.62679781	6.024443268	2.771440678E-05	0	99.99997229				0.004391948355	-0.005284172598	0.0008922242427	0	0	0	0.0024799627		0.001693786529				-794.561459	0.0001710078885	-58.4787536136735	
