T	w(AL)	w(MG)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(MG@FCC_A1)	w(AL@LIQUID)	w(MG@LIQUID)	dwdT_L(AL@LIQUID)	dwdT_L(MG@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	mole/mole	kg/kg	%	%	%	%	SI	SI				
685.337355	97	3	0.980393681	0.01682780476	80.21778286	19.78221714	61.35417001	38.64582999	0	0	-685.337355	0.01682780476	112287.497738455	
682.777355	97	3	0.9807177362	0.0168577056	79.86309121	20.13690879	61.03680225	38.96319775	0	0	-682.777355	0.0168577056	76109.3018133876	
680.217355	97	3	0.9810372181	0.0168981876	79.50129242	20.49870758	60.71942298	39.28057702	0	0	-680.217355	0.0168981876	57281.9852178513	
677.657355	97	3	0.981352384	0.01694969224	79.13214706	20.86785294	60.40195222	39.59804778	0	0	-677.657355	0.01694969224	45618.9751184737	
675.097355	97	3	0.981663486	0.01701271528	78.75540587	21.24459413	60.0843064	39.9156936	0	0	-675.097355	0.01701271528	37640.0609016293	
672.537355	97	3	0.9819707724	0.01708781252	78.37080913	21.62919087	59.76639799	40.23360201	0	0	-672.537355	0.01708781252	31816.2894571053	
669.977355	97	3	0.982274488	0.01717560651	77.97808591	22.02191409	59.44813512	40.55186488	0	0	-669.977355	0.01717560651	27366.1022974557	
667.417355	97	3	0.9825748752	0.01727679435	77.57695332	22.42304668	59.12942116	40.87057884	0	0	-667.417355	0.01727679435	23846.9576263478	
664.857355	97	3	0.9828721748	0.01739215663	77.16711552	22.83288448	58.81015427	41.18984573	0	0	-664.857355	0.01739215663	20988.9801386275	
662.297355	97	3	0.9831666266	0.01752256794	76.74826275	23.25173725	58.49022684	41.50977316	0	0	-662.297355	0.01752256794	18618.0174202083	
659.737355	97	3	0.9834584707	0.01766900913	76.32007009	23.67992991	58.16952493	41.83047507	0	0	-659.737355	0.01766900913	16616.5752939351	
657.177355	97	3	0.9837479483	0.01783258158	75.88219616	24.11780384	57.84792757	42.15207243	0	0	-657.177355	0.01783258158	14902.4740904096	
654.617355	97	3	0.9840353026	0.01801452411	75.43428158	24.56571842	57.52530608	42.47469392	0	0	-654.617355	0.01801452411	13416.4922215971	
652.057355	97	3	0.9843207802	0.01821623281	74.97594715	25.02405285	57.20152318	42.79847682	0	0	-652.057355	0.01821623281	12114.8710705837	
649.497355	97	3	0.9846046321	0.01843928468	74.50679188	25.49320812	56.87643206	43.12356794	0	0	-649.497355	0.01843928468	10964.5765904018	
646.937355	97	3	0.9848871151	0.01868546572	74.0263906	25.9736094	56.54987527	43.45012473	0	0	-646.937355	0.01868546572	9940.2137796889	
644.377355	97	3	0.9851684934	0.01895680428	73.53429122	26.46570878	56.22168352	43.77831648	0	0	-644.377355	0.01895680428	9021.93259701991	
641.817355	97	3	0.9854490402	0.01925561246	73.03000865	26.96999135	55.89167421	44.10832579	0	0	-641.817355	0.01925561246	8193.95314631032	
639.257355	97	3	0.9857290397	0.01958453874	72.51303237	27.48696763	55.5596498	44.4403502	0	0	-639.257355	0.01958453874	7443.75522452896	
636.697355	97	3	0.9860087892	0.0199466097	71.98280584	28.01719416	55.2253959	44.7746041	0	0	-636.697355	0.0199466097	6761.13739932972	
634.137355	97	3	0.9862886017	0.02034533073	71.43873181	28.56126819	54.88867903	45.11132097	0	0	-634.137355	0.02034533073	6137.59380717856	
631.577355	97	3	0.986568809	0.02078475736	70.8801638	29.1198362	54.54924401	45.45075599	0	0	-631.577355	0.02078475736	5566.26164081161	
629.017355	97	3	0.9868497649	0.02126961312	70.30639899	29.69360101	54.2068109	45.7931891	0	0	-629.017355	0.02126961312	5041.37261812559	
626.457355	97	3	0.9871318495	0.02180543	69.71666967	30.28333033	53.86107129	46.13892871	0	0	-626.457355	0.02180543	4558.09439926455	
623.897355	97	3	0.9874154742	0.02239872667	69.11013308	30.88986692	53.51168395	46.48831605	0	0	-623.897355	0.02239872667	4112.35100862047	
621.337355	97	3	0.9877010876	0.02305723601	68.48585906	31.51414094	53.15826956	46.84173044	0	0	-621.337355	0.02305723601	3700.68608000102	
618.777355	97	3	0.9879891827	0.0237901987	67.84281513	32.15718487	52.80040431	47.19959569	0	0	-618.777355	0.0237901987	3320.15465196397	
616.217355	97	3	0.9882803057	0.02460874634	67.1798482	32.8201518	52.43761206	47.56238794	0	0	-616.217355	0.02460874634	2968.23714100755	
613.657355	97	3	0.9885750678	0.02552640754	66.49566194	33.50433806	52.06935469	47.93064531	0	0	-613.657355	0.02552640754	2641.81641418908	
611.097355	97	3	0.9888741664	0.0265606934	65.78877588	34.21122412	51.69501461	48.30498539	0	0	-611.097355	0.0265606934	2340.8006924667	
608.537355	97	3	0.989178377	0.02773023254	65.05753919	34.94246081	51.31390029	48.68609971	0	0	-608.537355	0.02773023254	2063.99375395293	
605.977355	97	3	0.9894886095	0.02906236806	64.3000135	35.6999865	50.92519641	49.07480359	0	0	-605.977355	0.02906236806	1807.30148089722	
603.417355	97	3	0.9898059203	0.03058971532	63.51396095	36.48603905	50.52795826	49.47204174	0	0	-603.417355	0.03058971532	1571.35386127853	
600.857355	97	3	0.9901315563	0.03235488205	62.69675581	37.30324419	50.12107351	49.87892649	0	0	-600.857355	0.03235488205	1354.7460719937	
598.297355	97	3	0.990467011	0.03441392185	61.84528147	38.15471853	49.70321742	50.29678258	0	0	-598.297355	0.03441392185	1156.57257352364	
595.737355	97	3	0.9908141017	0.0368420721	60.95578985	39.04421015	49.27279148	50.72720852	0	0	-595.737355	0.0368420721	976.047597105836	
593.177355	97	3	0.9911750799	0.0397426983	60.02370503	39.97629497	48.82783739	51.17216261	0	0	-593.177355	0.0397426983	812.489192043843	
590.617355	97	3	0.9915527949	0.04326174712	59.04334118	40.95665882	48.36591302	51.63408698	0	0	-590.617355	0.04326174712	665.30532871433	
588.057355	97	3	0.991950943	0.04761211394	58.00748418	41.99251582	47.88390787	52.11609213	0	0	-588.057355	0.04761211394	533.981643735229	
585.497355	97	3	0.9923744656	0.0531168739	56.90674634	43.09325366	47.37775726	52.62224274	0	0	-585.497355	0.0531168739	418.070459579872	
582.937355	97	3	0.9928302191	0.06029091785	55.72852248	44.27147752	46.84197838	53.15802162	0	0	-582.937355	0.06029091785	317.180734870738	
580.377355	97	3	0.9933281827	0.07000768023	54.45519697	45.54480303	46.26887053	53.73112947	0	0	-580.377355	0.07000768023	230.967767553187	
577.817355	97	3	0.9938838381	0.08387635979	53.06081549	46.93918451	45.64702329	54.35297671	0	0	-577.817355	0.08387635979	159.126817180398	
575.257355	97	3	0.9945234644	0.1052201135	51.50422079	48.49577921	44.95823789	55.04176211	0	0	-575.257355	0.1052201135	101.385652744111	
572.697355	97	3	0.9952983324	0.1421906479	49.71256211	50.28743789	44.17008069	55.82991931	0	0	-572.697355	0.1421906479	307.634875573029	
571.417355	97	3	0.9957224548	0.09063135288	48.68668307	51.31331693	43.71997329	56.28002671	0	0	-571.417355	0.09063135288	126.306278945164	
570.137355	97	3	0.9962227437	0.1174210487	47.53067681	52.46932319	43.21296191	56.78703809	0	0	-570.137355	0.1174210487	40.067210747222	
568.857355	97	3	0.9968519855	0.1671002489	46.17650747	53.82349253	42.61827974	57.38172026	0	0	-568.857355	0.1671002489	387.6558380005	
568.217355	97	3	0.9972044372	0.1122813856	45.38245694	54.61754306	42.26870517	57.73129483	0	0	-568.217355	0.1122813856	125.466481073437	
567.577355	97	3	0.9976414248	0.1566702794	44.46030401	55.53969599	41.86149705	58.13850295	0	0	-567.577355	0.1566702794	111.158954168116	
567.257355	97	3	0.9978836824	0.1029333957	43.92571766	56.07428234	41.62466413	58.37533587	0	0	-567.257355	0.1029333957	38.4771070265314	
566.937355	97	3	0.9981765441	0.138625009	43.31389058	56.68610942	41.35278493	58.64721507	0	0	-566.937355	0.138625009	37.4702900136496	
566.777355	97	3	0.9983363179	0.08776783707	42.96569429	57.03430571	41.19761397	58.80238603	0	0	-566.777355	0.08776783707	15.5060027969765	
566.617355	97	3	0.9985226605	0.1121660971	42.57588698	57.42411302	41.0234809	58.9765191	0	0	-566.617355	0.1121660971	5.5298528142587	
566.457355	97	3	0.9987517269	0.1552300588	42.12433177	57.87566823	40.82116654	59.17883346	0	0	-566.457355	0.1552300588	23.9148394200489	
566.377355	97	3	0.9988777846	0.1010945612	41.86343446	58.13656554	40.70396123	59.29603877	0	0	-566.377355	0.1010945612	8.59690779299963	
566.297355	97	3	0.9990284435	0.1343711677	41.56615131	58.43384869	40.57011327	59.42988673	0	0	-566.297355	0.1343711677	2.31680478828701	
566.257355	97	3	1	1	41.39789988	58.60210012					-566.257355	1	0.0462091817041216	
566.247355	97	3	1	1	41.39789988	58.60210012					-566.247355	1	NaN	
566.227355	97	3	1	1	41.39789988	58.60210012					-566.227355	1	NaN	
566.187355	97	3	1	1	41.39789988	58.60210012					-566.187355	1	NaN	
566.107355	97	3	1	1	41.39789988	58.60210012					-566.107355	1	NaN	
565.947355	97	3	1	1	41.39789988	58.60210012					-565.947355	1	NaN	
565.627355	97	3	1	1	41.39789988	58.60210012					-565.627355	1	NaN	
564.987355	97	3	1	1	41.39789988	58.60210012					-564.987355	1	NaN	
563.707355	97	3	1	1	41.39789988	58.60210012					-563.707355	1	NaN	
561.147355	97	3	1	1	41.39789988	58.60210012					-561.147355	1	NaN	
556.027355	97	3	1	1	41.39789988	58.60210012					-556.027355	1	NaN	
550.907355	97	3	1	1	41.39789988	58.60210012					-550.907355	1	NaN	
545.787355	97	3	1	1	41.39789988	58.60210012					-545.787355	1	NaN	
540.667355	97	3	1	1	41.39789988	58.60210012					-540.667355	1	NaN	
535.547355	97	3	1	1	41.39789988	58.60210012					-535.547355	1	NaN	
530.427355	97	3	1	1	41.39789988	58.60210012					-530.427355	1	NaN	
525.307355	97	3	1	1	41.39789988	58.60210012					-525.307355	1	NaN	
520.187355	97	3	1	1	41.39789988	58.60210012					-520.187355	1	NaN	
515.067355	97	3	1	1	41.39789988	58.60210012					-515.067355	1	NaN	
509.947355	97	3	1	1	41.39789988	58.60210012					-509.947355	1	NaN	
504.827355	97	3	1	1	41.39789988	58.60210012					-504.827355	1	NaN	
499.707355	97	3	1	1	41.39789988	58.60210012					-499.707355	1	NaN	
494.587355	97	3	1	1	41.39789988	58.60210012					-494.587355	1	NaN	
489.467355	97	3	1	1	41.39789988	58.60210012					-489.467355	1	NaN	
484.347355	97	3	1	1	41.39789988	58.60210012					-484.347355	1	NaN	
479.227355	97	3	1	1	41.39789988	58.60210012					-479.227355	1	NaN	
474.107355	97	3	1	1	41.39789988	58.60210012					-474.107355	1	NaN	
468.987355	97	3	1	1	41.39789988	58.60210012					-468.987355	1	NaN	
463.867355	97	3	1	1	41.39789988	58.60210012					-463.867355	1	NaN	
458.747355	97	3	1	1	41.39789988	58.60210012					-458.747355	1	NaN	
453.627355	97	3	1	1	41.39789988	58.60210012					-453.627355	1	NaN	
448.507355	97	3	1	1	41.39789988	58.60210012					-448.507355	1	NaN	
443.387355	97	3	1	1	41.39789988	58.60210012					-443.387355	1	NaN	
438.267355	97	3	1	1	41.39789988	58.60210012					-438.267355	1	NaN	
433.147355	97	3	1	1	41.39789988	58.60210012					-433.147355	1	NaN	
428.027355	97	3	1	1	41.39789988	58.60210012					-428.027355	1	NaN	
422.907355	97	3	1	1	41.39789988	58.60210012					-422.907355	1	NaN	
417.787355	97	3	1	1	41.39789988	58.60210012					-417.787355	1	NaN	
412.667355	97	3	1	1	41.39789988	58.60210012					-412.667355	1	NaN	
407.547355	97	3	1	1	41.39789988	58.60210012					-407.547355	1	NaN	
402.427355	97	3	1	1	41.39789988	58.60210012					-402.427355	1	NaN	
397.307355	97	3	1	1	41.39789988	58.60210012					-397.307355	1	NaN	
392.187355	97	3	1	1	41.39789988	58.60210012					-392.187355	1	NaN	
387.067355	97	3	1	1	41.39789988	58.60210012					-387.067355	1	NaN	
381.947355	97	3	1	1	41.39789988	58.60210012					-381.947355	1	NaN	
376.827355	97	3	1	1	41.39789988	58.60210012					-376.827355	1	NaN	
371.707355	97	3	1	1	41.39789988	58.60210012					-371.707355	1	NaN	
366.587355	97	3	1	1	41.39789988	58.60210012					-366.587355	1	NaN	
361.467355	97	3	1	1	41.39789988	58.60210012					-361.467355	1	NaN	
356.347355	97	3	1	1	41.39789988	58.60210012					-356.347355	1	NaN	
351.227355	97	3	1	1	41.39789988	58.60210012					-351.227355	1	NaN	
