T	w(AL)	w(MG)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(MG@FCC_A1)	w(AL@LIQUID)	w(MG@LIQUID)	w(AL@ALMG_BETA)	w(MG@ALMG_BETA)	dwdT_L(AL@LIQUID)	dwdT_L(MG@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	mole/mole	kg/kg	%	%	%	%	%	%	SI	SI				
905.5356561	96	4	0.3725389217	0.004151284519	98.24745865	1.752541351	94.50114484	5.498855156			0	0	-905.5356561	0.004151284519	-6518.3851475141	
905.4556561	96	4	0.3751253736	0.004139046254	98.24252381	1.757476192	94.48559474	5.514405258			0	0	-905.4556561	0.004139046254	-6555.52128083936	
905.3756561	96	4	0.3776935612	0.004126877219	98.23758925	1.762410747	94.47004656	5.529953442			0	0	-905.3756561	0.004126877219	-6592.76160858932	
905.2956561	96	4	0.3802436649	0.004114776825	98.23265498	1.767345018	94.4545003	5.545499704			0	0	-905.2956561	0.004114776825	-6630.10629880516	
905.2156561	96	4	0.382775863	0.004102744492	98.22772099	1.772279006	94.43895596	5.561044038			0	0	-905.2156561	0.004102744492	-6667.55555506069	
905.1356561	96	4	0.3852903314	0.004090779645	98.22278729	1.777212712	94.42341356	5.576586437			0	0	-905.1356561	0.004090779645	-6705.10881559082	
905.0556561	96	4	0.3877872438	0.004078881715	98.21785386	1.78214614	94.4078731	5.592126896			0	0	-905.0556561	0.004078881715	-6742.76668831816	
904.9756561	96	4	0.3902667719	0.004067050142	98.21292071	1.787079289	94.39233459	5.60766541			0	0	-904.9756561	0.004067050142	-6780.52896978054	
904.8956561	96	4	0.392729085	0.004055284369	98.20798784	1.792012163	94.37679803	5.623201973			0	0	-904.8956561	0.004055284369	-6818.39524398189	
904.8156561	96	4	0.3951743504	0.004043583847	98.20305524	1.796944762	94.36126342	5.638736579			0	0	-904.8156561	0.004043583847	-6856.36628314223	
904.7356561	96	4	0.3976027333	0.004031948034	98.19812291	1.801877087	94.34573078	5.654269222			0	0	-904.7356561	0.004031948034	-6894.44175040664	
904.6556561	96	4	0.4000143968	0.004020376392	98.19319086	1.806809142	94.3302001	5.669799897			0	0	-904.6556561	0.004020376392	-6932.62166799025	
904.5756561	96	4	0.4024095021	0.004008868391	98.18825907	1.811740927	94.3146714	5.685328599			0	0	-904.5756561	0.004008868391	-6970.9057755311	
904.4956561	96	4	0.4047882082	0.003997423504	98.18332756	1.816672443	94.29914468	5.700855321			0	0	-904.4956561	0.003997423504	-7009.29388513492	
904.4156561	96	4	0.4071506724	0.003986041212	98.17839631	1.821603693	94.28361994	5.716380059			0	0	-904.4156561	0.003986041212	-7047.78675802155	
904.3356561	96	4	0.4094970499	0.003974721002	98.17346532	1.826534679	94.26809719	5.731902806			0	0	-904.3356561	0.003974721002	-7086.38430068074	
904.2556561	96	4	0.411827494	0.003963462366	98.1685346	1.8314654	94.25257644	5.747423558			0	0	-904.2556561	0.003963462366	-7125.08582987743	
904.1756561	96	4	0.4141421561	0.0039522648	98.16360414	1.836395861	94.23705769	5.762942307			0	0	-904.1756561	0.0039522648	-7163.8916609648	
904.0956561	96	4	0.4164411859	0.003941127808	98.15867394	1.841326061	94.22154095	5.77845905			0	0	-904.0956561	0.003941127808	-7202.80247168298	
904.0156561	96	4	0.4187247312	0.003930050899	98.153744	1.846256003	94.20602622	5.79397378			0	0	-904.0156561	0.003930050899	-7241.81738246543	
903.9356561	96	4	0.4209929378	0.003919033585	98.14881431	1.851185688	94.19051351	5.809486493			0	0	-903.9356561	0.003919033585	-7280.93620737741	
903.8556561	96	4	0.4232459501	0.003908075385	98.14388488	1.856115117	94.17500282	5.824997181			0	0	-903.8556561	0.003908075385	-7320.15978722441	
903.7756561	96	4	0.4254839105	0.003897175824	98.13895571	1.861044294	94.15949416	5.840505841			0	0	-903.7756561	0.003897175824	-7359.48768578455	
903.6956561	96	4	0.4277069599	0.00388633443	98.13402678	1.865973218	94.14398753	5.856012466			0	0	-903.6956561	0.00388633443	-7398.92020873908	
903.6156561	96	4	0.4299152372	0.003875550739	98.12909811	1.870901892	94.12848295	5.871517052			0	0	-903.6156561	0.003875550739	-7438.4573355352	
