T	w(AL)	w(SI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(SI@FCC_A1)	w(AL@LIQUID)	w(SI@LIQUID)	dwdT_L(AL@LIQUID)	dwdT_L(SI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	mole/mole	kg/kg	%	%	%	%	SI	SI				
697.2982021	91	9	0.7574825788	0.01053670901	94.03760624	5.96239376	70.41936563	29.58063437	0	0	-697.2982021	0.01053670901	-24727.0229571236	
694.7382021	91	9	0.7600368118	0.01043453069	93.94944631	6.050553694	70.17125145	29.82874855	0	0	-694.7382021	0.01043453069	-25397.5063489612	
692.1782021	91	9	0.7625402058	0.01033504265	93.86059043	6.139409574	69.92386447	30.07613553	0	0	-692.1782021	0.01033504265	-26082.3493258391	
689.6182021	91	9	0.7649944159	0.01023816022	93.77103124	6.228968764	69.67718795	30.32281205	0	0	-689.6182021	0.01023816022	-26781.9486692055	
687.0582021	91	9	0.7674010268	0.01014380246	93.68076129	6.319238709	69.43120535	30.56879465	0	0	-687.0582021	0.01014380246	-27496.7944756249	
684.4982021	91	9	0.7697615565	0.01005189238	93.58977306	6.410226936	69.18590034	30.81409966	0	0	-684.4982021	0.01005189238	-28227.2221928801	
681.9382021	91	9	0.7720774598	0.009962355218	93.49805895	6.501941046	68.94125685	31.05874315	0	0	-681.9382021	0.009962355218	-28973.6669189371	
679.3782021	91	9	0.7743501314	0.00987512024	93.40561127	6.594388727	68.69725899	31.30274101	0	0	-679.3782021	0.00987512024	-29736.7222850344	
676.8182021	91	9	0.7765809093	0.009790119574	93.31242225	6.687577749	68.45389109	31.54610891	0	0	-676.8182021	0.009790119574	-30516.8788931414	
674.2582021	91	9	0.7787710775	0.009707288169	93.21848403	6.781515969	68.21113767	31.78886233	0	0	-674.2582021	0.009707288169	-31314.6781279427	
671.6982021	91	9	0.7809218685	0.009626563699	93.12378867	6.876211326	67.96898342	32.03101658	0	0	-671.6982021	0.009626563699	-32130.6985937503	
669.1382021	91	9	0.7830344663	0.009547886428	93.02832815	6.97167185	67.72741324	32.27258676	0	0	-669.1382021	0.009547886428	-32965.5513457842	
666.5782021	91	9	0.7851100086	0.009471199086	92.93209434	7.067905656	67.48641221	32.51358779	0	0	-666.5782021	0.009471199086	-33819.8822405043	
664.0182021	91	9	0.7871495888	0.00939644675	92.83507905	7.164920948	67.24596555	32.75403445	0	0	-664.0182021	0.00939644675	-34694.3756321199	
661.4582021	91	9	0.7891542586	0.009323576739	92.73727398	7.262726023	67.00605867	32.99394133	0	0	-661.4582021	0.009323576739	-35589.7568513383	
658.8982021	91	9	0.7911250295	0.009252538507	92.63867073	7.361329267	66.76667713	33.23332287	0	0	-658.8982021	0.009252538507	-36506.794087322	
656.3382021	91	9	0.7930628753	0.009183283545	92.53926084	7.460739159	66.52780665	33.47219335	0	0	-656.3382021	0.009183283545	-37446.3020943844	
