T	w(AL)	w(CU)	w(LI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(CU@FCC_A1)	w(LI@FCC_A1)	w(AL@LIQUID)	w(CU@LIQUID)	w(LI@LIQUID)	w(AL@ALCULI_T2)	w(CU@ALCULI_T2)	w(LI@ALCULI_T2)	w(AL@ALCULI_T1)	w(CU@ALCULI_T1)	w(LI@ALCULI_T1)	w(AL@ALLI)	w(CU@ALLI)	w(LI@ALLI)	dwdT_L(AL@LIQUID)	dwdT_L(CU@LIQUID)	dwdT_L(LI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	SI	SI	SI				
788.3899585	89	8	3	0.8693335596	0.7567928767	96.70720166	1.239078766	2.053719574	66.70907369	29.45688199	3.834044322	62.54235303	28.42537001	9.032276954							0	0	0	-788.3899585	0.7567928767	457.706470324714	
787.1099585	89	8	3	0.8800383485	0.7594740298	96.69728921	1.291587227	2.011123563	66.43187431	29.79266521	3.775460481	62.54235303	28.42537001	9.032276954							0	0	0	-787.1099585	0.7594740298	499.154437902879	
786.7899585	89	8	3	0.8825917114	0.7601085709	96.69446264	1.30484405	2.000693314	66.36340166	29.87548321	3.761115137	62.54235303	28.42537001	9.032276954							0	0	0	-786.7899585	0.7601085709	498.931844967796	
786.7761226	89	8	3	1	0.8190409298	96.69433745	1.30541821	2.000244339	66.3604495	29.87905283	3.760497669	62.54235303	28.42537001	9.032276954	43.36164434	51.06106018	5.577295482				0	0	0	-786.7761226	0.8190409298	-1393.51508650763	
786.7599585	89	8	3	1	0.819029328	96.69462365	1.305267198	2.000109154				62.54235303	28.42537001	9.032276954	43.36164434	51.06106018	5.577295482							-786.7599585	0.819029328	-1393.15922189035	
786.7399585	89	8	3	1	0.8190149711	96.6949778	1.305080362	1.999941843				62.54235303	28.42537001	9.032276954	43.36164434	51.06106018	5.577295482							-786.7399585	0.8190149711	-1393.17163840643	
786.6999585	89	8	3	1	0.8189862643	96.69568597	1.304706737	1.999607288				62.54235303	28.42537001	9.032276954	43.36164434	51.06106018	5.577295482							-786.6999585	0.8189862643	-1393.52595779078	
786.6199585	89	8	3	1	0.8189288665	96.69710206	1.303959673	1.998938264				62.54235303	28.42537001	9.032276954	43.36164434	51.06106018	5.577295482							-786.6199585	0.8189288665	-1394.03846823253	
786.4599585	89	8	3	1	0.8188141343	96.69993316	1.302466286	1.997600556				62.54235303	28.42537001	9.032276954	43.36164434	51.06106018	5.577295482							-786.4599585	0.8188141343	-1395.06693358932	
786.1399585	89	8	3	1	0.8185849237	96.70559102	1.299482474	1.994926507				62.54235303	28.42537001	9.032276954	43.36164434	51.06106018	5.577295482							-786.1399585	0.8185849237	-1397.12782807282	
785.4999585	89	8	3	1	0.8181275152	96.71688943	1.293526705	1.989583867				62.54235303	28.42537001	9.032276954	43.36164434	51.06106018	5.577295482							-785.4999585	0.8181275152	-1401.26058180414	
784.2199585	89	8	3	1	0.8172167357	96.73941696	1.281662628	1.978920409				62.54235303	28.42537001	9.032276954	43.36164434	51.06106018	5.577295482							-784.2199585	0.8172167357	-1408.54834631916	
781.6599585	89	8	3	1	0.8154073231	96.78419478	1.25812456	1.957680658				62.54235303	28.42537001	9.032276954	43.36164434	51.06106018	5.577295482							-781.6599585	0.8154073231	-1422.81899817794	
779.0999585	89	8	3	1	0.8136180209	96.8286026	1.23484046	1.936556935				62.54235303	28.42537001	9.032276954	43.36164434	51.06106018	5.577295482							-779.0999585	0.8136180209	-1438.43389141091	
776.5399585	89	8	3	1	0.8118476941	96.87264013	1.211810855	1.915549017				62.54235303	28.42537001	9.032276954	43.36164434	51.06106018	5.577295482							-776.5399585	0.8118476941	-1453.84990068326	
773.9799585	89	8	3	1	0.8100961368	96.91630709	1.189036214	1.894656701				62.54235303	28.42537001	9.032276954	43.36164434	51.06106018	5.577295482							-773.9799585	0.8100961368	-1469.42808001815	
771.4199585	89	8	3	1	0.8083631474	96.95960326	1.16651694	1.873879801				62.54235303	28.42537001	9.032276954	43.36164434	51.06106018	5.577295482							-771.4199585	0.8083631474	-1485.1716161087	
768.8599585	89	8	3	1	0.806648528	97.00252847	1.144253375	1.853218151				62.54235303	28.42537001	9.032276954	43.36164434	51.06106018	5.577295482							-768.8599585	0.806648528	-1501.08365146804	
766.2999585	89	8	3	1	0.8049520845	97.0450826	1.122245795	1.832671603				62.54235303	28.42537001	9.032276954	43.36164434	51.06106018	5.577295482							-766.2999585	0.8049520845	-1517.16757872811	
763.7399585	89	8	3	1	0.8032736267	97.08726556	1.100494416	1.812240022				62.54235303	28.42537001	9.032276954	43.36164434	51.06106018	5.577295482							-763.7399585	0.8032736267	-1533.42673072903	
761.1799585	89	8	3	1	0.8016129677	97.12907731	1.078999394	1.791923293				62.54235303	28.42537001	9.032276954	43.36164434	51.06106018	5.577295482							-761.1799585	0.8016129677	-1549.86447448048	
758.6199585	89	8	3	1	0.7999699242	97.17051786	1.057760824	1.771721315				62.54235303	28.42537001	9.032276954	43.36164434	51.06106018	5.577295482							-758.6199585	0.7999699242	-1566.48438335324	
756.0599585	89	8	3	1	0.7983443163	97.21158726	1.03677874	1.751634001				62.54235303	28.42537001	9.032276954	43.36164434	51.06106018	5.577295482							-756.0599585	0.7983443163	-1583.29011091748	
753.4999585	89	8	3	1	0.7967359675	97.2522856	1.016053122	1.731661279				62.54235303	28.42537001	9.032276954	43.36164434	51.06106018	5.577295482							-753.4999585	0.7967359675	-1600.28528360824	
750.9399585	89	8	3	1	0.7951447043	97.29261302	0.995583888	1.711803093				62.54235303	28.42537001	9.032276954	43.36164434	51.06106018	5.577295482							-750.9399585	0.7951447043	-1617.47365343504	
748.3799585	89	8	3	1	0.7935703565	97.3325697	0.9753709016	1.692059397				62.54235303	28.42537001	9.032276954	43.36164434	51.06106018	5.577295482							-748.3799585	0.7935703565	-1634.85908665249	
745.8199585	89	8	3	1	0.7920127568	97.37215587	0.9554139699	1.67243016				62.54235303	28.42537001	9.032276954	43.36164434	51.06106018	5.577295482							-745.8199585	0.7920127568	-1652.4454734909	
743.2599585	89	8	3	1	0.7904717409	97.41137179	0.9357128447	1.652915364				62.54235303	28.42537001	9.032276954	43.36164434	51.06106018	5.577295482							-743.2599585	0.7904717409	-1670.23687617271	
740.6999585	89	8	3	1	0.7889471474	97.45021778	0.9162672232	1.633515				62.54235303	28.42537001	9.032276954	43.36164434	51.06106018	5.577295482							-740.6999585	0.7889471474	-1688.23731509662	
738.1399585	89	8	3	1	0.7874388175	97.48869418	0.8970767491	1.614229073				62.54235303	28.42537001	9.032276954	43.36164434	51.06106018	5.577295482							-738.1399585	0.7874388175	-1706.45110747551	
735.5799585	89	8	3	1	0.7859465955	97.52680139	0.8781410127	1.595057598				62.54235303	28.42537001	9.032276954	43.36164434	51.06106018	5.577295482							-735.5799585	0.7859465955	-1724.88257297302	
733.0199585	89	8	3	1	0.784470328	97.56453985	0.8594595522	1.576000601				62.54235303	28.42537001	9.032276954	43.36164434	51.06106018	5.577295482							-733.0199585	0.784470328	-1743.5360561602	
730.4599585	89	8	3	1	0.7830098644	97.60191003	0.8410318541	1.557058117				62.54235303	28.42537001	9.032276954	43.36164434	51.06106018	5.577295482							-730.4599585	0.7830098644	-1762.41600860427	
727.8999585	89	8	3	1	0.7815650563	97.63891246	0.8228573541	1.53823019				62.54235303	28.42537001	9.032276954	43.36164434	51.06106018	5.577295482							-727.8999585	0.7815650563	-1781.52701932594	
725.3399585	89	8	3	1	0.780135758	97.67554769	0.8049354374	1.519516875				62.54235303	28.42537001	9.032276954	43.36164434	51.06106018	5.577295482							-725.3399585	0.780135758	-1800.87398316581	
722.7799585	89	8	3	1	0.7787218262	97.71181633	0.7872654399	1.500918235				62.54235303	28.42537001	9.032276954	43.36164434	51.06106018	5.577295482							-722.7799585	0.7787218262	-1820.46161637225	
720.2199585	89	8	3	1	0.7773231197	97.74771901	0.7698466484	1.482434339				62.54235303	28.42537001	9.032276954	43.36164434	51.06106018	5.577295482							-720.2199585	0.7773231197	-1840.29476272951	
717.6599585	89	8	3	1	0.7759394996	97.78325643	0.7526783015	1.464065268				62.54235303	28.42537001	9.032276954	43.36164434	51.06106018	5.577295482							-717.6599585	0.7759394996	-1860.37865805106	
