T	w(AL)	w(CU)	w(LI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(CU@FCC_A1)	w(LI@FCC_A1)	w(AL@LIQUID)	w(CU@LIQUID)	w(LI@LIQUID)	w(AL@ALLI)	w(CU@ALLI)	w(LI@ALLI)	dwdT_L(AL@LIQUID)	dwdT_L(CU@LIQUID)	dwdT_L(LI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	SI	SI	SI				
754.4112813	97	0	3	1	1	97	0	3				81.80723634	0	18.19276366				-754.4112813	1	0	
754.3850902	97	0	3	1	0.9999796855	97.00030854	0	2.999691456				81.80721107	0	18.19278893				-754.3850902	0.9999796855	-1289.35276435368	
754.3650902	97	0	3	1	0.9999641745	97.00054413	0	2.999455866				81.80719177	0	18.19280823				-754.3650902	0.9999641745	-1289.44354466245	
754.3250902	97	0	3	1	0.9999331551	97.0010153	0	2.998984704				81.80715318	0	18.19284682				-754.3250902	0.9999331551	-1289.62927166507	
754.2450902	97	0	3	1	0.9998711327	97.00195751	0	2.998042489				81.80707594	0	18.19292406				-754.2450902	0.9998711327	-1290.08414492226	
754.0850902	97	0	3	1	0.9997471535	97.0038415	0	2.996158499				81.80692135	0	18.19307865				-754.0850902	0.9997471535	-1291.33120040973	
753.7650902	97	0	3	1	0.9994996503	97.00760773	0	2.992392272				81.80661165	0	18.19338835				-753.7650902	0.9994996503	-1293.65929382733	
753.1250902	97	0	3	1	0.9990054991	97.01513316	0	2.984866837				81.80599024	0	18.19400976				-753.1250902	0.9990054991	-1296.10426875852	
751.8450902	97	0	3	1	0.9980193729	97.03015597	0	2.969844025				81.80473938	0	18.19526062				-751.8450902	0.9980193729	-1301.26589680829	
749.2850902	97	0	3	1	0.9960617862	97.06008959	0	2.939910412				81.80220572	0	18.19779428				-749.2850902	0.9960617862	-1313.8209883772	
746.7250902	97	0	3	1	0.9941221769	97.08987412	0	2.910125884				81.79962985	0	18.20037015				-746.7250902	0.9941221769	-1326.00959276834	
744.1650902	97	0	3	1	0.9922004124	97.11950991	0	2.880490086				81.79701223	0	18.20298777				-744.1650902	0.9922004124	-1338.31885963055	
741.6050902	97	0	3	1	0.9902963185	97.14899731	0	2.851002689				81.79435328	0	18.20564672				-741.6050902	0.9902963185	-1350.73572189793	
739.0450902	97	0	3	1	0.988409724	97.17833663	0	2.821663375				81.79165343	0	18.20834657				-739.0450902	0.988409724	-1363.262065618	
736.4850902	97	0	3	1	0.986540461	97.20752816	0	2.792471843				81.7889131	0	18.2110869				-736.4850902	0.986540461	-1375.89979307179	
733.9250902	97	0	3	1	0.9846883644	97.23657219	0	2.763427808				81.7861327	0	18.2138673				-733.9250902	0.9846883644	-1388.65079274804	
731.3650902	97	0	3	1	0.9828532721	97.265469	0	2.734530998				81.78331262	0	18.21668738				-731.3650902	0.9828532721	-1401.517080185	
728.8050902	97	0	3	1	0.9810350249	97.29421884	0	2.705781157				81.78045325	0	18.21954675				-728.8050902	0.9810350249	-1414.50077021458	
726.2450902	97	0	3	1	0.9792334666	97.32282196	0	2.677178043				81.77755497	0	18.22244503				-726.2450902	0.9792334666	-1427.60403827537	
723.6850902	97	0	3	1	0.9774484438	97.35127857	0	2.648721428				81.77461815	0	18.22538185				-723.6850902	0.9774484438	-1440.82896066623	
721.1250902	97	0	3	1	0.9756798056	97.3795889	0	2.620411099				81.77164315	0	18.22835685				-721.1250902	0.9756798056	-1454.17783857358	
718.5650902	97	0	3	1	0.9739274042	97.40775314	0	2.592246858				81.76863032	0	18.23136968				-718.5650902	0.9739274042	-1467.65302931541	
716.0050902	97	0	3	1	0.9721910942	97.43577148	0	2.56422852				81.76558	0	18.23442				-716.0050902	0.9721910942	-1481.25683617474	
713.4450902	97	0	3	1	0.9704707329	97.46364409	0	2.536355914				81.76249254	0	18.23750746				-713.4450902	0.9704707329	-1494.99183786134	
710.8850902	97	0	3	1	0.9687661804	97.49137112	0	2.508628883				81.75936825	0	18.24063175				-710.8850902	0.9687661804	-1508.86041450267	
708.3250902	97	0	3	1	0.9670772988	97.51895272	0	2.481047283				81.75620745	0	18.24379255				-708.3250902	0.9670772988	-1522.86524604963	
705.7650902	97	0	3	1	0.9654039534	97.54638901	0	2.453610985				81.75301046	0	18.24698954				-705.7650902	0.9654039534	-1537.00901938698	
703.2050902	97	0	3	1	0.9637460113	97.57368013	0	2.426319873				81.74977759	0	18.25022241				-703.2050902	0.9637460113	-1551.29432481105	
700.6450902	97	0	3	1	0.9621033423	97.60082616	0	2.399173843				81.74650911	0	18.25349089				-700.6450902	0.9621033423	-1565.72418591114	
698.0850902	97	0	3	1	0.9604758187	97.6278272	0	2.372172805				81.74320533	0	18.25679467				-698.0850902	0.9604758187	-1580.30141923405	
695.5250902	97	0	3	1	0.9588633148	97.65468332	0	2.345316682				81.73986652	0	18.26013348				-695.5250902	0.9588633148	-1595.02901884115	
692.9650902	97	0	3	1	0.9572657075	97.68139459	0	2.318605411				81.73649296	0	18.26350704				-692.9650902	0.9572657075	-1609.91009507862	
690.4050902	97	0	3	1	0.9556828757	97.70796106	0	2.29203894				81.73308492	0	18.26691508				-690.4050902	0.9556828757	-1624.94774472198	
687.8450902	97	0	3	1	0.9541147006	97.73438277	0	2.26561723				81.72964264	0	18.27035736				-687.8450902	0.9541147006	-1640.1453468783	
685.2850902	97	0	3	1	0.9525610657	97.76065975	0	2.239340254				81.7261664	0	18.2738336				-685.2850902	0.9525610657	-1655.50609854251	
682.7250902	97	0	3	1	0.9510218562	97.786792	0	2.213208				81.72265643	0	18.27734357				-682.7250902	0.9510218562	-1671.03355820424	
