T	w(AL)	w(CU)	w(LI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(CU@FCC_A1)	w(LI@FCC_A1)	w(AL@LIQUID)	w(CU@LIQUID)	w(LI@LIQUID)	w(AL@ALLI)	w(CU@ALLI)	w(LI@ALLI)	w(AL@ALCULI_T2)	w(CU@ALCULI_T2)	w(LI@ALCULI_T2)	dwdT_L(AL@LIQUID)	dwdT_L(CU@LIQUID)	dwdT_L(LI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	%	%	%	SI	SI	SI				
805.2325177	86	9	5	1	0.6927984112	96.40162088	0.3863767083	3.212002414							62.54235303	28.42537001	9.032276954				-805.2325177	0.6927984112	-5497.76926823909	
802.6725177	86	9	5	1	0.6923417503	96.42395407	0.3678825015	3.208163426							62.54235303	28.42537001	9.032276954				-802.6725177	0.6923417503	-5724.69595084113	
800.1125177	86	9	5	1	0.6919032999	96.44542442	0.3501028263	3.204472759							62.54235303	28.42537001	9.032276954				-800.1125177	0.6919032999	-5964.13121799856	
797.5525177	86	9	5	1	0.6914825555	96.46605332	0.3330199472	3.200926731							62.54235303	28.42537001	9.032276954				-797.5525177	0.6914825555	-6216.85606469048	
794.9925177	86	9	5	1	0.6910790147	96.48586234	0.3166160206	3.197521639							62.54235303	28.42537001	9.032276954				-794.9925177	0.6910790147	-6483.70841850481	
792.4325177	86	9	5	1	0.6906921782	96.50487311	0.3008731282	3.194253763							62.54235303	28.42537001	9.032276954				-792.4325177	0.6906921782	-6765.58466438062	
789.8725177	86	9	5	1	0.6903215501	96.52310731	0.2857733107	3.191119375							62.54235303	28.42537001	9.032276954				-789.8725177	0.6903215501	-7063.44147684845	
787.3125177	86	9	5	1	0.6899666385	96.54058666	0.2712985996	3.188114745							62.54235303	28.42537001	9.032276954				-787.3125177	0.6899666385	-7378.30523656937	
784.7525177	86	9	5	1	0.6896269563	96.5573328	0.2574310492	3.185236149							62.54235303	28.42537001	9.032276954				-784.7525177	0.6896269563	-7711.27351555125	
782.1925177	86	9	5	1	0.6893020214	96.57336736	0.2441527667	3.182479871							62.54235303	28.42537001	9.032276954				-782.1925177	0.6893020214	-8063.51921332056	
779.6325177	86	9	5	1	0.6889913573	96.58871184	0.2314459418	3.179842215							62.54235303	28.42537001	9.032276954				-779.6325177	0.6889913573	-8436.30119669513	
777.0725177	86	9	5	1	0.6886944937	96.60338762	0.219292875	3.177319508							62.54235303	28.42537001	9.032276954				-777.0725177	0.6886944937	-8830.96786314213	
774.5125177	86	9	5	1	0.6884109668	96.61741589	0.2076760038	3.174908102							62.54235303	28.42537001	9.032276954				-774.5125177	0.6884109668	-9248.96383734298	
771.9525177	86	9	5	1	0.6881403198	96.63081768	0.1965779291	3.172604387							62.54235303	28.42537001	9.032276954				-771.9525177	0.6881403198	-9687.79847789441	
770.6725177	86	9	5	1	0.6880096852	96.63729017	0.1912180583	3.171491775							62.54235303	28.42537001	9.032276954				-770.6725177	0.6880096852	-9915.48286476358	
