T	w(AL)	w(CU)	w(LI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(CU@FCC_A1)	w(LI@FCC_A1)	w(AL@LIQUID)	w(CU@LIQUID)	w(LI@LIQUID)	w(AL@ALCULI_T2)	w(CU@ALCULI_T2)	w(LI@ALCULI_T2)	w(AL@ALLI)	w(CU@ALLI)	w(LI@ALLI)	dwdT_L(AL@LIQUID)	dwdT_L(CU@LIQUID)	dwdT_L(LI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	%	%	%	SI	SI	SI				
679.3606084	97	1	2	1	0.9698531793	98.07107836	0.1475122274	1.781409408				62.54235303	28.42537001	9.032276954							-679.3606084	0.9698531793	-7717.93309397683	
676.8006084	97	1	2	1	0.9695300827	98.0829183	0.138088651	1.778993048				62.54235303	28.42537001	9.032276954							-676.8006084	0.9695300827	-8156.35629135851	
674.2406084	97	1	2	1	0.9692244757	98.09412459	0.1291694017	1.776706008				62.54235303	28.42537001	9.032276954							-674.2406084	0.9692244757	-8627.20495612409	
671.6806084	97	1	2	1	0.968935663	98.10472155	0.120735123	1.774543323				62.54235303	28.42537001	9.032276954							-671.6806084	0.968935663	-9133.15501224087	
669.1206084	97	1	2	1	0.9686629575	98.11473332	0.1127666108	1.772500069				62.54235303	28.42537001	9.032276954							-669.1206084	0.9686629575	-9677.12542874264	
666.5606084	97	1	2	1	0.9684056825	98.12418377	0.1052448619	1.770571373				62.54235303	28.42537001	9.032276954							-666.5606084	0.9684056825	-10262.2981544062	
664.0006084	97	1	2	1	0.9681631723	98.13309646	0.09815111972	1.768752425				62.54235303	28.42537001	9.032276954							-664.0006084	0.9681631723	-10892.1462297981	
661.4406084	97	1	2	1	0.967934774	98.14149459	0.09146691655	1.76703849				62.54235303	28.42537001	9.032276954							-661.4406084	0.967934774	-11570.4674070423	
658.8806084	97	1	2	1	0.9677198483	98.14940097	0.08517411169	1.765424916				62.54235303	28.42537001	9.032276954							-658.8806084	0.9677198483	-12301.4033828299	
656.3206084	97	1	2	1	0.9675177704	98.15683793	0.07925492638	1.763907145				62.54235303	28.42537001	9.032276954							-656.3206084	0.9675177704	-13089.4839110958	
653.7606084	97	1	2	1	0.967327931	98.16382731	0.07369197473	1.762480718				62.54235303	28.42537001	9.032276954							-653.7606084	0.967327931	-13939.6794162204	
651.2006084	97	1	2	1	0.9671497373	98.17039042	0.06846829118	1.761141284				62.54235303	28.42537001	9.032276954							-651.2006084	0.9671497373	-14857.4157714345	
648.6406084	97	1	2	1	0.966982613	98.17654804	0.06356735412	1.759884608				62.54235303	28.42537001	9.032276954							-648.6406084	0.966982613	-15865.8162455018	
646.0806084	97	1	2	1	0.9668263079	98.18231841	0.05897285921	1.758708733				62.54235303	28.42537001	9.032276954							-646.0806084	0.9668263079	-16932.5739553032	
643.5206084	97	1	2	1	0.9666796265	98.18772515	0.05466976859	1.757605083				62.54235303	28.42537001	9.032276954							-643.5206084	0.9666796265	-18073.6944108391	
640.9606084	97	1	2	1	0.9665423949	98.19278507	0.05064270198	1.756572227				62.54235303	28.42537001	9.032276954							-640.9606084	0.9665423949	-19326.9915137387	
638.4006084	97	1	2	1	0.9664141098	98.19751648	0.04687708108	1.75560644				62.54235303	28.42537001	9.032276954							-638.4006084	0.9664141098	-20684.0421018893	
635.8406084	97	1	2	1	0.9662942848	98.20193705	0.04335884181	1.754704113				62.54235303	28.42537001	9.032276954							-635.8406084	0.9662942848	-21882.4362149247	
635.5206084	97	1	2	1	0.9662797032	98.20246974	0.04293587894	1.754594385				62.54235303	28.42537001	9.032276954							-635.5206084	0.9662797032	-22273.6159583826	
635.4806084	97	1	2	1	0.9662779106	98.20253587	0.04288325152	1.754580883				62.54235303	28.42537001	9.032276954							-635.4806084	0.9662779106	-22341.2457857952	
635.4682468	97	1	2	1	0.9662773575	98.20255628	0.04286699871	1.754576717				62.54235303	28.42537001	9.032276954	81.65181806	0	18.34818194				-635.4682468	0.9662773575	-21226.7501137736	
635.4506084	97	1	2	1	0.9662678123	98.20272689	0.04285672017	1.754416394				62.54235303	28.42537001	9.032276954	81.65178981	0	18.34821019				-635.4506084	0.9662678123	-1848.05804917733	
635.4306084	97	1	2	1	0.9662569913	98.2029203	0.04284506832	1.754234635				62.54235303	28.42537001	9.032276954	81.65175776	0	18.34824224				-635.4306084	0.9662569913	-1848.33489409457	
635.3906084	97	1	2	1	0.966235352	98.20330711	0.04282177111	1.753871123				62.54235303	28.42537001	9.032276954	81.65169369	0	18.34830631				-635.3906084	0.966235352	-1848.66667925794	
635.3106084	97	1	2	1	0.9661920859	98.20408059	0.04277520503	1.753144204				62.54235303	28.42537001	9.032276954	81.65156551	0	18.34843449				-635.3106084	0.9661920859	-1849.37772573573	
635.1506084	97	1	2	1	0.9661056035	98.20562703	0.04268218622	1.751690783				62.54235303	28.42537001	9.032276954	81.65130906	0	18.34869094				-635.1506084	0.9661056035	-1850.79937567566	
634.8306084	97	1	2	1	0.965932838	98.20871779	0.0424966014	1.748785613				62.54235303	28.42537001	9.032276954	81.6507958	0	18.3492042				-634.8306084	0.965932838	-1854.28976779176	
634.1906084	97	1	2	1	0.965588458	98.2148908	0.04212723896	1.742981961				62.54235303	28.42537001	9.032276954	81.64976787	0	18.35023213				-634.1906084	0.965588458	-1859.46840722712	
632.9106084	97	1	2	1	0.964900869	98.22720286	0.04139571066	1.731401434				62.54235303	28.42537001	9.032276954	81.64770632	0	18.35229368				-632.9106084	0.964900869	-1866.62224995012	
630.3506084	97	1	2	1	0.9635367226	98.25169123	0.03996117884	1.708347587				62.54235303	28.42537001	9.032276954	81.64356057	0	18.35643943				-630.3506084	0.9635367226	-1886.0239199529	
627.7906084	97	1	2	1	0.9621860299	98.27599884	0.03856418611	1.685436977				62.54235303	28.42537001	9.032276954	81.63938476	0	18.36061524				-627.7906084	0.9621860299	-1904.87155290899	
625.2306084	97	1	2	1	0.9608487436	98.30012593	0.03720413819	1.662669933				62.54235303	28.42537001	9.032276954	81.63517901	0	18.36482099				-625.2306084	0.9608487436	-1924.00201230249	
622.6706084	97	1	2	1	0.9595247767	98.32407276	0.03588044121	1.640046794				62.54235303	28.42537001	9.032276954	81.63094347	0	18.36905653				-622.6706084	0.9595247767	-1943.39331062202	
620.1106084	97	1	2	1	0.9582140436	98.34783959	0.03459250156	1.617567907				62.54235303	28.42537001	9.032276954	81.62667827	0	18.37332173				-620.1106084	0.9582140436	-1963.05159601257	
617.5506084	97	1	2	1	0.95691646	98.37142665	0.03333972603	1.595233624				62.54235303	28.42537001	9.032276954	81.62238354	0	18.37761646				-617.5506084	0.95691646	-1982.98340476807	
614.9906084	97	1	2	1	0.9556319432	98.39483417	0.03212152201	1.573044304				62.54235303	28.42537001	9.032276954	81.61805939	0	18.38194061				-614.9906084	0.9556319432	-2003.19535563387	
612.4306084	97	1	2	1	0.9543604116	98.41806239	0.03093729761	1.551000314				62.54235303	28.42537001	9.032276954	81.61370596	0	18.38629404				-612.4306084	0.9543604116	-2023.6944965203	
609.8706084	97	1	2	1	0.9531017854	98.44111151	0.02978646184	1.529102023				62.54235303	28.42537001	9.032276954	81.60932336	0	18.39067664				-609.8706084	0.9531017854	-2044.487961603	
607.3106084	97	1	2	1	0.9518559857	98.46398176	0.02866842476	1.50734981				62.54235303	28.42537001	9.032276954	81.60491171	0	18.39508829				-607.3106084	0.9518559857	-2065.58301904632	
