T	w(AL)	w(CU)	w(LI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(CU@FCC_A1)	w(LI@FCC_A1)	w(AL@LIQUID)	w(CU@LIQUID)	w(LI@LIQUID)	w(AL@ALCULI_TB)	w(CU@ALCULI_TB)	w(LI@ALCULI_TB)	w(AL@ALCULI_T1)	w(CU@ALCULI_T1)	w(LI@ALCULI_T1)	w(AL@ALCULI_T2)	w(CU@ALCULI_T2)	w(LI@ALCULI_T2)	dwdT_L(AL@LIQUID)	dwdT_L(CU@LIQUID)	dwdT_L(LI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	SI	SI	SI				
775.4330741	92	7	1	1	0.9197295175	96.21883157	2.824592803	0.9565756308				43.66113616	54.84131265	1.497551188										-775.4330741	0.9197295175	-1903.66967377847	
772.8730741	92	7	1	1	0.9184028475	96.29475328	2.749452546	0.9557941696				43.66113616	54.84131265	1.497551188										-772.8730741	0.9184028475	-1956.95955582407	
770.3130741	92	7	1	1	0.9171122215	96.36882308	2.676145151	0.9550317704				43.66113616	54.84131265	1.497551188										-770.3130741	0.9171122215	-2011.48039314324	
767.7530741	92	7	1	1	0.9158565017	96.44108995	2.604622121	0.9542879286				43.66113616	54.84131265	1.497551188										-767.7530741	0.9158565017	-2067.26740652467	
765.1930741	92	7	1	1	0.9146345991	96.51160113	2.534836713	0.9535621581				43.66113616	54.84131265	1.497551188										-765.1930741	0.9146345991	-2124.35780078891	
762.6330741	92	7	1	1	0.9134454707	96.58040216	2.466743853	0.9528539902				43.66113616	54.84131265	1.497551188										-762.6330741	0.9134454707	-2182.79046091102	
760.0730741	92	7	1	1	0.9122881173	96.64753697	2.400300053	0.9521629726				43.66113616	54.84131265	1.497551188										-760.0730741	0.9122881173	-2242.60546896548	
757.5130741	92	7	1	1	0.9111615805	96.713048	2.335463335	0.9514886687				43.66113616	54.84131265	1.497551188										-757.5130741	0.9111615805	-2303.84481905045	
754.9530741	92	7	1	1	0.9100649414	96.77697618	2.272193159	0.9508306568				43.66113616	54.84131265	1.497551188										-754.9530741	0.9100649414	-2366.55205954188	
752.3930741	92	7	1	1	0.9089973176	96.83936112	2.210450355	0.9501885297				43.66113616	54.84131265	1.497551188										-752.3930741	0.9089973176	-2430.77210889907	
