T	w(AL)	w(CU)	w(LI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(CU@FCC_A1)	w(LI@FCC_A1)	w(AL@LIQUID)	w(CU@LIQUID)	w(LI@LIQUID)	dwdT_L(AL@LIQUID)	dwdT_L(CU@LIQUID)	dwdT_L(LI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	SI	SI	SI				
413.7827259	100	0	0	1	1	100	0	0							-413.7827259	1	NaN	
411.2227259	100	0	0	1	1	100	0	0							-411.2227259	1	NaN	
408.6627259	100	0	0	1	1	100	0	0							-408.6627259	1	NaN	
406.1027259	100	0	0	1	1	100	0	0							-406.1027259	1	NaN	
403.5427259	100	0	0	1	1	100	0	0							-403.5427259	1	NaN	
400.9827259	100	0	0	1	1	100	0	0							-400.9827259	1	NaN	
398.4227259	100	0	0	1	1	100	0	0							-398.4227259	1	NaN	
395.8627259	100	0	0	1	1	100	0	0							-395.8627259	1	NaN	
393.3027259	100	0	0	1	1	100	0	0							-393.3027259	1	NaN	
390.7427259	100	0	0	1	1	100	0	0							-390.7427259	1	NaN	
388.1827259	100	0	0	1	1	100	0	0							-388.1827259	1	NaN	
385.6227259	100	0	0	1	1	100	0	0							-385.6227259	1	NaN	
383.0627259	100	0	0	1	1	100	0	0							-383.0627259	1	NaN	
380.5027259	100	0	0	1	1	100	0	0							-380.5027259	1	NaN	
377.9427259	100	0	0	1	1	100	0	0							-377.9427259	1	NaN	
375.3827259	100	0	0	1	1	100	0	0							-375.3827259	1	NaN	
372.8227259	100	0	0	1	1	100	0	0							-372.8227259	1	NaN	
370.2627259	100	0	0	1	1	100	0	0							-370.2627259	1	NaN	
367.7027259	100	0	0	1	1	100	0	0							-367.7027259	1	NaN	
365.1427259	100	0	0	1	1	100	0	0							-365.1427259	1	NaN	
362.5827259	100	0	0	1	1	100	0	0							-362.5827259	1	NaN	
360.0227259	100	0	0	1	1	100	0	0							-360.0227259	1	NaN	
357.4627259	100	0	0	1	1	100	0	0							-357.4627259	1	NaN	
354.9027259	100	0	0	1	1	100	0	0							-354.9027259	1	NaN	
352.3427259	100	0	0	1	1	100	0	0							-352.3427259	1	NaN	
349.7827259	100	0	0	1	1	100	0	0							-349.7827259	1	NaN	
347.2227259	100	0	0	1	1	100	0	0							-347.2227259	1	NaN	
344.6627259	100	0	0	1	1	100	0	0							-344.6627259	1	NaN	
342.1027259	100	0	0	1	1	100	0	0							-342.1027259	1	NaN	
339.5427259	100	0	0	1	1	100	0	0							-339.5427259	1	NaN	
336.9827259	100	0	0	1	1	100	0	0							-336.9827259	1	NaN	
334.4227259	100	0	0	1	1	100	0	0							-334.4227259	1	NaN	
331.8627259	100	0	0	1	1	100	0	0							-331.8627259	1	NaN	
329.3027259	100	0	0	1	1	100	0	0							-329.3027259	1	NaN	
326.7427259	100	0	0	1	1	100	0	0							-326.7427259	1	NaN	
324.1827259	100	0	0	1	1	100	0	0							-324.1827259	1	NaN	
321.6227259	100	0	0	1	1	100	0	0							-321.6227259	1	NaN	
319.0627259	100	0	0	1	1	100	0	0							-319.0627259	1	NaN	
316.5027259	100	0	0	1	1	100	0	0							-316.5027259	1	NaN	
313.9427259	100	0	0	1	1	100	0	0							-313.9427259	1	NaN	
311.3827259	100	0	0	1	1	100	0	0							-311.3827259	1	NaN	
308.8227259	100	0	0	1	1	100	0	0							-308.8227259	1	NaN	
306.2627259	100	0	0	1	1	100	0	0							-306.2627259	1	NaN	
303.7027259	100	0	0	1	1	100	0	0							-303.7027259	1	NaN	
301.1427259	100	0	0	1	1	100	0	0							-301.1427259	1	NaN	
300	100	0	0	1	1	100	0	0							-300	1	NaN	
