T	w(AL)	w(MG)	w(SI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(MG@FCC_A1)	w(SI@FCC_A1)	w(AL@LIQUID)	w(MG@LIQUID)	w(SI@LIQUID)	w(AL@ALMG_BETA)	w(MG@ALMG_BETA)	w(SI@ALMG_BETA)	dwdT_L(AL@LIQUID)	dwdT_L(MG@LIQUID)	dwdT_L(SI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	SI	SI	SI				
799.797355	97	3	0	1	1	97	3	0										-799.797355	1	NaN	
799.717355	97	3	0	1	1	97	3	0										-799.717355	1	NaN	
799.637355	97	3	0	1	1	97	3	0										-799.637355	1	NaN	
799.557355	97	3	0	1	1	97	3	0										-799.557355	1	NaN	
799.477355	97	3	0	1	1	97	3	0										-799.477355	1	NaN	
799.397355	97	3	0	1	1	97	3	0										-799.397355	1	NaN	
799.317355	97	3	0	1	1	97	3	0										-799.317355	1	NaN	
799.237355	97	3	0	1	1	97	3	0										-799.237355	1	NaN	
799.157355	97	3	0	1	1	97	3	0										-799.157355	1	NaN	
799.077355	97	3	0	1	1	97	3	0										-799.077355	1	NaN	
798.997355	97	3	0	1	1	97	3	0										-798.997355	1	NaN	
798.917355	97	3	0	1	1	97	3	0										-798.917355	1	NaN	
798.837355	97	3	0	1	1	97	3	0										-798.837355	1	NaN	
798.757355	97	3	0	1	1	97	3	0										-798.757355	1	NaN	
798.677355	97	3	0	1	1	97	3	0										-798.677355	1	NaN	
798.597355	97	3	0	1	1	97	3	0										-798.597355	1	NaN	
798.517355	97	3	0	1	1	97	3	0										-798.517355	1	NaN	
798.437355	97	3	0	1	1	97	3	0										-798.437355	1	NaN	
798.357355	97	3	0	1	1	97	3	0										-798.357355	1	NaN	
798.277355	97	3	0	1	1	97	3	0										-798.277355	1	NaN	
798.197355	97	3	0	1	1	97	3	0										-798.197355	1	NaN	
798.117355	97	3	0	1	1	97	3	0										-798.117355	1	NaN	
798.037355	97	3	0	1	1	97	3	0										-798.037355	1	NaN	
797.957355	97	3	0	1	1	97	3	0										-797.957355	1	NaN	
797.877355	97	3	0	1	1	97	3	0										-797.877355	1	NaN	
797.797355	97	3	0	1	1	97	3	0										-797.797355	1	NaN	
797.717355	97	3	0	1	1	97	3	0										-797.717355	1	NaN	
797.637355	97	3	0	1	1	97	3	0										-797.637355	1	NaN	
797.557355	97	3	0	1	1	97	3	0										-797.557355	1	NaN	
797.477355	97	3	0	1	1	97	3	0										-797.477355	1	NaN	
797.397355	97	3	0	1	1	97	3	0										-797.397355	1	NaN	
797.317355	97	3	0	1	1	97	3	0										-797.317355	1	NaN	
797.237355	97	3	0	1	1	97	3	0										-797.237355	1	NaN	
797.157355	97	3	0	1	1	97	3	0										-797.157355	1	NaN	
797.077355	97	3	0	1	1	97	3	0										-797.077355	1	NaN	
796.997355	97	3	0	1	1	97	3	0										-796.997355	1	NaN	
796.917355	97	3	0	1	1	97	3	0										-796.917355	1	NaN	
796.837355	97	3	0	1	1	97	3	0										-796.837355	1	NaN	
796.757355	97	3	0	1	1	97	3	0										-796.757355	1	NaN	
796.677355	97	3	0	1	1	97	3	0										-796.677355	1	NaN	
796.597355	97	3	0	1	1	97	3	0										-796.597355	1	NaN	
796.517355	97	3	0	1	1	97	3	0										-796.517355	1	NaN	
796.437355	97	3	0	1	1	97	3	0										-796.437355	1	NaN	
796.357355	97	3	0	1	1	97	3	0										-796.357355	1	NaN	
796.277355	97	3	0	1	1	97	3	0										-796.277355	1	NaN	
796.197355	97	3	0	1	1	97	3	0										-796.197355	1	NaN	
796.117355	97	3	0	1	1	97	3	0										-796.117355	1	NaN	
796.037355	97	3	0	1	1	97	3	0										-796.037355	1	NaN	
795.957355	97	3	0	1	1	97	3	0										-795.957355	1	NaN	
795.877355	97	3	0	1	1	97	3	0										-795.877355	1	NaN	
795.797355	97	3	0	1	1	97	3	0										-795.797355	1	NaN	
795.717355	97	3	0	1	1	97	3	0										-795.717355	1	NaN	
795.637355	97	3	0	1	1	97	3	0										-795.637355	1	NaN	
795.557355	97	3	0	1	1	97	3	0										-795.557355	1	NaN	
795.477355	97	3	0	1	1	97	3	0										-795.477355	1	NaN	
795.397355	97	3	0	1	1	97	3	0										-795.397355	1	NaN	
795.317355	97	3	0	1	1	97	3	0										-795.317355	1	NaN	
795.237355	97	3	0	1	1	97	3	0										-795.237355	1	NaN	
795.157355	97	3	0	1	1	97	3	0										-795.157355	1	NaN	
795.077355	97	3	0	1	1	97	3	0										-795.077355	1	NaN	
794.997355	97	3	0	1	1	97	3	0										-794.997355	1	NaN	
794.917355	97	3	0	1	1	97	3	0										-794.917355	1	NaN	
794.837355	97	3	0	1	1	97	3	0										-794.837355	1	NaN	
794.757355	97	3	0	1	1	97	3	0										-794.757355	1	NaN	
794.677355	97	3	0	1	1	97	3	0										-794.677355	1	NaN	
794.597355	97	3	0	1	1	97	3	0										-794.597355	1	NaN	
794.517355	97	3	0	1	1	97	3	0										-794.517355	1	NaN	
794.437355	97	3	0	1	1	97	3	0										-794.437355	1	NaN	
794.357355	97	3	0	1	1	97	3	0										-794.357355	1	NaN	
794.277355	97	3	0	1	1	97	3	0										-794.277355	1	NaN	
794.197355	97	3	0	1	1	97	3	0										-794.197355	1	NaN	
794.117355	97	3	0	1	1	97	3	0										-794.117355	1	NaN	
