T	w(AL)	w(LI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(LI@FCC_A1)	w(AL@LIQUID)	w(LI@LIQUID)	dwdT_L(AL@FCC_A1)	dwdT_L(LI@FCC_A1)	dwdT_L(AL@LIQUID)	dwdT_L(LI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	mole/mole	kg/kg	%	%	%	%	SI	SI	SI	SI				
652.933654	91	9	0.7812697258	0.01529667513	88.47452629	11.52547371	81.71740245	18.28259755	0.1037654014	-0.1037654014	0	0	-652.933654	0.01529667513	-55271.0895963387	
650.373654	91	9	0.7841851474	0.01525142049	88.38799746	11.61200254	81.61409081	18.38590919	0.1037153869	-0.1037153869	0	0	-650.373654	0.01525142049	-58053.9678934252	
647.813654	91	9	0.787053376	0.01520837124	88.30117216	11.69882784	81.51082067	18.48917933	0.1036737223	-0.1036737223	0	0	-647.813654	0.01520837124	-61094.2194946118	
645.253654	91	9	0.7898756906	0.01516750229	88.21404236	11.78595764	81.40758375	18.59241625	0.1036403933	-0.1036403933	0	0	-645.253654	0.01516750229	-64431.7900463109	
642.693654	91	9	0.7926533261	0.0151287905	88.12659996	11.87340004	81.30437173	18.69562827	0.1036153914	-0.1036153914	0	0	-642.693654	0.0151287905	-68115.4421173111	
640.133654	91	9	0.7953874756	0.01509221468	88.0388367	11.9611633	81.20117634	18.79882366	0.1035987137	-0.1035987137	0	0	-640.133654	0.01509221468	-72205.226208642	
637.573654	91	9	0.7980792918	0.01505775548	87.95074424	12.04925576	81.09798928	18.90201072	0.1035903629	-0.1035903629	0	0	-637.573654	0.01505775548	-76776.0331616816	
635.013654	91	9	0.8007298889	0.01502539544	87.86231411	12.13768589	80.99480224	19.00519776	0.1035903443	-0.1035903443	0	0	-635.013654	0.01502539544	-81922.3981929359	
632.453654	91	9	0.8033403446	0.01499511886	87.77353771	12.22646229	80.89160692	19.10839308	0.1035986773	-0.1035986773	0	0	-632.453654	0.01499511886	-87765.4939525706	
629.893654	91	9	0.805911701	0.01496691187	87.68440633	12.31559367	80.78839497	19.21160503	0.1036153783	-0.1036153783	0	0	-629.893654	0.01496691187	-94463.1822450499	
627.333654	91	9	0.8084449665	0.01494076232	87.59491109	12.40508891	80.68515803	19.31484197	0.1036404722	-0.1036404722	0	0	-627.333654	0.01494076232	-102225.115725351	
624.773654	91	9	0.8109411174	0.01491665983	87.50504301	12.49495699	80.58188772	19.41811228	0.1036739894	-0.1036739894	0	0	-624.773654	0.01491665983	-111335.904147704	
622.213654	91	9	0.8134010987	0.01489459571	87.41479293	12.58520707	80.4785756	19.5214244	0.1037159659	-0.1037159659	0	0	-622.213654	0.01489459571	-122192.043028319	
619.653654	91	9	0.8158258259	0.01487456298	87.32415156	12.67584844	80.37521322	19.62478678	0.1037664436	-0.1037664436	0	0	-619.653654	0.01487456298	-135363.429770977	
617.093654	91	9	0.8182161859	0.01485655638	87.23310943	12.76689057	80.27179205	19.72820795	0.1038254698	-0.1038254698	0	0	-617.093654	0.01485655638	-151700.093898082	
