T	w(CU)	w(FE)	w(TI)	fs	fw(@BCC_A2)	w(CU@BCC_A2)	w(FE@BCC_A2)	w(TI@BCC_A2)	w(CU@LIQUID)	w(FE@LIQUID)	w(TI@LIQUID)	w(CU@BCC_B2#1)	w(FE@BCC_B2#1)	w(TI@BCC_B2#1)	w(CU@BCC_B2#2)	w(FE@BCC_B2#2)	w(TI@BCC_B2#2)	dwdT_L(CU@LIQUID)	dwdT_L(FE@LIQUID)	dwdT_L(TI@LIQUID)	-T	fw(@BCC_A2)_1	-T//fw(@BCC_A2)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	%	%	%	SI	SI	SI				
1718.769535	6	8	86	0.02249617279	0.0004841355781	2.684013159	3.20071852	94.11526832	6.075546051	8.109381994	85.81507196							0	0	0	-1718.769535	0.0004841355781	-447587.897026213	
1718.689535	6	8	86	0.02297670696	0.0004839569137	2.68484262	3.202007269	94.11315011	6.077187799	8.111758101	85.8110541							0	0	0	-1718.689535	0.0004839569137	-447939.876674903	
1718.609535	6	8	86	0.02345682951	0.0004837783872	2.685671986	3.20329615	94.11103186	6.078829335	8.114133857	85.80703681							0	0	0	-1718.609535	0.0004837783872	-448284.756778391	
1718.529535	6	8	86	0.02393654095	0.0004835999976	2.686501257	3.204585163	94.10891358	6.080470659	8.116509263	85.80302008							0	0	0	-1718.529535	0.0004835999976	-448630.676180963	
1718.449535	6	8	86	0.02441584178	0.0004834217463	2.687330433	3.205874308	94.10679526	6.082111769	8.118884318	85.79900391							0	0	0	-1718.449535	0.0004834217463	-448977.755319089	
1718.369535	6	8	86	0.02489473252	0.0004832436324	2.688159514	3.207163585	94.1046769	6.083752668	8.121259023	85.79498831							0	0	0	-1718.369535	0.0004832436324	-449326.260078986	
1718.289535	6	8	86	0.02537321367	0.0004830656575	2.688988499	3.208452994	94.10255851	6.085393354	8.123633377	85.79097327							0	0	0	-1718.289535	0.0004830656575	-449672.641980463	
1718.209535	6	8	86	0.02585128574	0.0004828878179	2.689817389	3.209742536	94.10044007	6.087033829	8.126007381	85.78695879							0	0	0	-1718.209535	0.0004828878179	-450022.235029094	
1718.129535	6	8	86	0.02632894924	0.0004827101194	2.690646184	3.21103221	94.09832161	6.088674091	8.128381034	85.78294487							0	0	0	-1718.129535	0.0004827101194	-450373.364939791	
1718.049535	6	8	86	0.02680620467	0.000482532557	2.691474884	3.212322016	94.0962031	6.090314141	8.130754337	85.77893152							0	0	0	-1718.049535	0.000482532557	-450718.068864407	
1717.969535	6	8	86	0.02728305254	0.0004823551302	2.692303488	3.213611954	94.09408456	6.09195398	8.13312729	85.77491873							0	0	0	-1717.969535	0.0004823551302	-451066.104689242	
1717.889535	6	8	86	0.02775949334	0.0004821778417	2.693131997	3.214902025	94.09196598	6.093593607	8.135499893	85.7709065							0	0	0	-1717.889535	0.0004821778417	-451416.708699641	
1717.809535	6	8	86	0.02823552759	0.0004820006904	2.693960411	3.216192229	94.08984736	6.095233022	8.137872145	85.76689483							0	0	0	-1717.809535	0.0004820006904	-451766.201694288	
1717.729535	6	8	86	0.02871115578	0.0004818236761	2.694788729	3.217482565	94.08772871	6.096872227	8.140244047	85.76288373							0	0	0	-1717.729535	0.0004818236761	-452112.398545886	
1717.649535	6	8	86	0.02918637841	0.000481646796	2.695616952	3.218773034	94.08561001	6.09851122	8.1426156	85.75887318							0	0	0	-1717.649535	0.000481646796	-452463.366377779	
1717.569535	6	8	86	0.02966119599	0.0004814700562	2.69644508	3.220063636	94.08349128	6.100150001	8.144986802	85.7548632							0	0	0	-1717.569535	0.0004814700562	-452812.288396619	
1717.489535	6	8	86	0.03013560901	0.0004812934486	2.697273112	3.22135437	94.08137252	6.101788572	8.147357655	85.75085377							0	0	0	-1717.489535	0.0004812934486	-453162.295256873	
1717.409535	6	8	86	0.03060961799	0.0004811169817	2.698101049	3.222645238	94.07925371	6.103426932	8.149728157	85.74684491							0	0	0	-1717.409535	0.0004811169817	-453513.839756329	
1717.329535	6	8	86	0.0310832234	0.0004809406478	2.69892889	3.223936238	94.07713487	6.105065081	8.15209831	85.74283661							0	0	0	-1717.329535	0.0004809406478	-453861.060852591	
1717.249535	6	8	86	0.03155642575	0.0004807644508	2.699756636	3.225227371	94.07501599	6.10670302	8.154468113	85.73882887							0	0	0	-1717.249535	0.0004807644508	-454212.672810074	
1717.169535	6	8	86	0.03202922554	0.0004805883898	2.700584286	3.226518637	94.07289708	6.108340748	8.156837566	85.73482169							0	0	0	-1717.169535	0.0004805883898	-454560.306675993	
1717.089535	6	8	86	0.03250162325	0.0004804124622	2.701411841	3.227810036	94.07077812	6.109978265	8.15920667	85.73081506							0	0	0	-1717.089535	0.0004804124622	-454912.110541713	
1717.009535	6	8	86	0.0329736194	0.0004802366734	2.702239301	3.229101569	94.06865913	6.111615573	8.161575424	85.726809							0	0	0	-1717.009535	0.0004802366734	-455265.216157052	
1716.929535	6	8	86	0.03344521446	0.0004800610186	2.703066665	3.230393235	94.0665401	6.11325267	8.163943829	85.7228035							0	0	0	-1716.929535	0.0004800610186	-455614.601535733	
1716.849535	6	8	86	0.03391640894	0.0004798854993	2.703893933	3.231685033	94.06442103	6.114889557	8.166311884	85.71879856							0	0	0	-1716.849535	0.0004798854993	-455965.949138721	
1716.769535	6	8	86	0.03438720333	0.0004797101151	2.704721106	3.232976966	94.06230193	6.116526234	8.16867959	85.71479418							0	0	0	-1716.769535	0.0004797101151	-456315.103507156	
1716.689535	6	8	86	0.03485759811	0.0004795348643	2.705548183	3.234269031	94.06018279	6.118162702	8.171046946	85.71079035							0	0	0	-1716.689535	0.0004795348643	-456665.713586741	
1716.609535	6	8	86	0.03532759379	0.0004793597493	2.706375165	3.23556123	94.0580636	6.119798959	8.173413953	85.70678709							0	0	0	-1716.609535	0.0004793597493	-457018.814350498	
1716.529535	6	8	86	0.03579719084	0.0004791847692	2.707202051	3.236853563	94.05594439	6.121435008	8.175780611	85.70278438							0	0	0	-1716.529535	0.0004791847692	-457371.024822959	
1716.449535	6	8	86	0.03626638976	0.0004790099238	2.708028842	3.238146029	94.05382513	6.123070846	8.17814692	85.69878223							0	0	0	-1716.449535	0.0004790099238	-457723.123666524	
1716.369535	6	8	86	0.03673519104	0.0004788352128	2.708855537	3.239438629	94.05170583	6.124706476	8.18051288	85.69478064							0	0	0	-1716.369535	0.0004788352128	-458074.452783722	
1716.289535	6	8	86	0.03720359516	0.0004786606355	2.709682136	3.240731362	94.0495865	6.126341896	8.18287849	85.69077961							0	0	0	-1716.289535	0.0004786606355	-458425.798274264	
1716.209535	6	8	86	0.03767160262	0.0004784861922	2.71050864	3.24202423	94.04746713	6.127977107	8.185243752	85.68677914							0	0	0	-1716.209535	0.0004784861922	-458779.262949656	
1716.129535	6	8	86	0.0381392139	0.0004783118838	2.711335048	3.243317231	94.04534772	6.12961211	8.187608665	85.68277923							0	0	0	-1716.129535	0.0004783118838	-459131.158212732	
1716.049535	6	8	86	0.03860642948	0.0004781377078	2.71216136	3.244610366	94.04322827	6.131246903	8.189973228	85.67877987							0	0	0	-1716.049535	0.0004781377078	-459483.207365071	
1715.969535	6	8	86	0.03907324984	0.0004779636664	2.712987576	3.245903634	94.04110879	6.132881488	8.192337443	85.67478107							0	0	0	-1715.969535	0.0004779636664	-459837.376195102	
1715.889535	6	8	86	0.03953967549	0.0004777897586	2.713813697	3.247197037	94.03898927	6.134515864	8.19470131	85.67078283							0	0	0	-1715.889535	0.0004777897586	-460189.444248244	
1715.809535	6	8	86	0.04000570688	0.0004776159834	2.714639722	3.248490574	94.0368697	6.136150032	8.197064827	85.66678514							0	0	0	-1715.809535	0.0004776159834	-460543.118021428	
1715.729535	6	8	86	0.04047134452	0.0004774423426	2.715465652	3.249784245	94.0347501	6.137783992	8.199427996	85.66278801							0	0	0	-1715.729535	0.0004774423426	-460896.796614703	
1715.649535	6	8	86	0.04093658888	0.000477268834	2.716291485	3.251078051	94.03263046	6.139417743	8.201790816	85.65879144							0	0	0	-1715.649535	0.000477268834	-461249.163385663	
1715.569535	6	8	86	0.04140144044	0.0004770954584	2.717117223	3.25237199	94.03051079	6.141051286	8.204153288	85.65479543							0	0	0	-1715.569535	0.0004770954584	-461603.133113455	
1715.489535	6	8	86	0.04186589968	0.0004769222158	2.717942865	3.253666064	94.02839107	6.142684621	8.206515411	85.65079997							0	0	0	-1715.489535	0.0004769222158	-461957.512958853	
1715.409535	6	8	86	0.04232996708	0.0004767491061	2.718768411	3.254960272	94.02627132	6.144317749	8.208877186	85.64680507							0	0	0	-1715.409535	0.0004767491061	-462310.297173493	
1715.329535	6	8	86	0.04279364312	0.0004765761278	2.719593861	3.256254615	94.02415152	6.145950668	8.211238612	85.64281072							0	0	0	-1715.329535	0.0004765761278	-462665.904647482	
1715.249535	6	8	86	0.04325692829	0.0004764032841	2.720419216	3.257549092	94.02203169	6.14758338	8.21359969	85.63881693							0	0	0	-1715.249535	0.0004764032841	-463020.972843362	
1715.169535	6	8	86	0.04371982304	0.000476230571	2.721244474	3.258843703	94.01991182	6.149215885	8.21596042	85.63482369							0	0	0	-1715.169535	0.000476230571	-463374.18361737	
1715.089535	6	8	86	0.04418232787	0.0004760579907	2.722069637	3.260138449	94.01779191	6.150848182	8.218320802	85.63083102							0	0	0	-1715.089535	0.0004760579907	-463730.213000372	
1715.009535	6	8	86	0.04464444325	0.0004758855427	2.722894703	3.26143333	94.01567197	6.152480272	8.220680835	85.62683889							0	0	0	-1715.009535	0.0004758855427	-464084.230480414	
1714.929535	6	8	86	0.04510616964	0.0004757132256	2.723719674	3.262728346	94.01355198	6.154112155	8.223040521	85.62284732							0	0	0	-1714.929535	0.0004757132256	-464435.95925429	
1714.849535	6	8	86	0.04556750754	0.0004755410387	2.724544549	3.264023496	94.01143195	6.155743831	8.225399858	85.61885631							0	0	0	-1714.849535	0.0004755410387	-464794.850656736	
1714.769535	6	8	86	0.0460284574	0.0004753689876	2.725369328	3.265318782	94.00931189	6.1573753	8.227758848	85.61486585							0	0	0	-1714.769535	0.0004753689876	-465152.513108738	
1714.689535	6	8	86	0.04648901971	0.0004751970654	2.726194011	3.266614202	94.00719179	6.159006562	8.230117489	85.61087595							0	0	0	-1714.689535	0.0004751970654	-465504.922390496	
1714.609535	6	8	86	0.04694919493	0.0004750252747	2.727018597	3.267909757	94.00507165	6.160637618	8.232475783	85.6068866							0	0	0	-1714.609535	0.0004750252747	-465860.572291591	
1714.529535	6	8	86	0.04740898354	0.0004748536149	2.727843088	3.269205447	94.00295146	6.162268467	8.234833729	85.6028978							0	0	0	-1714.529535	0.0004748536149	-466216.904595164	
1714.449535	6	8	86	0.047868386	0.0004746820867	2.728667483	3.270501273	94.00083124	6.16389911	8.237191327	85.59890956							0	0	0	-1714.449535	0.0004746820867	-466573.098191371	
1714.369535	6	8	86	0.04832740279	0.0004745106889	2.729491782	3.271797233	93.99871099	6.165529546	8.239548577	85.59492188							0	0	0	-1714.369535	0.0004745106889	-466929.295577854	
1714.289535	6	8	86	0.04878603438	0.0004743394223	2.730315985	3.273093329	93.99659069	6.167159776	8.24190548	85.59093474							0	0	0	-1714.289535	0.0004743394223	-467286.8539991	
1714.209535	6	8	86	0.04924428123	0.0004741682867	2.731140091	3.27438956	93.99447035	6.168789801	8.244262035	85.58694816							0	0	0	-1714.209535	0.0004741682867	-467643.455490426	
1714.129535	6	8	86	0.04970214381	0.0004739972812	2.731964102	3.275685926	93.99234997	6.170419619	8.246618243	85.58296214							0	0	0	-1714.129535	0.0004739972812	-467999.508632933	
1714.049535	6	8	86	0.05015962259	0.0004738264059	2.732788016	3.276982428	93.99022956	6.172049232	8.248974103	85.57897667							0	0	0	-1714.049535	0.0004738264059	-468355.005502908	
1713.969535	6	8	86	0.05061671803	0.0004736556599	2.733611834	3.278279065	93.9881091	6.173678639	8.251329616	85.57499175							0	0	0	-1713.969535	0.0004736556599	-468713.384418847	
1713.889535	6	8	86	0.05107343061	0.0004734850458	2.734435556	3.279575838	93.98598861	6.17530784	8.253684782	85.57100738							0	0	0	-1713.889535	0.0004734850458	-469071.888085641	
1713.809535	6	8	86	0.05152976077	0.0004733145607	2.735259182	3.280872746	93.98386807	6.176936836	8.2560396	85.56702356							0	0	0	-1713.809535	0.0004733145607	-469426.952604451	
1713.729535	6	8	86	0.051985709	0.0004731442046	2.736082712	3.28216979	93.9817475	6.178565627	8.258394071	85.5630403							0	0	0	-1713.729535	0.0004731442046	-469786.975789092	
1713.649535	6	8	86	0.05244127575	0.0004729739807	2.736906146	3.28346697	93.97962688	6.180194212	8.260748195	85.55905759							0	0	0	-1713.649535	0.0004729739807	-470144.770943929	
1713.569535	6	8	86	0.05289646148	0.0004728038838	2.737729483	3.284764285	93.97750623	6.181822592	8.263101971	85.55507544							0	0	0	-1713.569535	0.0004728038838	-470501.470572628	
1713.489535	6	8	86	0.05335126665	0.0004726339179	2.738552724	3.286061737	93.97538554	6.183450768	8.265455401	85.55109383							0	0	0	-1713.489535	0.0004726339179	-470860.637917272	
1713.409535	6	8	86	0.05380569173	0.0004724640804	2.739375869	3.287359324	93.97326481	6.185078738	8.267808484	85.54711278							0	0	0	-1713.409535	0.0004724640804	-471217.863191255	
