T	w(FE)	w(TI)	fs	fw(@BCC_A2)	w(FE@BCC_A2)	w(TI@BCC_A2)	w(FE@LIQUID)	w(TI@LIQUID)	w(FE@BCC_B2)	w(TI@BCC_B2)	dwdT_L(FE@LIQUID)	dwdT_L(TI@LIQUID)	-T	fw(@BCC_A2)_1	-T//fw(@BCC_A2)	
K	%	%	mole/mole	kg/kg	%	%	%	%	%	%	SI	SI				
1749.531144	11	89	0.07886035465	0.0005696855454	4.617264418	95.38273558	11.55395458	88.44604542			0	0	-1749.531144	0.0005696855454	-364277.167675197	
1749.451144	11	89	0.07939018857	0.0005694660394	4.619469104	95.3805309	11.55790579	88.44209421			0	0	-1749.451144	0.0005694660394	-364631.814113606	
1749.371144	11	89	0.07991951518	0.0005692467464	4.621674128	95.37832587	11.56185646	88.43814354			0	0	-1749.371144	0.0005692467464	-364988.24015889	
1749.291144	11	89	0.08044833519	0.0005690276689	4.623879491	95.37612051	11.56580661	88.43419339			0	0	-1749.291144	0.0005690276689	-365345.773470632	
1749.211144	11	89	0.08097664934	0.0005688088049	4.626085191	95.37391481	11.56975623	88.43024377			0	0	-1749.211144	0.0005688088049	-365702.925717716	
1749.131144	11	89	0.08150445834	0.0005685901551	4.62829123	95.37170877	11.57370533	88.42629467			0	0	-1749.131144	0.0005685901551	-366058.425094078	
1749.051144	11	89	0.0820317629	0.000568371716	4.630497607	95.36950239	11.57765389	88.42234611			0	0	-1749.051144	0.000568371716	-366416.981924923	
1748.971144	11	89	0.08255856374	0.0005681534939	4.632704323	95.36729568	11.58160193	88.41839807			0	0	-1748.971144	0.0005681534939	-366774.789039647	
1748.891144	11	89	0.08308486159	0.0005679354808	4.634911378	95.36508862	11.58554945	88.41445055			0	0	-1748.891144	0.0005679354808	-367132.815505599	
1748.811144	11	89	0.08361065715	0.0005677176841	4.637118772	95.36288123	11.58949643	88.41050357			0	0	-1748.811144	0.0005677176841	-367493.039489956	
1748.731144	11	89	0.08413595114	0.0005675000982	4.639326505	95.3606735	11.59344289	88.40655711			0	0	-1748.731144	0.0005675000982	-367849.837470213	
1748.651144	11	89	0.08466074426	0.0005672827238	4.641534577	95.35846542	11.59738883	88.40261117			0	0	-1748.651144	0.0005672827238	-368208.685061275	
1748.571144	11	89	0.08518503724	0.0005670655618	4.643742989	95.35625701	11.60133424	88.39866576			0	0	-1748.571144	0.0005670655618	-368566.188909205	
1748.491144	11	89	0.08570883077	0.0005668486089	4.64595174	95.35404826	11.60527912	88.39472088			0	0	-1748.491144	0.0005668486089	-368926.529403915	
1748.411144	11	89	0.08623212556	0.0005666318709	4.648160832	95.35183917	11.60922348	88.39077652			0	0	-1748.411144	0.0005666318709	-369289.776237745	
1748.331144	11	89	0.08675492233	0.0005664153446	4.650370263	95.34962974	11.61316732	88.38683268			0	0	-1748.331144	0.0005664153446	-369647.845657505	
1748.251144	11	89	0.08727722177	0.0005661990263	4.652580034	95.34741997	11.61711063	88.38288937			0	0	-1748.251144	0.0005661990263	-370006.365212587	
1748.171144	11	89	0.0877990246	0.0005659829194	4.654790145	95.34520985	11.62105341	88.37894659			0	0	-1748.171144	0.0005659829194	-370367.115748923	
1748.091144	11	89	0.0883203315	0.0005657670223	4.657000597	95.3429994	11.62499568	88.37500432			0	0	-1748.091144	0.0005657670223	-370728.575784275	
1748.011144	11	89	0.08884114319	0.0005655513366	4.659211389	95.34078861	11.62893741	88.37106259			0	0	-1748.011144	0.0005655513366	-371089.701854031	
1747.931144	11	89	0.08936146037	0.0005653358595	4.661422523	95.33857748	11.63287863	88.36712137			0	0	-1747.931144	0.0005653358595	-371451.88718136	
1747.851144	11	89	0.08988128372	0.0005651205942	4.663633997	95.336366	11.63681932	88.36318068			0	0	-1747.851144	0.0005651205942	-371814.24996776	
1747.771144	11	89	0.09040061396	0.0005649055369	4.665845812	95.33415419	11.64075948	88.35924052			0	0	-1747.771144	0.0005649055369	-372174.470817912	
1747.691144	11	89	0.09091945177	0.0005646906881	4.668057968	95.33194203	11.64469913	88.35530087			0	0	-1747.691144	0.0005646906881	-372536.51844579	
