T	w(CU)	w(FE)	w(TI)	fs	fw(@BCC_A2)	w(CU@BCC_A2)	w(FE@BCC_A2)	w(TI@BCC_A2)	w(CU@LIQUID)	w(FE@LIQUID)	w(TI@LIQUID)	w(CU@BCC_B2#1)	w(FE@BCC_B2#1)	w(TI@BCC_B2#1)	w(CU@BCC_B2#2)	w(FE@BCC_B2#2)	w(TI@BCC_B2#2)	w(CU@BCC_B2#3)	w(FE@BCC_B2#3)	w(TI@BCC_B2#3)	w(CU@CUTI2)	w(FE@CUTI2)	w(TI@CUTI2)	dwdT_L(CU@LIQUID)	dwdT_L(FE@LIQUID)	dwdT_L(TI@LIQUID)	-T	fw(@BCC_A2)_1	-T//fw(@BCC_A2)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	SI	SI	SI				
625.5890502	15	5	80	1											35.69049305	5.730220998	58.57928595				38.941652	0.8750999835	60.18324801				-625.5890502			
625.4290502	15	5	80	1											35.69049305	5.730220998	58.57928595				38.941652	0.8750999835	60.18324801				-625.4290502			
625.2690502	15	5	80	1											35.69049305	5.730220998	58.57928595				38.941652	0.8750999835	60.18324801				-625.2690502			
625.1090502	15	5	80	1											35.69049305	5.730220998	58.57928595				38.941652	0.8750999835	60.18324801				-625.1090502			
624.9490502	15	5	80	1											35.69049305	5.730220998	58.57928595				38.941652	0.8750999835	60.18324801				-624.9490502			
624.7890502	15	5	80	1											35.69049305	5.730220998	58.57928595				38.941652	0.8750999835	60.18324801				-624.7890502			
624.6290502	15	5	80	1											35.69049305	5.730220998	58.57928595				38.941652	0.8750999835	60.18324801				-624.6290502			
624.4690502	15	5	80	1											35.69049305	5.730220998	58.57928595				38.941652	0.8750999835	60.18324801				-624.4690502			
624.3090502	15	5	80	1											35.69049305	5.730220998	58.57928595				38.941652	0.8750999835	60.18324801				-624.3090502			
624.1490502	15	5	80	1											35.69049305	5.730220998	58.57928595				38.941652	0.8750999835	60.18324801				-624.1490502			
623.9890502	15	5	80	1											35.69049305	5.730220998	58.57928595				38.941652	0.8750999835	60.18324801				-623.9890502			
623.8290502	15	5	80	1											35.69049305	5.730220998	58.57928595				38.941652	0.8750999835	60.18324801				-623.8290502			
623.6690502	15	5	80	1											35.69049305	5.730220998	58.57928595				38.941652	0.8750999835	60.18324801				-623.6690502			
623.5090502	15	5	80	1											35.69049305	5.730220998	58.57928595				38.941652	0.8750999835	60.18324801				-623.5090502			
623.3490502	15	5	80	1											35.69049305	5.730220998	58.57928595				38.941652	0.8750999835	60.18324801				-623.3490502			
623.1890502	15	5	80	1											35.69049305	5.730220998	58.57928595				38.941652	0.8750999835	60.18324801				-623.1890502			
623.0290502	15	5	80	1											35.69049305	5.730220998	58.57928595				38.941652	0.8750999835	60.18324801				-623.0290502			
622.8690502	15	5	80	1											35.69049305	5.730220998	58.57928595				38.941652	0.8750999835	60.18324801				-622.8690502			
