T	w(CU)	w(TI)	fs	fw(@BCC_A2)	w(CU@BCC_A2)	w(TI@BCC_A2)	w(CU@LIQUID)	w(TI@LIQUID)	w(CU@CUTI2)	w(TI@CUTI2)	dwdT_L(CU@LIQUID)	dwdT_L(TI@LIQUID)	-T	fw(@BCC_A2)_1	-T//fw(@BCC_A2)	
K	%	%	mole/mole	kg/kg	%	%	%	%	%	%	SI	SI				
1922.424997	1	99	0.5769958925	0.00673919417	0.634129103	99.3658709	1.72025175	98.27974825			0	0	-1922.424997	0.00673919417	-2747.78617866239	
1922.344997	1	99	0.5798419481	0.006710204253	0.6368749193	99.36312508	1.727570538	98.27242946			0	0	-1922.344997	0.006710204253	-2771.52839801519	
1922.264997	1	99	0.5826567782	0.006681462163	0.6396208281	99.36037917	1.734888526	98.26511147			0	0	-1922.264997	0.006681462163	-2795.37187041338	
1922.184997	1	99	0.5854408568	0.006652964697	0.6423668291	99.35763317	1.742205713	98.25779429			0	0	-1922.184997	0.006652964697	-2819.31627821443	
1922.104997	1	99	0.5881946487	0.006624708759	0.6451129221	99.35488708	1.7495221	98.2504779			0	0	-1922.104997	0.006624708759	-2843.36331142688	
1922.024997	1	99	0.5909186098	0.006596691288	0.647859107	99.35214089	1.756837688	98.24316231			0	0	-1922.024997	0.006596691288	-2867.51366000121	
1921.944997	1	99	0.5936131872	0.006568909304	0.6506053836	99.34939462	1.764152475	98.23584752			0	0	-1921.944997	0.006568909304	-2891.76596617319	
1921.864997	1	99	0.5962788195	0.006541359822	0.6533517517	99.34664825	1.771466464	98.22853354			0	0	-1921.864997	0.006541359822	-2916.11855849035	
1921.784997	1	99	0.5989159369	0.006514039929	0.6560982112	99.34390179	1.778779654	98.22122035			0	0	-1921.784997	0.006514039929	-2940.57583420331	
1921.704997	1	99	0.6015249616	0.00648694682	0.6588447618	99.34115524	1.786092045	98.21390795			0	0	-1921.704997	0.00648694682	-2965.13393113592	
1921.624997	1	99	0.6041063076	0.006460077608	0.6615914034	99.3384086	1.793403638	98.20659636			0	0	-1921.624997	0.006460077608	-2989.79270867058	
1921.544997	1	99	0.6066603812	0.006433429576	0.6643381358	99.33566186	1.800714433	98.19928557			0	0	-1921.544997	0.006433429576	-3014.55754239636	
1921.464997	1	99	0.6091875812	0.006407000027	0.6670849588	99.33291504	1.80802443	98.19197557			0	0	-1921.464997	0.006407000027	-3039.42165049962	
1921.384997	1	99	0.6116882989	0.006380786214	0.6698318722	99.33016813	1.81533363	98.18466637			0	0	-1921.384997	0.006380786214	-3064.38662776838	
1921.304997	1	99	0.6141629182	0.006354785554	0.6725788759	99.32742112	1.822642033	98.17735797			0	0	-1921.304997	0.006354785554	-3089.45611060854	
1921.224997	1	99	0.6166118162	0.006328995451	0.6753259697	99.32467403	1.829949639	98.17005036			0	0	-1921.224997	0.006328995451	-3114.62728456451	
1921.144997	1	99	0.6190353628	0.006303413357	0.6780731534	99.32192685	1.837256449	98.16274355			0	0	-1921.144997	0.006303413357	-3139.90094878262	
1921.064997	1	99	0.6214339211	0.006278036772	0.6808204268	99.31917957	1.844562462	98.15543754			0	0	-1921.064997	0.006278036772	-3165.27608646253	
1920.984997	1	99	0.6238078478	0.006252863213	0.6835677898	99.31643221	1.85186768	98.14813232			0	0	-1920.984997	0.006252863213	-3190.7530739225	
1920.904997	1	99	0.626157493	0.006227890265	0.6863152421	99.31368476	1.859172102	98.1408279			0	0	-1920.904997	0.006227890265	-3216.33263756407	
1920.824997	1	99	0.6284832003	0.006203115535	0.6890627836	99.31093722	1.866475729	98.13352427			0	0	-1920.824997	0.006203115535	-3242.01361325054	
1920.744997	1	99	0.6307853073	0.006178536666	0.6918104141	99.30818959	1.873778561	98.12622144			0	0	-1920.744997	0.006178536666	-3267.79747637457	
1920.664997	1	99	0.6330641454	0.006154151362	0.6945581335	99.30544187	1.881080598	98.1189194			0	0	-1920.664997	0.006154151362	-3293.68460366699	
1920.584997	1	99	0.6353200401	0.006129957345	0.6973059415	99.30269406	1.88838184	98.11161816			0	0	-1920.584997	0.006129957345	-3319.67341798395	
1920.504997	1	99	0.6375533113	0.006105952367	0.700053838	99.29994616	1.895682289	98.10431771			0	0	-1920.504997	0.006105952367	-3345.76224103019	
1920.424997	1	99	0.6397642728	0.006082134197	0.7028018227	99.29719818	1.902981944	98.09701806			0	0	-1920.424997	0.006082134197	-3371.95295247337	
1920.344997	1	99	0.6419532332	0.006058500683	0.7055498956	99.2944501	1.910280805	98.08971919			0	0	-1920.344997	0.006058500683	-3398.24831648926	
1920.264997	1	99	0.6441204954	0.006035049701	0.7082980565	99.29170194	1.917578873	98.08242113			0	0	-1920.264997	0.006035049701	-3424.64560178161	
1920.184997	1	99	0.6462663572	0.006011779127	0.7110463051	99.28895369	1.924876149	98.07512385			0	0	-1920.184997	0.006011779127	-3451.14342288027	
1920.104997	1	99	0.6483911112	0.005988686883	0.7137946412	99.28620536	1.932172631	98.06782737			0	0	-1920.104997	0.005988686883	-3477.74559165892	
1920.024997	1	99	0.6504950446	0.00596577096	0.7165430648	99.28345694	1.939468321	98.06053168			0	0	-1920.024997	0.00596577096	-3504.44770255112	
1919.944997	1	99	0.6525784399	0.005943029286	0.7192915756	99.28070842	1.94676322	98.05323678			0	0	-1919.944997	0.005943029286	-3531.25149692711	
1919.864997	1	99	0.6546415746	0.005920459934	0.7220401735	99.27795983	1.954057326	98.04594267			0	0	-1919.864997	0.005920459934	-3558.16082589678	
1919.784997	1	99	0.6566847214	0.005898060944	0.7247888582	99.27521114	1.961350641	98.03864936			0	0	-1919.784997	0.005898060944	-3585.16994570075	
1919.704997	1	99	0.6587081485	0.005875830374	0.7275376297	99.27246237	1.968643165	98.03135683			0	0	-1919.704997	0.005875830374	-3612.27984171118	
1919.624997	1	99	0.6607121192	0.005853766335	0.7302864876	99.26971351	1.975934899	98.0240651			0	0	-1919.624997	0.005853766335	-3639.49349809654	
1919.544997	1	99	0.6626968926	0.005831866979	0.7330354319	99.26696457	1.983225841	98.01677416			0	0	-1919.544997	0.005831866979	-3666.8105332619	
1919.464997	1	99	0.6646627232	0.005810130468	0.7357844623	99.26421554	1.990515993	98.00948401			0	0	-1919.464997	0.005810130468	-3694.22663908169	
1919.384997	1	99	0.6666098613	0.005788554958	0.7385335787	99.26146642	1.997805356	98.00219464			0	0	-1919.384997	0.005788554958	-3721.74748033215	
1919.304997	1	99	0.6685385529	0.00576713873	0.741282781	99.25871722	2.005093928	97.99490607			0	0	-1919.304997	0.00576713873	-3749.37087414468	
1919.224997	1	99	0.6704490401	0.00574587997	0.7440320688	99.25596793	2.012381712	97.98761829			0	0	-1919.224997	0.00574587997	-3777.09354294131	
1919.144997	1	99	0.6723415606	0.005724776971	0.7467814421	99.25321856	2.019668706	97.98033129			0	0	-1919.144997	0.005724776971	-3804.91973219954	
1919.064997	1	99	0.6742163484	0.00570382802	0.7495309007	99.2504691	2.026954911	97.97304509			0	0	-1919.064997	0.00570382802	-3832.84613467332	
1918.984997	1	99	0.6760736335	0.005683031423	0.7522804444	99.24771956	2.034240328	97.96575967			0	0	-1918.984997	0.005683031423	-3860.88022766922	
1918.904997	1	99	0.6779136421	0.005662385596	0.755030073	99.24496993	2.041524956	97.95847504			0	0	-1918.904997	0.005662385596	-3889.01336296742	
