T	w(TI)	fs	fw(@BCC_A2)	w(TI@BCC_A2)	w(TI@LIQUID)	dwdT_L(TI@LIQUID)	-T	fs_1	-T//fs	-T_1	fw(@BCC_A2)_1	-T//fw(@BCC_A2)	
K	%	mole/mole	kg/kg	%	%	SI							
952.8245187	100	1	1	100			-952.8245187	1	NaN	-952.8245187	1	NaN	
947.7045187	100	1	1	100			-947.7045187	1	NaN	-947.7045187	1	NaN	
942.5845187	100	1	1	100			-942.5845187	1	NaN	-942.5845187	1	NaN	
937.4645187	100	1	1	100			-937.4645187	1	NaN	-937.4645187	1	NaN	
932.3445187	100	1	1	100			-932.3445187	1	NaN	-932.3445187	1	NaN	
927.2245187	100	1	1	100			-927.2245187	1	NaN	-927.2245187	1	NaN	
922.1045187	100	1	1	100			-922.1045187	1	NaN	-922.1045187	1	NaN	
916.9845187	100	1	1	100			-916.9845187	1	NaN	-916.9845187	1	NaN	
911.8645187	100	1	1	100			-911.8645187	1	NaN	-911.8645187	1	NaN	
906.7445187	100	1	1	100			-906.7445187	1	NaN	-906.7445187	1	NaN	
901.6245187	100	1	1	100			-901.6245187	1	NaN	-901.6245187	1	NaN	
896.5045187	100	1	1	100			-896.5045187	1	NaN	-896.5045187	1	NaN	
891.3845187	100	1	1	100			-891.3845187	1	NaN	-891.3845187	1	NaN	
886.2645187	100	1	1	100			-886.2645187	1	NaN	-886.2645187	1	NaN	
881.1445187	100	1	1	100			-881.1445187	1	NaN	-881.1445187	1	NaN	
876.0245187	100	1	1	100			-876.0245187	1	NaN	-876.0245187	1	NaN	
870.9045187	100	1	1	100			-870.9045187	1	NaN	-870.9045187	1	NaN	
865.7845187	100	1	1	100			-865.7845187	1	NaN	-865.7845187	1	NaN	
860.6645187	100	1	1	100			-860.6645187	1	NaN	-860.6645187	1	NaN	
855.5445187	100	1	1	100			-855.5445187	1	NaN	-855.5445187	1	NaN	
850.4245187	100	1	1	100			-850.4245187	1	NaN	-850.4245187	1	NaN	
845.3045187	100	1	1	100			-845.3045187	1	NaN	-845.3045187	1	NaN	
840.1845187	100	1	1	100			-840.1845187	1	NaN	-840.1845187	1	NaN	
835.0645187	100	1	1	100			-835.0645187	1	NaN	-835.0645187	1	NaN	
829.9445187	100	1	1	100			-829.9445187	1	NaN	-829.9445187	1	NaN	
824.8245187	100	1	1	100			-824.8245187	1	NaN	-824.8245187	1	NaN	
819.7045187	100	1	1	100			-819.7045187	1	NaN	-819.7045187	1	NaN	
814.5845187	100	1	1	100			-814.5845187	1	NaN	-814.5845187	1	NaN	
809.4645187	100	1	1	100			-809.4645187	1	NaN	-809.4645187	1	NaN	
804.3445187	100	1	1	100			-804.3445187	1	NaN	-804.3445187	1	NaN	
799.2245187	100	1	1	100			-799.2245187	1	NaN	-799.2245187	1	NaN	
794.1045187	100	1	1	100			-794.1045187	1	NaN	-794.1045187	1	NaN	
788.9845187	100	1	1	100			-788.9845187	1	NaN	-788.9845187	1	NaN	
783.8645187	100	1	1	100			-783.8645187	1	NaN	-783.8645187	1	NaN	
778.7445187	100	1	1	100			-778.7445187	1	NaN	-778.7445187	1	NaN	
773.6245187	100	1	1	100			-773.6245187	1	NaN	-773.6245187	1	NaN	
768.5045187	100	1	1	100			-768.5045187	1	NaN	-768.5045187	1	NaN	
763.3845187	100	1	1	100			-763.3845187	1	NaN	-763.3845187	1	NaN	
758.2645187	100	1	1	100			-758.2645187	1	NaN	-758.2645187	1	NaN	
753.1445187	100	1	1	100			-753.1445187	1	NaN	-753.1445187	1	NaN	
748.0245187	100	1	1	100			-748.0245187	1	NaN	-748.0245187	1	NaN	
742.9045187	100	1	1	100			-742.9045187	1	NaN	-742.9045187	1	NaN	
737.7845187	100	1	1	100			-737.7845187	1	NaN	-737.7845187	1	NaN	
732.6645187	100	1	1	100			-732.6645187	1	NaN	-732.6645187	1	NaN	
727.5445187	100	1	1	100			-727.5445187	1	NaN	-727.5445187	1	NaN	
722.4245187	100	1	1	100			-722.4245187	1	NaN	-722.4245187	1	NaN	
717.3045187	100	1	1	100			-717.3045187	1	NaN	-717.3045187	1	NaN	
712.1845187	100	1	1	100			-712.1845187	1	NaN	-712.1845187	1	NaN	
707.0645187	100	1	1	100			-707.0645187	1	NaN	-707.0645187	1	NaN	
701.9445187	100	1	1	100			-701.9445187	1	NaN	-701.9445187	1	NaN	
696.8245187	100	1	1	100			-696.8245187	1	NaN	-696.8245187	1	NaN	
691.7045187	100	1	1	100			-691.7045187	1	NaN	-691.7045187	1	NaN	
686.5845187	100	1	1	100			-686.5845187	1	NaN	-686.5845187	1	NaN	
681.4645187	100	1	1	100			-681.4645187	1	NaN	-681.4645187	1	NaN	
676.3445187	100	1	1	100			-676.3445187	1	NaN	-676.3445187	1	NaN	
671.2245187	100	1	1	100			-671.2245187	1	NaN	-671.2245187	1	NaN	
666.1045187	100	1	1	100			-666.1045187	1	NaN	-666.1045187	1	NaN	
660.9845187	100	1	1	100			-660.9845187	1	NaN	-660.9845187	1	NaN	
655.8645187	100	1	1	100			-655.8645187	1	NaN	-655.8645187	1	NaN	
650.7445187	100	1	1	100			-650.7445187	1	NaN	-650.7445187	1	NaN	
645.6245187	100	1	1	100			-645.6245187	1	NaN	-645.6245187	1	NaN	
640.5045187	100	1	1	100			-640.5045187	1	NaN	-640.5045187	1	NaN	
635.3845187	100	1	1	100			-635.3845187	1	NaN	-635.3845187	1	NaN	
630.2645187	100	1	1	100			-630.2645187	1	NaN	-630.2645187	1	NaN	
625.1445187	100	1	1	100			-625.1445187	1	NaN	-625.1445187	1	NaN	
620.0245187	100	1	1	100			-620.0245187	1	NaN	-620.0245187	1	NaN	
614.9045187	100	1	1	100			-614.9045187	1	NaN	-614.9045187	1	NaN	
609.7845187	100	1	1	100			-609.7845187	1	NaN	-609.7845187	1	NaN	
604.6645187	100	1	1	100			-604.6645187	1	NaN	-604.6645187	1	NaN	
599.5445187	100	1	1	100			-599.5445187	1	NaN	-599.5445187	1	NaN	
594.4245187	100	1	1	100			-594.4245187	1	NaN	-594.4245187	1	NaN	
589.3045187	100	1	1	100			-589.3045187	1	NaN	-589.3045187	1	NaN	
584.1845187	100	1	1	100			-584.1845187	1	NaN	-584.1845187	1	NaN	
579.0645187	100	1	1	100			-579.0645187	1	NaN	-579.0645187	1	NaN	
573.9445187	100	1	1	100			-573.9445187	1	NaN	-573.9445187	1	NaN	
568.8245187	100	1	1	100			-568.8245187	1	NaN	-568.8245187	1	NaN	
563.7045187	100	1	1	100			-563.7045187	1	NaN	-563.7045187	1	NaN	
558.5845187	100	1	1	100			-558.5845187	1	NaN	-558.5845187	1	NaN	
553.4645187	100	1	1	100			-553.4645187	1	NaN	-553.4645187	1	NaN	
548.3445187	100	1	1	100			-548.3445187	1	NaN	-548.3445187	1	NaN	
543.2245187	100	1	1	100			-543.2245187	1	NaN	-543.2245187	1	NaN	
538.1045187	100	1	1	100			-538.1045187	1	NaN	-538.1045187	1	NaN	
532.9845187	100	1	1	100			-532.9845187	1	NaN	-532.9845187	1	NaN	
527.8645187	100	1	1	100			-527.8645187	1	NaN	-527.8645187	1	NaN	
522.7445187	100	1	1	100			-522.7445187	1	NaN	-522.7445187	1	NaN	
517.6245187	100	1	1	100			-517.6245187	1	NaN	-517.6245187	1	NaN	
512.5045187	100	1	1	100			-512.5045187	1	NaN	-512.5045187	1	NaN	
507.3845187	100	1	1	100			-507.3845187	1	NaN	-507.3845187	1	NaN	
502.2645187	100	1	1	100			-502.2645187	1	NaN	-502.2645187	1	NaN	
497.1445187	100	1	1	100			-497.1445187	1	NaN	-497.1445187	1	NaN	
492.0245187	100	1	1	100			-492.0245187	1	NaN	-492.0245187	1	NaN	
486.9045187	100	1	1	100			-486.9045187	1	NaN	-486.9045187	1	NaN	
481.7845187	100	1	1	100			-481.7845187	1	NaN	-481.7845187	1	NaN	
476.6645187	100	1	1	100			-476.6645187	1	NaN	-476.6645187	1	NaN	
471.5445187	100	1	1	100			-471.5445187	1	NaN	-471.5445187	1	NaN	
466.4245187	100	1	1	100			-466.4245187	1	NaN	-466.4245187	1	NaN	
461.3045187	100	1	1	100			-461.3045187	1	NaN	-461.3045187	1	NaN	
456.1845187	100	1	1	100			-456.1845187	1	NaN	-456.1845187	1	NaN	
451.0645187	100	1	1	100			-451.0645187	1	NaN	-451.0645187	1	NaN	
445.9445187	100	1	1	100			-445.9445187	1	NaN	-445.9445187	1	NaN	
440.8245187	100	1	1	100			-440.8245187	1	NaN	-440.8245187	1	NaN	
435.7045187	100	1	1	100			-435.7045187	1	NaN	-435.7045187	1	NaN	
430.5845187	100	1	1	100			-430.5845187	1	NaN	-430.5845187	1	NaN	
425.4645187	100	1	1	100			-425.4645187	1	NaN	-425.4645187	1	NaN	
420.3445187	100	1	1	100			-420.3445187	1	NaN	-420.3445187	1	NaN	
415.2245187	100	1	1	100			-415.2245187	1	NaN	-415.2245187	1	NaN	
410.1045187	100	1	1	100			-410.1045187	1	NaN	-410.1045187	1	NaN	
404.9845187	100	1	1	100			-404.9845187	1	NaN	-404.9845187	1	NaN	
399.8645187	100	1	1	100			-399.8645187	1	NaN	-399.8645187	1	NaN	
394.7445187	100	1	1	100			-394.7445187	1	NaN	-394.7445187	1	NaN	
389.6245187	100	1	1	100			-389.6245187	1	NaN	-389.6245187	1	NaN	
384.5045187	100	1	1	100			-384.5045187	1	NaN	-384.5045187	1	NaN	
379.3845187	100	1	1	100			-379.3845187	1	NaN	-379.3845187	1	NaN	
374.2645187	100	1	1	100			-374.2645187	1	NaN	-374.2645187	1	NaN	
369.1445187	100	1	1	100			-369.1445187	1	NaN	-369.1445187	1	NaN	
364.0245187	100	1	1	100			-364.0245187	1	NaN	-364.0245187	1	NaN	
358.9045187	100	1	1	100			-358.9045187	1	NaN	-358.9045187	1	NaN	
353.7845187	100	1	1	100			-353.7845187	1	NaN	-353.7845187	1	NaN	
348.6645187	100	1	1	100			-348.6645187	1	NaN	-348.6645187	1	NaN	
343.5445187	100	1	1	100			-343.5445187	1	NaN	-343.5445187	1	NaN	
338.4245187	100	1	1	100			-338.4245187	1	NaN	-338.4245187	1	NaN	
333.3045187	100	1	1	100			-333.3045187	1	NaN	-333.3045187	1	NaN	
328.1845187	100	1	1	100			-328.1845187	1	NaN	-328.1845187	1	NaN	
323.0645187	100	1	1	100			-323.0645187	1	NaN	-323.0645187	1	NaN	
317.9445187	100	1	1	100			-317.9445187	1	NaN	-317.9445187	1	NaN	
312.8245187	100	1	1	100			-312.8245187	1	NaN	-312.8245187	1	NaN	
