T	w(CU)	w(FE)	w(TI)	fs	fw(@BCC_A2)	w(CU@BCC_A2)	w(FE@BCC_A2)	w(TI@BCC_A2)	w(CU@LIQUID)	w(FE@LIQUID)	w(TI@LIQUID)	dwdT_L(CU@LIQUID)	dwdT_L(FE@LIQUID)	dwdT_L(TI@LIQUID)	-T	fw(@BCC_A2)_1	-T//fw(@BCC_A2)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	SI	SI	SI				
1731.736763	11	1	88	0.4132852794	0.0005527419986	6.233380013	0.5188935686	93.24772642	14.96686705	1.398752049	83.6343809	0	0	0	-1731.736763	0.0005527419986	-345668.011628246	
1731.656763	11	1	88	0.4136171288	0.0005525106483	6.235584623	0.5191208551	93.24529452	14.97169385	1.399238323	83.62906783	0	0	0	-1731.656763	0.0005525106483	-345927.646518026	
1731.576763	11	1	88	0.4139486543	0.000552279474	6.237789057	0.5193481607	93.24286278	14.97652007	1.399724537	83.62375539	0	0	0	-1731.576763	0.000552279474	-346188.036453199	
1731.496763	11	1	88	0.4142798561	0.0005520484716	6.239993314	0.5195754854	93.2404312	14.98134572	1.40021069	83.61844359	0	0	0	-1731.496763	0.0005520484716	-346448.602558971	
1731.416763	11	1	88	0.4146107347	0.0005518176449	6.242197395	0.5198028293	93.23799978	14.9861708	1.400696782	83.61313242	0	0	0	-1731.416763	0.0005518176449	-346708.574473048	
1731.336763	11	1	88	0.4149412906	0.0005515869888	6.2444013	0.5200301922	93.23556851	14.9909953	1.401182815	83.60782188	0	0	0	-1731.336763	0.0005515869888	-346967.064468625	
1731.256763	11	1	88	0.4152715242	0.0005513565059	6.246605028	0.5202575743	93.2331374	14.99581924	1.401668786	83.60251197	0	0	0	-1731.256763	0.0005513565059	-347229.179444106	
1731.176763	11	1	88	0.4156014359	0.0005511261979	6.24880858	0.5204849755	93.23070644	15.0006426	1.402154697	83.5972027	0	0	0	-1731.176763	0.0005511261979	-347490.855466486	
1731.096763	11	1	88	0.4159310261	0.000550896062	6.251011956	0.5207123959	93.22827565	15.0054654	1.402640548	83.59189405	0	0	0	-1731.096763	0.000550896062	-347750.358911441	
1731.016763	11	1	88	0.4162602954	0.0005506660976	6.253215156	0.5209398354	93.22584501	15.01028762	1.403126338	83.58658604	0	0	0	-1731.016763	0.0005506660976	-348010.554826111	
1730.936763	11	1	88	0.4165892441	0.0005504363057	6.255418178	0.521167294	93.22341453	15.01510927	1.403612068	83.58127866	0	0	0	-1730.936763	0.0005504363057	-348271.138133959	
1730.856763	11	1	88	0.4169178726	0.0005502066853	6.257621025	0.5213947718	93.2209842	15.01993035	1.404097736	83.57597191	0	0	0	-1730.856763	0.0005502066853	-348530.897687036	
1730.776763	11	1	88	0.4172461814	0.0005499772358	6.259823695	0.5216222687	93.21855404	15.02475086	1.404583345	83.57066579	0	0	0	-1730.776763	0.0005499772358	-348793.63547424	
1730.696763	11	1	88	0.417574171	0.0005497479612	6.262026189	0.5218497847	93.21612403	15.0295708	1.405068893	83.56536031	0	0	0	-1730.696763	0.0005497479612	-349056.379183038	
1730.616763	11	1	88	0.4179018417	0.000549518857	6.264228506	0.52207732	93.21369417	15.03439017	1.40555438	83.56005545	0	0	0	-1730.616763	0.000549518857	-349315.710422253	
1730.536763	11	1	88	0.4182291941	0.0005492899227	6.266430646	0.5223048743	93.21126448	15.03920897	1.406039806	83.55475123	0	0	0	-1730.536763	0.0005492899227	-349576.728779083	
1730.456763	11	1	88	0.4185562284	0.0005490611605	6.26863261	0.5225324479	93.20883494	15.0440272	1.406525172	83.54944763	0	0	0	-1730.456763	0.0005490611605	-349837.596242484	
1730.376763	11	1	88	0.4188829452	0.0005488325675	6.270834398	0.5227600406	93.20640556	15.04884485	1.407010477	83.54414467	0	0	0	-1730.376763	0.0005488325675	-350099.320294887	
1730.296763	11	1	88	0.4192093449	0.0005486041472	6.273036009	0.5229876524	93.20397634	15.05366194	1.407495722	83.53884234	0	0	0	-1730.296763	0.0005486041472	-350361.812386925	
1730.216763	11	1	88	0.4195354278	0.0005483758966	6.275237443	0.5232152835	93.20154727	15.05847846	1.407980906	83.53354064	0	0	0	-1730.216763	0.0005483758966	-350623.089323704	
1730.136763	11	1	88	0.4198611945	0.0005481478166	6.2774387	0.5234429337	93.19911837	15.0632944	1.408466029	83.52823957	0	0	0	-1730.136763	0.0005481478166	-350885.139496075	
1730.056763	11	1	88	0.4201866454	0.0005479199068	6.279639781	0.523670603	93.19668962	15.06810978	1.408951092	83.52293913	0	0	0	-1730.056763	0.0005479199068	-351147.042325153	
1729.976763	11	1	88	0.4205117808	0.0005476921669	6.281840685	0.5238982916	93.19426102	15.07292459	1.409436094	83.51763932	0	0	0	-1729.976763	0.0005476921669	-351407.945801891	
