T	w(CU)	w(TI)	fs	fw(@BCC_A2)	w(CU@BCC_A2)	w(TI@BCC_A2)	w(CU@LIQUID)	w(TI@LIQUID)	w(CU@CUTI2)	w(TI@CUTI2)	w(CU@CUTI)	w(TI@CUTI)	dwdT_L(CU@LIQUID)	dwdT_L(TI@LIQUID)	-T	fw(@BCC_A2)_1	-T//fw(@BCC_A2)	
K	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	SI	SI				
1900.31362	3	97	0.2905074476	0.003067129285	1.395957712	98.60404229	3.713606462	96.28639354					0	0	-1900.31362	0.003067129285	-13194.4222352944	
1900.23362	3	97	0.2926917679	0.003061077994	1.398722449	98.60127755	3.72071426	96.27928574					0	0	-1900.23362	0.003061077994	-13246.364357771	
1900.15362	3	97	0.294865099	0.003055050406	1.401487231	98.59851277	3.727821327	96.27217867					0	0	-1900.15362	0.003055050406	-13298.4031936091	
1900.07362	3	97	0.2970275175	0.003049046382	1.404252057	98.59574794	3.734927664	96.26507234					0	0	-1900.07362	0.003049046382	-13350.5428195183	
1899.99362	3	97	0.2991790994	0.003043065783	1.407016929	98.59298307	3.742033272	96.25796673					0	0	-1899.99362	0.003043065783	-13402.7796516106	
1899.91362	3	97	0.30131992	0.003037108469	1.409781845	98.59021815	3.74913815	96.25086185					0	0	-1899.91362	0.003037108469	-13455.1305616878	
1899.83362	3	97	0.3034500539	0.003031174318	1.412546806	98.58745319	3.7562423	96.2437577					0	0	-1899.83362	0.003031174318	-13507.58505521	
1899.75362	3	97	0.3055695751	0.003025263183	1.415311811	98.58468819	3.763345719	96.23665428					0	0	-1899.75362	0.003025263183	-13560.1273074049	
1899.67362	3	97	0.3076785569	0.00301937493	1.41807686	98.58192314	3.770448411	96.22955159					0	0	-1899.67362	0.00301937493	-13612.7776883703	
1899.59362	3	97	0.3097770719	0.003013509432	1.420841954	98.57915805	3.777550373	96.22244963					0	0	-1899.59362	0.003013509432	-13665.5279346513	
1899.51362	3	97	0.3118651922	0.00300766655	1.423607091	98.57639291	3.784651607	96.21534839					0	0	-1899.51362	0.00300766655	-13718.3781901348	
1899.43362	3	97	0.3139429892	0.003001846159	1.426372272	98.57362773	3.791752113	96.20824789					0	0	-1899.43362	0.003001846159	-13771.3269566556	
