T	w(CU)	w(FE)	w(TI)	fs	fw(@BCC_A2)	w(CU@BCC_A2)	w(FE@BCC_A2)	w(TI@BCC_A2)	w(CU@LIQUID)	w(FE@LIQUID)	w(TI@LIQUID)	w(CU@BCC_B2)	w(FE@BCC_B2)	w(TI@BCC_B2)	w(CU@CUTI2)	w(FE@CUTI2)	w(TI@CUTI2)	dwdT_L(CU@LIQUID)	dwdT_L(FE@LIQUID)	dwdT_L(TI@LIQUID)	-T	fw(@BCC_A2)_1	-T//fw(@BCC_A2)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	%	%	%	SI	SI	SI				
1776.445967	12	1	87	0.04354990493	0.0007181519731	5.027403762	0.3631874834	94.60940875	12.31444291	1.028700668	86.65685642							0	0	0	-1776.445967	0.0007181519731	-214991.357716798	
1776.365967	12	1	87	0.04424983324	0.0007177800424	5.029731021	0.3633874314	94.60688155	12.31967549	1.02917856	86.65114595							0	0	0	-1776.365967	0.0007177800424	-215196.950721307	
1776.285967	12	1	87	0.04494889281	0.0007174084678	5.032058124	0.3635873964	94.60435448	12.32490744	1.029656403	86.64543616							0	0	0	-1776.285967	0.0007174084678	-215402.558276091	
1776.205967	12	1	87	0.04564708515	0.0007170372468	5.034385071	0.3637873784	94.60182755	12.33013877	1.030134199	86.63972703							0	0	0	-1776.205967	0.0007170372468	-215609.493412406	
1776.125967	12	1	87	0.04634441175	0.0007166663851	5.036711861	0.3639873775	94.59930076	12.33536947	1.030611946	86.63401859							0	0	0	-1776.125967	0.0007166663851	-215816.032679432	
1776.045967	12	1	87	0.0470408741	0.0007162958743	5.039038494	0.3641873936	94.59677411	12.34059955	1.031089645	86.62831081							0	0	0	-1776.045967	0.0007162958743	-216021.340974401	
1775.965967	12	1	87	0.04773647368	0.0007159257172	5.041364972	0.3643874267	94.5942476	12.345829	1.031567296	86.6226037							0	0	0	-1775.965967	0.0007159257172	-216228.530299358	
1775.885967	12	1	87	0.04843121198	0.0007155559161	5.043691292	0.3645874769	94.59172123	12.35105783	1.032044899	86.61689727							0	0	0	-1775.885967	0.0007155559161	-216435.674853038	
1775.805967	12	1	87	0.04912509048	0.0007151864672	5.046017456	0.3647875441	94.589195	12.35628603	1.032522454	86.61119151							0	0	0	-1775.805967	0.0007151864672	-216641.575112437	
1775.725967	12	1	87	0.04981811065	0.0007148173687	5.048343464	0.3649876284	94.58666891	12.36151361	1.032999961	86.60548643							0	0	0	-1775.725967	0.0007148173687	-216848.546766949	
