T	w(CU)	w(FE)	w(TI)	fs	fw(@BCC_A2)	w(CU@BCC_A2)	w(FE@BCC_A2)	w(TI@BCC_A2)	w(CU@LIQUID)	w(FE@LIQUID)	w(TI@LIQUID)	w(CU@BCC_B2#1)	w(FE@BCC_B2#1)	w(TI@BCC_B2#1)	w(CU@BCC_B2#2)	w(FE@BCC_B2#2)	w(TI@BCC_B2#2)	w(CU@CUTI2)	w(FE@CUTI2)	w(TI@CUTI2)	dwdT_L(CU@LIQUID)	dwdT_L(FE@LIQUID)	dwdT_L(TI@LIQUID)	-T	fw(@BCC_A2)_1	-T//fw(@BCC_A2)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	SI	SI	SI				
1663.34687	12	6	82	0.02480225252	0.0003867466171	5.338355199	2.503986945	92.15765786	12.16661544	6.087559883	81.74582467										0	0	0	-1663.34687	0.0003867466171	-667012.247928465	
1663.26687	12	6	82	0.0251878957	0.0003866267159	5.339635526	2.504818109	92.15554637	12.16925596	6.088945602	81.74179844										0	0	0	-1663.26687	0.0003866267159	-667422.650553305	
1663.18687	12	6	82	0.0255732686	0.0003865068889	5.34091569	2.505649359	92.15343495	12.17189618	6.090331105	81.73777272										0	0	0	-1663.18687	0.0003865068889	-667834.66871755	
1663.10687	12	6	82	0.0259583715	0.0003863871356	5.34219569	2.506480696	92.15132361	12.17453611	6.091716394	81.7337475										0	0	0	-1663.10687	0.0003863871356	-668242.448922983	
1663.02687	12	6	82	0.02634320466	0.0003862674548	5.343475528	2.50731212	92.14921235	12.17717574	6.093101467	81.72972279										0	0	0	-1663.02687	0.0003862674548	-668649.056948431	
1662.94687	12	6	82	0.02672776836	0.0003861478471	5.344755202	2.508143632	92.14710117	12.17981508	6.094486325	81.72569859										0	0	0	-1662.94687	0.0003861478471	-669053.354925415	
1662.86687	12	6	82	0.02711206287	0.0003860283109	5.346034714	2.50897523	92.14499006	12.18245414	6.095870968	81.7216749										0	0	0	-1662.86687	0.0003860283109	-669464.042596213	
1662.78687	12	6	82	0.02749608845	0.0003859088499	5.347314062	2.509806915	92.14287902	12.18509289	6.097255395	81.71765171										0	0	0	-1662.78687	0.0003859088499	-669878.578863045	
1662.70687	12	6	82	0.02787984538	0.0003857894616	5.348593247	2.510638688	92.14076807	12.18773136	6.098639608	81.71362903										0	0	0	-1662.70687	0.0003857894616	-670281.556872061	
1662.62687	12	6	82	0.02826333393	0.0003856701442	5.349872269	2.511470547	92.13865718	12.19036954	6.100023605	81.70960686										0	0	0	-1662.62687	0.0003856701442	-670688.691480151	
1662.54687	12	6	82	0.02864655436	0.0003855509008	5.351151128	2.512302494	92.13654638	12.19300742	6.101407387	81.70558519										0	0	0	-1662.54687	0.0003855509008	-671103.909079863	
1662.46687	12	6	82	0.02902950694	0.000385431731	5.352429824	2.513134528	92.13443565	12.19564501	6.102790954	81.70156403										0	0	0	-1662.46687	0.000385431731	-671511.178619019	
1662.38687	12	6	82	0.02941219195	0.0003853126322	5.353708356	2.513966649	92.13232499	12.19828231	6.104174306	81.69754338										0	0	0	-1662.38687	0.0003853126322	-671920.090674175	
1662.30687	12	6	82	0.02979460965	0.0003851936074	5.354986725	2.514798857	92.13021442	12.20091932	6.105557443	81.69352324										0	0	0	-1662.30687	0.0003851936074	-672331.743251375	
1662.22687	12	6	82	0.0301767603	0.0003850746544	5.356264931	2.515631153	92.12810392	12.20355604	6.106940364	81.6895036										0	0	0	-1662.22687	0.0003850746544	-672739.384400188	
