T	w(AL)	w(CU)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(CU@FCC_A1)	w(AL@LIQUID)	w(CU@LIQUID)	w(AL@ALCU_THETA)	w(CU@ALCU_THETA)	dwdT_L(AL@LIQUID)	dwdT_L(CU@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	mole/mole	kg/kg	%	%	%	%	%	%	SI	SI				
764.4266932	95	5	1	0.4084807595	94.21957984	5.780420161			47.71318051	52.28681949			-764.4266932	0.4084807595	NaN	
759.3066932	95	5	1	0.4084807595	94.21957984	5.780420161			47.71318051	52.28681949			-759.3066932	0.4084807595	NaN	
754.1866932	95	5	1	0.4084807595	94.21957984	5.780420161			47.71318051	52.28681949			-754.1866932	0.4084807595	NaN	
749.0666932	95	5	1	0.4084807595	94.21957984	5.780420161			47.71318051	52.28681949			-749.0666932	0.4084807595	NaN	
743.9466932	95	5	1	0.4084807595	94.21957984	5.780420161			47.71318051	52.28681949			-743.9466932	0.4084807595	NaN	
738.8266932	95	5	1	0.4084807595	94.21957984	5.780420161			47.71318051	52.28681949			-738.8266932	0.4084807595	NaN	
733.7066932	95	5	1	0.4084807595	94.21957984	5.780420161			47.71318051	52.28681949			-733.7066932	0.4084807595	NaN	
728.5866932	95	5	1	0.4084807595	94.21957984	5.780420161			47.71318051	52.28681949			-728.5866932	0.4084807595	NaN	
723.4666932	95	5	1	0.4084807595	94.21957984	5.780420161			47.71318051	52.28681949			-723.4666932	0.4084807595	NaN	
718.3466932	95	5	1	0.4084807595	94.21957984	5.780420161			47.71318051	52.28681949			-718.3466932	0.4084807595	NaN	
713.2266932	95	5	1	0.4084807595	94.21957984	5.780420161			47.71318051	52.28681949			-713.2266932	0.4084807595	NaN	
708.1066932	95	5	1	0.4084807595	94.21957984	5.780420161			47.71318051	52.28681949			-708.1066932	0.4084807595	NaN	
702.9866932	95	5	1	0.4084807595	94.21957984	5.780420161			47.71318051	52.28681949			-702.9866932	0.4084807595	NaN	
697.8666932	95	5	1	0.4084807595	94.21957984	5.780420161			47.71318051	52.28681949			-697.8666932	0.4084807595	NaN	
692.7466932	95	5	1	0.4084807595	94.21957984	5.780420161			47.71318051	52.28681949			-692.7466932	0.4084807595	NaN	
687.6266932	95	5	1	0.4084807595	94.21957984	5.780420161			47.71318051	52.28681949			-687.6266932	0.4084807595	NaN	
682.5066932	95	5	1	0.4084807595	94.21957984	5.780420161			47.71318051	52.28681949			-682.5066932	0.4084807595	NaN	
677.3866932	95	5	1	0.4084807595	94.21957984	5.780420161			47.71318051	52.28681949			-677.3866932	0.4084807595	NaN	
672.2666932	95	5	1	0.4084807595	94.21957984	5.780420161			47.71318051	52.28681949			-672.2666932	0.4084807595	NaN	
667.1466932	95	5	1	0.4084807595	94.21957984	5.780420161			47.71318051	52.28681949			-667.1466932	0.4084807595	NaN	
662.0266932	95	5	1	0.4084807595	94.21957984	5.780420161			47.71318051	52.28681949			-662.0266932	0.4084807595	NaN	
656.9066932	95	5	1	0.4084807595	94.21957984	5.780420161			47.71318051	52.28681949			-656.9066932	0.4084807595	NaN	
651.7866932	95	5	1	0.4084807595	94.21957984	5.780420161			47.71318051	52.28681949			-651.7866932	0.4084807595	NaN	
646.6666932	95	5	1	0.4084807595	94.21957984	5.780420161			47.71318051	52.28681949			-646.6666932	0.4084807595	NaN	
641.5466932	95	5	1	0.4084807595	94.21957984	5.780420161			47.71318051	52.28681949			-641.5466932	0.4084807595	NaN	
636.4266932	95	5	1	0.4084807595	94.21957984	5.780420161			47.71318051	52.28681949			-636.4266932	0.4084807595	NaN	
631.3066932	95	5	1	0.4084807595	94.21957984	5.780420161			47.71318051	52.28681949			-631.3066932	0.4084807595	NaN	
626.1866932	95	5	1	0.4084807595	94.21957984	5.780420161			47.71318051	52.28681949			-626.1866932	0.4084807595	NaN	
621.0666932	95	5	1	0.4084807595	94.21957984	5.780420161			47.71318051	52.28681949			-621.0666932	0.4084807595	NaN	
615.9466932	95	5	1	0.4084807595	94.21957984	5.780420161			47.71318051	52.28681949			-615.9466932	0.4084807595	NaN	
610.8266932	95	5	1	0.4084807595	94.21957984	5.780420161			47.71318051	52.28681949			-610.8266932	0.4084807595	NaN	
605.7066932	95	5	1	0.4084807595	94.21957984	5.780420161			47.71318051	52.28681949			-605.7066932	0.4084807595	NaN	
600.5866932	95	5	1	0.4084807595	94.21957984	5.780420161			47.71318051	52.28681949			-600.5866932	0.4084807595	NaN	
595.4666932	95	5	1	0.4084807595	94.21957984	5.780420161			47.71318051	52.28681949			-595.4666932	0.4084807595	NaN	
590.3466932	95	5	1	0.4084807595	94.21957984	5.780420161			47.71318051	52.28681949			-590.3466932	0.4084807595	NaN	
585.2266932	95	5	1	0.4084807595	94.21957984	5.780420161			47.71318051	52.28681949			-585.2266932	0.4084807595	NaN	
580.1066932	95	5	1	0.4084807595	94.21957984	5.780420161			47.71318051	52.28681949			-580.1066932	0.4084807595	NaN	
574.9866932	95	5	1	0.4084807595	94.21957984	5.780420161			47.71318051	52.28681949			-574.9866932	0.4084807595	NaN	
569.8666932	95	5	1	0.4084807595	94.21957984	5.780420161			47.71318051	52.28681949			-569.8666932	0.4084807595	NaN	
