T	w(AL)	w(CU)	fs	fw(@FCC_A1#1)	fw(@FCC_A1#2)	w(AL@FCC_A1#1)	w(CU@FCC_A1#1)	w(AL@FCC_A1#2)	w(CU@FCC_A1#2)	w(AL@LIQUID)	w(CU@LIQUID)	dwdT_L(AL@FCC_A1#1)	dwdT_L(CU@FCC_A1#1)	dwdT_L(AL@FCC_A1#2)	dwdT_L(CU@FCC_A1#2)	dwdT_L(AL@LIQUID)	dwdT_L(CU@LIQUID)	-T	fw(@FCC_A1#1)_1	fw(@FCC_A1#2)_1	-T//fw(@FCC_A1)	
K	%	%	mole/mole	kg/kg	kg/kg	%	%	%	%	%	%	SI	SI	SI	SI	SI	SI					
413.8684698	94	6	1		1			60.69267587	39.30732413					0	0			-413.8684698		1		
408.7484698	94	6	1		1			60.69267587	39.30732413					0	0			-408.7484698		1		
403.6284698	94	6	1		1			60.69267587	39.30732413					0	0			-403.6284698		1		
398.5084698	94	6	1		1			60.69267587	39.30732413					0	0			-398.5084698		1		
393.3884698	94	6	1		1			60.69267587	39.30732413					0	0			-393.3884698		1		
388.2684698	94	6	1		1			60.69267587	39.30732413					0	0			-388.2684698		1		
383.1484698	94	6	1		1			60.69267587	39.30732413					0	0			-383.1484698		1		
378.0284698	94	6	1		1			60.69267587	39.30732413					0	0			-378.0284698		1		
372.9084698	94	6	1		1			60.69267587	39.30732413					0	0			-372.9084698		1		
367.7884698	94	6	1		1			60.69267587	39.30732413					0	0			-367.7884698		1		
362.6684698	94	6	1		1			60.69267587	39.30732413					0	0			-362.6684698		1		
357.5484698	94	6	1		1			60.69267587	39.30732413					0	0			-357.5484698		1		
352.4284698	94	6	1		1			60.69267587	39.30732413					0	0			-352.4284698		1		
347.3084698	94	6	1		1			60.69267587	39.30732413					0	0			-347.3084698		1		
342.1884698	94	6	1		1			60.69267587	39.30732413					0	0			-342.1884698		1		
337.0684698	94	6	1		1			60.69267587	39.30732413					0	0			-337.0684698		1		
331.9484698	94	6	1		1			60.69267587	39.30732413					0	0			-331.9484698		1		
326.8284698	94	6	1		1			60.69267587	39.30732413					0	0			-326.8284698		1		
321.7084698	94	6	1		1			60.69267587	39.30732413					0	0			-321.7084698		1		
316.5884698	94	6	1		1			60.69267587	39.30732413					0	0			-316.5884698		1		
311.4684698	94	6	1		1			60.69267587	39.30732413					0	0			-311.4684698		1		
306.3484698	94	6	1		1			60.69267587	39.30732413					0	0			-306.3484698		1		
301.2284698	94	6	1		1			60.69267587	39.30732413					0	0			-301.2284698		1		
300	94	6	1		1			60.69267587	39.30732413					0	0			-300		1		
