T	w(AL)	w(CU)	w(SI)	fs	fw(@FCC_A1#1)	fw(@FCC_A1#2)	w(AL@FCC_A1#1)	w(CU@FCC_A1#1)	w(SI@FCC_A1#1)	w(AL@FCC_A1#2)	w(CU@FCC_A1#2)	w(SI@FCC_A1#2)	w(AL@LIQUID)	w(CU@LIQUID)	w(SI@LIQUID)	dwdT_L(AL@FCC_A1#1)	dwdT_L(CU@FCC_A1#1)	dwdT_L(SI@FCC_A1#1)	dwdT_L(AL@FCC_A1#2)	dwdT_L(CU@FCC_A1#2)	dwdT_L(SI@FCC_A1#2)	dwdT_L(AL@LIQUID)	dwdT_L(CU@LIQUID)	dwdT_L(SI@LIQUID)	-T	fw(@FCC_A1#1)_1	fw(@FCC_A1#2)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	kg/kg	%	%	%	%	%	%	%	%	%	SI	SI	SI	SI	SI	SI	SI	SI	SI					
782.3754711	92	6	2	0.8301469614	0.01417719108		94.62953623	3.974119025	1.39634474				65.94381173	25.64625429	8.409933982	0.4082536867	-0.3084366189	-0.09981706775				0	0	0	-782.3754711	0.01417719108			
779.8154711	92	6	2	0.8328584911	0.01388908925		94.49424757	4.077526764	1.428225669				65.54169283	25.95003806	8.50826911	0.4036781137	-0.3049628063	-0.09871530748				0	0	0	-779.8154711	0.01388908925			
777.2554711	92	6	2	0.8354774881	0.01361277764		94.35551135	4.183884983	1.460603663				65.14404923	26.25041953	8.605531236	0.3991857331	-0.3015475025	-0.0976382306				0	0	0	-777.2554711	0.01361277764			
774.6954711	92	6	2	0.8380088714	0.013347769		94.21309381	4.293403593	1.493502595				64.7507987	26.54745625	8.701745047	0.3947759019	-0.298189966	-0.09658593589				0	0	0	-774.6954711	0.013347769			
772.1354711	92	6	2	0.8404572441	0.01309361774		94.06673721	4.406314314	1.526948473				64.36185962	26.84120501	8.796935371	0.3904468713	-0.2948885832	-0.09555828806				0	0	0	-772.1354711	0.01309361774			
769.5754711	92	6	2	0.8428269206	0.01284991711		93.9161564	4.52287388	1.560969725				63.97715095	27.13172183	8.891127217	0.3862002995	-0.2916442745	-0.09455602498				0	0	0	-769.5754711	0.01284991711			
767.0154711	92	6	2	0.8451219503	0.01261629839		93.76103461	4.643367861	1.595597533				63.59659228	27.41906189	8.984345836	0.3820344664	-0.2884553579	-0.09357910851				0	0	0	-767.0154711	0.01261629839			
764.4554711	92	6	2	0.8473461407	0.0123924304		93.6010185	4.768115265	1.63086624				63.22010369	27.70327953	9.076616779	0.3779488311	-0.285320986	-0.09262784513				0	0	0	-764.4554711	0.0123924304			
761.8954711	92	6	2	0.849503078	0.01217801961		93.4357121	4.897474082	1.666813822				62.84760577	27.98442824	9.167965986	0.3739429117	-0.282240289	-0.09170262272				0	0	0	-761.8954711	0.01217801961			
759.3354711	92	6	2	0.8515961457	0.01197281073		93.26466947	5.03184806	1.703482474				62.47901952	28.2625606	9.25841988	0.3700162974	-0.2792123712	-0.09080392617				0	0	0	-759.3354711	0.01197281073			
