T	w(AL)	w(SI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(SI@FCC_A1)	w(AL@LIQUID)	w(SI@LIQUID)	dwdT_L(AL@FCC_A1)	dwdT_L(SI@FCC_A1)	dwdT_L(AL@LIQUID)	dwdT_L(SI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	mole/mole	kg/kg	%	%	%	%	SI	SI	SI	SI				
695.3143155	97	3	0.9281864276	0.01021583952	94.57828172	5.421718282	70.4664373	29.5335627	0.2472840533	-0.2472840533	0	0	-695.3143155	0.01021583952	-25249.8744408436	
692.7543155	97	3	0.9289198181	0.01011575505	94.49838742	5.501612584	70.22085182	29.77914818	0.2465440606	-0.2465440606	0	0	-692.7543155	0.01011575505	-25922.6073615937	
690.1943155	97	3	0.9296387702	0.01001826063	94.4178509	5.5821491	69.97598698	30.02401302	0.2458206214	-0.2458206214	0	0	-690.1943155	0.01001826063	-26609.210501187	
687.6343155	97	3	0.9303437488	0.00992327508	94.33666503	5.663334973	69.73182651	30.26817349	0.2451135038	-0.2451135038	0	0	-687.6343155	0.00992327508	-27310.0672258293	
685.0743155	97	3	0.9310351994	0.009830720942	94.25482257	5.745177432	69.48835437	30.51164563	0.2444224833	-0.2444224833	0	0	-685.0743155	0.009830720942	-28025.5706758326	
682.5143155	97	3	0.9317135488	0.00974052398	94.17231621	5.82768379	69.24555476	30.75444524	0.2437473398	-0.2437473398	0	0	-682.5143155	0.00974052398	-28756.0210710789	
679.9543155	97	3	0.9323792063	0.009652612623	94.08913855	5.910861446	69.00341206	30.99658794	0.2430878602	-0.2430878602	0	0	-679.9543155	0.009652612623	-29501.8662933957	
677.3943155	97	3	0.9330325644	0.009566918986	94.00528211	5.994717889	68.76191087	31.23808913	0.242443846	-0.242443846	0	0	-677.3943155	0.009566918986	-30263.6149238304	
674.8343155	97	3	0.9336739997	0.009483377824	93.9207393	6.079260697	68.52103598	31.47896402	0.2418151	-0.2418151	0	0	-674.8343155	0.009483377824	-31041.6980315346	
672.2743155	97	3	0.9343038741	0.009401926617	93.83550246	6.164497541	68.28077238	31.71922762	0.2412014313	-0.2412014313	0	0	-672.2743155	0.009401926617	-31836.6057873287	
