T	w(AL)	w(SI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(SI@FCC_A1)	w(AL@LIQUID)	w(SI@LIQUID)	dwdT_L(AL@LIQUID)	dwdT_L(SI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	mole/mole	kg/kg	%	%	%	%	SI	SI				
751.0156036	99	1	0.9746031648	0.01350394871	95.73922219	4.260777811	75.82586663	24.17413337	0	0	-751.0156036	0.01350394871	-13432.2521626906	
748.4556036	99	1	0.9749440191	0.01331631849	95.66409404	4.335905956	75.55812963	24.44187037	0	0	-748.4556036	0.01331631849	-13866.9311831693	
745.8956036	99	1	0.9752757336	0.01313453966	95.58840834	4.411591657	75.29154001	24.70845999	0	0	-745.8956036	0.01313453966	-14310.7780238699	
743.3356036	99	1	0.9755986908	0.01295837041	95.51215911	4.487840893	75.02607411	24.97392589	0	0	-743.3356036	0.01295837041	-14763.9481633043	
740.7756036	99	1	0.9759132521	0.01278758209	95.43534031	4.564659694	74.7617087	25.2382913	0	0	-740.7756036	0.01278758209	-15226.6028245635	
738.2156036	99	1	0.9762197595	0.01262195828	95.35794585	4.64205415	74.49842099	25.50157901	0	0	-738.2156036	0.01262195828	-15698.9099714528	
735.6556036	99	1	0.9765185368	0.01246129406	95.2799696	4.720030403	74.23618856	25.76381144	0	0	-735.6556036	0.01246129406	-16181.0456718897	
733.0956036	99	1	0.9768098906	0.01230539524	95.20140534	4.798594656	73.97498942	26.02501058	0	0	-733.0956036	0.01230539524	-16673.191713359	
730.5356036	99	1	0.9770941117	0.01215407768	95.12224683	4.877753169	73.71480196	26.28519804	0	0	-730.5356036	0.01215407768	-17175.5385300469	
727.9756036	99	1	0.9773714759	0.01200716668	95.04248774	4.957512263	73.45560492	26.54439508	0	0	-727.9756036	0.01200716668	-17688.3817754302	
725.4156036	99	1	0.9776422451	0.01186449788	94.96212168	5.037878321	73.19737744	26.80262256	0	0	-725.4156036	0.01186449788	-18211.7245501433	
722.8556036	99	1	0.9779066681	0.01172591067	94.88114221	5.118857789	72.940099	27.059901	0	0	-722.8556036	0.01172591067	-18745.8041013957	
720.2956036	99	1	0.9781649813	0.01159125687	94.79954283	5.200457175	72.68374941	27.31625059	0	0	-720.2956036	0.01159125687	-19291.0270563383	
717.7356036	99	1	0.9784174096	0.01146039407	94.71731695	5.282683053	72.42830883	27.57169117	0	0	-717.7356036	0.01146039407	-19838.6185120557	
715.1756036	99	1	0.9786641648	0.01133307701	94.63445794	5.365542064	72.17375872	27.82624128	0	0	-715.1756036	0.01133307701	-20416.6849483052	
712.6156036	99	1	0.9789054556	0.01120950689	94.55095908	5.449040915	71.92007789	28.07992211	0	0	-712.6156036	0.01120950689	-21004.408828267	
710.0556036	99	1	0.9791414739	0.01108922974	94.46681362	5.533186383	71.66724845	28.33275155	0	0	-710.0556036	0.01108922974	-21587.2828047231	
707.4956036	99	1	0.9793724048	0.01097223918	94.38201469	5.617985314	71.4152518	28.5847482	0	0	-707.4956036	0.01097223918	-22191.5166732922	
704.9356036	99	1	0.979598425	0.01085842361	94.29655538	5.703444624	71.16406962	28.83593038	0	0	-704.9356036	0.01085842361	-22808.3912387572	
702.3756036	99	1	0.9798197034	0.01074767655	94.2104287	5.789571303	70.91368389	29.08631611	0	0	-702.3756036	0.01074767655	-23438.2191414435	
699.8156036	99	1	0.980036401	0.01063989643	94.12362759	5.876372412	70.66407684	29.33592316	0	0	-699.8156036	0.01063989643	-24081.3311621108	
697.2556036	99	1	0.9802486717	0.01053498628	94.03614491	5.963855088	70.41523096	29.58476904	0	0	-697.2556036	0.01053498628	-24738.0636075559	
694.6956036	99	1	0.9804566627	0.01043285343	93.94797346	6.052026544	70.16712902	29.83287098	0	0	-694.6956036	0.01043285343	-25408.7824996999	
692.1356036	99	1	0.9806605147	0.01033340943	93.85910593	6.140894066	69.91975401	30.08024599	0	0	-692.1356036	0.01033340943	-26093.8698743855	
689.5756036	99	1	0.9808603626	0.01023656967	93.76953498	6.230465022	69.67308917	30.32691083	0	0	-689.5756036	0.01023656967	-26793.7187369854	
687.0156036	99	1	0.9810563353	0.01014225326	93.67925314	6.320746857	69.42711797	30.57288203	0	0	-687.0156036	0.01014225326	-27508.8204048933	
684.4556036	99	1	0.9812485563	0.01005038327	93.5882529	6.4117471	69.1818241	30.8181759	0	0	-684.4556036	0.01005038327	-28239.5104128631	
681.8956036	99	1	0.9814371441	0.009960884983	93.49652665	6.503473354	68.93719148	31.06280852	0	0	-681.8956036	0.009960884983	-28986.226453805	
679.3356036	99	1	0.9816222123	0.009873687732	93.40406669	6.595933307	68.69320424	31.30679576	0	0	-679.3356036	0.009873687732	-29749.5626626286	
676.7756036	99	1	0.9818038696	0.009788723686	93.31086527	6.689134732	68.44984669	31.55015331	0	0	-676.7756036	0.009788723686	-30530.0082056022	
