T	w(AL)	w(MG)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(MG@FCC_A1)	w(AL@LIQUID)	w(MG@LIQUID)	dwdT_L(AL@LIQUID)	dwdT_L(MG@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	mole/mole	kg/kg	%	%	%	%	SI	SI				
769.6495384	92	8	0.8471433421	0.0208351185	89.07952104	10.92047896	72.2012397	27.7987603	0	0	-769.6495384	0.0208351185	-9054.77907687154	
767.0895384	92	8	0.8502298778	0.02055853067	88.86766227	11.13233773	71.8514115	28.1485885	0	0	-767.0895384	0.02055853067	-9477.07974187685	
764.5295384	92	8	0.853214801	0.02029430301	88.6532714	11.3467286	71.50336701	28.49663299	0	0	-764.5295384	0.02029430301	-9922.36835341619	
761.9695384	92	8	0.8561034697	0.02004197671	88.43626913	11.56373087	71.15705829	28.84294171	0	0	-761.9695384	0.02004197671	-10392.9389211951	
759.4095384	92	8	0.8589008939	0.01980112699	88.21657387	11.78342613	70.81243755	29.18756245	0	0	-759.4095384	0.01980112699	-10891.4430931102	
756.8495384	92	8	0.861611764	0.0195713611	87.99410155	12.00589845	70.46945713	29.53054287	0	0	-756.8495384	0.0195713611	-11420.9610949119	
754.2895384	92	8	0.864240476	0.01935231653	87.76876557	12.23123443	70.12806949	29.87193051	0	0	-754.2895384	0.01935231653	-11985.1720488869	
751.7295384	92	8	0.8667911551	0.01914366205	87.54047668	12.45952332	69.78822712	30.21177288	0	0	-751.7295384	0.01914366205	-12588.1306482114	
749.1695384	92	8	0.8692676757	0.01894508566	87.30914286	12.69085714	69.44988257	30.55011743	0	0	-749.1695384	0.01894508566	-13234.8604818844	
746.6095384	92	8	0.8716736816	0.01875630936	87.07466922	12.92533078	69.11298835	30.88701165	0	0	-746.6095384	0.01875630936	-13931.4525157795	
744.0495384	92	8	0.8740126032	0.01857707722	86.83695788	13.16304212	68.7774984	31.2225016	0	0	-744.0495384	0.01857707722	-14684.5005509067	
741.4895384	92	8	0.8762876725	0.01840714713	86.59590784	13.40409216	68.44336211	31.55663789	0	0	-741.4895384	0.01840714713	-15503.6691204495	
738.9295384	92	8	0.8785019412	0.01824633092	86.35141485	13.64858515	68.11053323	31.88946677	0	0	-738.9295384	0.01824633092	-16399.3133585479	
736.3695384	92	8	0.8806582905	0.01809443091	86.10337132	13.89662868	67.77896377	32.22103623	0	0	-736.3695384	0.01809443091	-17383.6125695317	
733.8095384	92	8	0.882759445	0.017951282	85.85166614	14.14833386	67.4486055	32.5513945	0	0	-733.8095384	0.017951282	-18473.2444731694	
731.2495384	92	8	0.8848079834	0.01781674026	85.59618453	14.40381547	67.11940986	32.88059014	0	0	-731.2495384	0.01781674026	-19689.5043946157	
728.6895384	92	8	0.8868063508	0.01769069192	85.33680796	14.66319204	66.79132791	33.20867209	0	0	-728.6895384	0.01769069192	-21056.9159893916	
726.1295384	92	8	0.8887568648	0.0175730153	85.07341394	14.92658606	66.46431024	33.53568976	0	0	-726.1295384	0.0175730153	-22610.0873494798	
723.5695384	92	8	0.8906617275	0.01746363836	84.80587588	15.19412412	66.13830696	33.86169304	0	0	-723.5695384	0.01746363836	-24395.8325487941	
