T	w(AL)	w(MG)	w(SI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(MG@FCC_A1)	w(SI@FCC_A1)	w(AL@LIQUID#1)	w(MG@LIQUID#1)	w(SI@LIQUID#1)	w(AL@LIQUID#2)	w(MG@LIQUID#2)	w(SI@LIQUID#2)	dwdT_L(AL@LIQUID#1)	dwdT_L(MG@LIQUID#1)	dwdT_L(SI@LIQUID#1)	dwdT_L(AL@LIQUID#2)	dwdT_L(MG@LIQUID#2)	dwdT_L(SI@LIQUID#2)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	SI	SI	SI	SI	SI	SI				
761.2920389	89	1	10	0.620650095	0.01501374444	96.34494865	0.1377424751	3.517308879	74.64403963	2.340513082	23.01544728				0	0	0				-761.2920389	0.01501374444	-11876.4702479819	
758.7320389	89	1	10	0.6262946363	0.01480188291	96.28376914	0.1354286782	3.580802186	74.31891726	2.373643056	23.30743968				0	0	0				-758.7320389	0.01480188291	-12303.4931656239	
756.1720389	89	1	10	0.6317786323	0.01459734493	96.22216167	0.1330963174	3.644742009	73.99445041	2.40683378	23.59871581				0	0	0				-756.1720389	0.01459734493	-12742.0943414728	
753.6120389	89	1	10	0.6371093043	0.01439982052	96.16011796	0.1307477745	3.709134269	73.67060409	2.440088069	23.88930784				0	0	0				-753.6120389	0.01439982052	-13192.6611886638	
751.0520389	89	1	10	0.642293454	0.01420901775	96.09762967	0.128385372	3.773984959	73.34734343	2.47340876	24.17924781				0	0	0				-751.0520389	0.01420901775	-13655.6070796884	
748.4920389	89	1	10	0.647337493	0.01402466148	96.03468848	0.1260113732	3.839300146	73.02463369	2.506798717	24.46856759				0	0	0				-748.4920389	0.01402466148	-14131.3760856135	
745.9320389	89	1	10	0.6522474707	0.0138464923	95.97128605	0.1236279832	3.905085971	72.7024402	2.540260835	24.75729896				0	0	0				-745.9320389	0.0138464923	-14620.4432989566	
743.3720389	89	1	10	0.6570290993	0.01367426541	95.907414	0.1212373495	3.971348655	72.38072839	2.573798041	25.04547357				0	0	0				-743.3720389	0.01367426541	-15123.3186252499	
740.8120389	89	1	10	0.6616877771	0.01350774974	95.84306394	0.1188415627	4.0380945	72.05946372	2.607413294	25.33312298				0	0	0				-740.8120389	0.01350774974	-15640.5521621384	
738.2520389	89	1	10	0.66622861	0.01334672705	95.77822745	0.1164426572	4.10532989	71.73861171	2.641109594	25.6202787				0	0	0				-738.2520389	0.01334672705	-16172.7346199555	
735.6920389	89	1	10	0.6706564308	0.01319099111	95.71289609	0.1140426114	4.173061298	71.41813786	2.674889979	25.90697216				0	0	0				-735.6920389	0.01319099111	-16720.5024475421	
733.1320389	89	1	10	0.6749758175	0.01304034696	95.64706137	0.1116433482	4.241295286	71.09800768	2.708757531	26.19323478				0	0	0				-733.1320389	0.01304034696	-17284.5440154608	
