T	w(AL)	w(MG)	w(SI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(MG@FCC_A1)	w(SI@FCC_A1)	w(AL@LIQUID#1)	w(MG@LIQUID#1)	w(SI@LIQUID#1)	w(AL@LIQUID#2)	w(MG@LIQUID#2)	w(SI@LIQUID#2)	w(AL@LIQUID#3)	w(MG@LIQUID#3)	w(SI@LIQUID#3)	dwdT_L(AL@LIQUID#1)	dwdT_L(MG@LIQUID#1)	dwdT_L(SI@LIQUID#1)	dwdT_L(AL@LIQUID#2)	dwdT_L(MG@LIQUID#2)	dwdT_L(SI@LIQUID#2)	dwdT_L(AL@LIQUID#3)	dwdT_L(MG@LIQUID#3)	dwdT_L(SI@LIQUID#3)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	%	%	%	SI	SI	SI	SI	SI	SI	SI	SI	SI				
760.8447566	94	1	5	0.8255679429	0.01563116425	96.55405976	0.2501954218	3.195744821	72.63915956	4.316406399	23.04443405							0	0	0							-760.8447566	0.01563116425	-12083.2980981393	
758.2847566	94	1	5	0.8282671421	0.01542312523	96.50157667	0.2458808289	3.252542498	72.26535807	4.380170646	23.35447129							0	0	0							-758.2847566	0.01542312523	-12543.6419918801	
755.7247566	94	1	5	0.8308901054	0.0152227052	96.448731	0.2415316882	3.309737315	71.8915276	4.444146412	23.66432599							0	0	0							-755.7247566	0.0152227052	-13019.5259821703	
753.1647566	94	1	5	0.8334403034	0.01502959805	96.39551165	0.2371525539	3.367335791	71.51761933	4.508341285	23.97403938							0	0	0							-753.1647566	0.01502959805	-13511.7738233112	
750.6047566	94	1	5	0.8359210049	0.01484351619	96.34190758	0.2327478649	3.425344559	71.14358391	4.572763017	24.28365307							0	0	0							-750.6047566	0.01484351619	-14021.2888007332	
748.0447566	94	1	5	0.8383352923	0.01466418937	96.28790769	0.2283219466	3.483770362	70.76937142	4.637419532	24.59320905							0	0	0							-748.0447566	0.01466418937	-14549.0630780751	
745.4847566	94	1	5	0.8406860739	0.01449136355	96.23350093	0.2238790113	3.542620063	70.3949313	4.70231893	24.90274977							0	0	0							-745.4847566	0.01449136355	-15096.1889144868	
742.9247566	94	1	5	0.8429760969	0.01432479991	96.17867619	0.2194231602	3.601900647	70.02021237	4.767469509	25.21231812							0	0	0							-742.9247566	0.01432479991	-15663.8738590285	
740.3647566	94	1	5	0.8452079578	0.01416427395	96.12342238	0.2149583837	3.661619233	69.64516271	4.832879765	25.52195753							0	0	0							-740.3647566	0.01416427395	-16253.4513309436	
737.8047566	94	1	5	0.8473841134	0.01400957457	96.06772837	0.2104885632	3.72178307	69.26972963	4.898558411	25.83171196							0	0	0							-737.8047566	0.01400957457	-16866.4020228108	
735.2447566	94	1	5	0.8495068898	0.01386050339	96.01158298	0.2060174711	3.782399553	68.89385963	4.964514385	26.14162598							0	0	0							-735.2447566	0.01386050339	-17504.3729005136	
732.6847566	94	1	5	0.8515784915	0.01371687396	95.954975	0.2015487725	3.843476223	68.51749834	5.030756867	26.4517448							0	0	0							-732.6847566	0.01371687396	-18169.2001798839	
730.1247566	94	1	5	0.8536010089	0.01357851117	95.8978932	0.1970860255	3.905020777	68.1405904	5.097295289	26.76211431							0	0	0							-730.1247566	0.01357851117	-18862.938797282	
727.5647566	94	1	5	0.8555764263	0.01344525062	95.84032624	0.192632682	3.967041075	67.76307949	5.164139353	27.07278115							0	0	0							-727.5647566	0.01344525062	-19587.8929561911	
725.0047566	94	1	5	0.8575066285	0.01331693809	95.78226277	0.1881920886	4.029545145	67.38490817	5.231299043	27.38379279							0	0	0							-725.0047566	0.01331693809	-20346.6574676928	
722.4447566	94	1	5	0.8593934072	0.01319342905	95.72369132	0.1837674873	4.092541197	67.00601785	5.298784644	27.6951975							0	0	0							-722.4447566	0.01319342905	-21142.16259031	
719.8847566	94	1	5	0.861238467	0.0130745882	95.66460036	0.1793620159	4.156037626	66.6263487	5.366606758	28.00704454							0	0	0							-719.8847566	0.0130745882	-21977.730939035	
717.3247566	94	1	5	0.8630434308	0.01296028908	95.60497827	0.1749787087	4.220043024	66.24583956	5.434776323	28.31938412							0	0	0							-717.3247566	0.01296028908	-22857.1430506732	
714.7647566	94	1	5	0.8648098449	0.01285041368	95.54481331	0.1706204973	4.284566192	65.86442785	5.503304632	28.63226752							0	0	0							-714.7647566	0.01285041368	-23784.7204353336	
712.2047566	94	1	5	0.8665391836	0.01274485214	95.48409364	0.166290211	4.349616145	65.48204948	5.572203354	28.94574717							0	0	0							-712.2047566	0.01274485214	-24765.4236422035	
709.6447566	94	1	5	0.868232854	0.01264350243	95.42280729	0.1619905774	4.41520213	65.09863874	5.641484557	29.2598767							0	0	0							-709.6447566	0.01264350243	-25804.9707507521	
707.0847566	94	1	5	0.8698921997	0.01254627009	95.36094214	0.157724223	4.481333634	64.71412819	5.711160731	29.57471108							0	0	0							-707.0847566	0.01254627009	-26909.9938673002	
704.5247566	94	1	5	0.8715185048	0.01245306803	95.29848593	0.153493674	4.548020397	64.32844854	5.781244814	29.89030665							0	0	0							-704.5247566	0.01245306803	-28088.2198347638	
701.9647566	94	1	5	0.8731129976	0.01236381629	95.23542621	0.1493013561	4.61527243	63.94152852	5.851750217	30.20672126							0	0	0							-701.9647566	0.01236381629	-29348.7091778427	
699.4047566	94	1	5	0.8746768537	0.01227844192	95.17175038	0.1451495962	4.683100024	63.55329478	5.922690858	30.52401436							0	0	0							-699.4047566	0.01227844192	-30702.155770471	
696.8447566	94	1	5	0.8762111995	0.01219687882	95.1074456	0.141040622	4.751513774	63.16367168	5.994081186	30.84224713							0	0	0							-696.8447566	0.01219687882	-32161.2656802806	
694.2847566	94	1	5	0.8777171147	0.01211906765	95.04249885	0.1369765632	4.820524587	62.7725812	6.065936222	31.16148257							0	0	0							-694.2847566	0.01211906765	-33741.2567626508	
691.7247566	94	1	5	0.8791956354	0.01204495576	94.97689684	0.1329594517	4.890143712	62.37994273	6.138271587	31.48178568							0	0	0							-691.7247566	0.01204495576	-35460.4953299689	
689.1647566	94	1	5	0.8806477568	0.01197449711	94.91062603	0.1289912225	4.96038275	61.98567292	6.211103551	31.80322353							0	0	0							-689.1647566	0.01197449711	-37341.3742946117	
686.6047566	94	1	5	0.8820744353	0.01190765233	94.8436726	0.1250737144	5.031253683	61.58968544	6.284449063	32.12586549							0	0	0							-686.6047566	0.01190765233	-39411.4659110559	
684.0447566	94	1	5	0.8834765909	0.01184438869	94.77602244	0.1212086704	5.102768894	61.19189085	6.358325806	32.44978335							0	0	0							-684.0447566	0.01184438869	-41705.0949123678	
681.4847566	94	1	5	0.8848551098	0.01178468017	94.70766106	0.1173977385	5.174941198	60.79219629	6.43275224	32.77505147							0	0	0							-681.4847566	0.01178468017	-44265.5626694618	
678.9247566	94	1	5	0.886210846	0.01172850757	94.63857366	0.1136424725	5.247783864	60.39050531	6.507747657	33.10174704							0	0	0							-678.9247566	0.01172850757	-47148.2728241029	
676.3647566	94	1	5	0.8875446235	0.01167585863	94.56874502	0.1099443327	5.321310649	59.98671753	6.583332238	33.42995023							0	0	0							-676.3647566	0.01167585863	-50425.2651187387	
673.8047566	94	1	5	0.8888572382	0.01162672819	94.49815948	0.1063046868	5.395535835	59.58072843	6.659527118	33.75974445							0	0	0							-673.8047566	0.01162672819	-54191.852422064	
671.2447566	94	1	5	0.8901494598	0.01158111821	94.42680093	0.1027248104	5.47047426	59.17242898	6.73635445	34.09121657							0	0	0							-671.2447566	0.01158111821	-58577.1552537629	
668.6847566	94	1	5	0.8914220329	0.01153903834	94.35465276	0.09920588835	5.546141353	58.76170534	6.813837477	34.42445718							0	0	0							-668.6847566	0.01153903834	-63761.0270171052	
666.1247566	94	1	5	0.8926756798	0.01150050663	94.28169779	0.09574901507	5.622553192	58.34843848	6.892000612	34.7595609							0	0	0							-666.1247566	0.01150050663	-70000.4519014732	
663.5647566	94	1	5	0.8939111009	0.01146554911	94.20791826	0.0923551959	5.699726541	57.93250377	6.970869534	35.0966267							0	0	0							-663.5647566	0.01146554911	-78194.458082312	
661.0047566	94	1	5	0.8951289952	0.01143455435	94.13329771	0.08902536098	5.777676927	57.51377578	7.05047057	35.43575365							0	0	0							-661.0047566	0.01143455435	-88130.1858323442	
658.4447566	94	1	5	0.8963300247	0.01140704051	94.05781322	0.08576031854	5.85642646	57.09210639	7.130834024	35.77705958							0	0	0							-658.4447566	0.01140704051	-100425.901830841	
655.8847566	94	1	5	0.8975148191	0.01138308252	93.9814467	0.08256082061	5.935992478	56.66735695	7.211988908	36.12065415							0	0	0							-655.8847566	0.01138308252	-117698.311194502	
653.3247566	94	1	5	0.8986840089	0.01136289874	93.90417739	0.07942752571	6.016395087	56.23937553	7.293967005	36.46665747							0	0	0							-653.3247566	0.01136289874	-143360.708073004	
650.7647566	94	1	5	0.8998382109	0.01134656536	93.82598359	0.07636100837	6.097655402	55.80800192	7.376801951	36.81519613							0	0	0							-650.7647566	0.01134656536	-185053.704111276	
648.2047566	94	1	5	0.9009780295	0.01133417089	93.7468426	0.07336176034	6.179795643	55.37306691	7.460529386	37.16640371							0	0	0							-648.2047566	0.01133417089	-266227.246800612	
645.6447566	94	1	5	0.9021040581	0.01132581724	93.66673059	0.07043019178	6.26283922	54.93439144	7.54518713	37.52042143							0	0	0							-645.6447566	0.01132581724	-508543.230742686	
643.0847566	94	1	5	0.9032168807	0.01132162093	93.58562252	0.06756663253	6.34681085	54.4917858	7.630815373	37.87739883							0	0	0							-643.0847566	0.01132162093	28017544.5564299	
640.5247566	94	1	5	0.9043170732	0.01132171443	93.503492	0.0647713334	6.431736671	54.04504857	7.717456894	38.23749454							0	0	0							-640.5247566	0.01132171443	26837807.7253249	
637.9647566	94	1	5	0.905405205	0.01132624786	93.42031116	0.0620444675	6.517644377	53.59396556	7.805157301	38.60087714							0	0	0							-637.9647566	0.01132624786	470323.088838685	
635.4047566	94	1	5	0.9064818407	0.01133539076	93.3360505	0.05938613165	6.604563373	53.13830856	7.893965297	38.96772614							0	0	0							-635.4047566	0.01133539076	241820.832892643	
632.8447566	94	1	5	0.9075475416	0.01134933436	93.25067872	0.05679634775	6.692524936	52.67783397	7.983932988	39.33823304							0	0	0							-632.8447566	0.01134933436	163012.516813993	
630.2847566	94	1	5	0.9086028676	0.01136829406	93.16416252	0.05427506428	6.781562416	52.21228122	8.07511622	39.71260256							0	0	0							-630.2847566	0.01136829406	122149.436522939	
627.7247566	94	1	5	0.9096483789	0.01139251241	93.0764664	0.05182215774	6.871711445	51.741371	8.167574968	40.09105403							0	0	0							-627.7247566	0.01139251241	96884.8702797379	
625.1647566	94	1	5	0.9106846382	0.0114222625	92.98755238	0.0494374342	6.963010185	51.26480328	8.261373777	40.47382294							0	0	0							-625.1647566	0.0114222625	79621.6204680319	
622.6047566	94	1	5	0.9117122128	0.01145785203	92.89737976	0.04712063082	7.055499613	50.782255	8.356582254	40.86116274							0	0	0							-622.6047566	0.01145785203	67031.1821315351	
620.0447566	94	1	5	0.912731677	0.01149962794	92.80590475	0.04487141742	7.149223832	50.29337747	8.453275646	41.25334689							0	0	0							-620.0447566	0.01149962794	57415.2772241507	
617.4847566	94	1	5	0.9137436147	0.01154798204	92.71308015	0.04268939807	7.244230452	49.79779336	8.551535493	41.65067114							0	0	0							-617.4847566	0.01154798204	49813.4873199922	
614.9247566	94	1	5	0.9147486225	0.01160335757	92.61885489	0.04057411266	7.340571002	49.29509329	8.651450384	42.05345632							0	0	0							-614.9247566	0.01160335757	43640.715332055	
612.3647566	94	1	5	0.9157473126	0.01166625708	92.52317353	0.03852503851	7.43830143	48.78483178	8.753116829	42.46205139							0	0	0							-612.3647566	0.01166625708	38519.7056877961	
609.8047566	94	1	5	0.9167403172	0.01173725187	92.42597573	0.03654159196	7.537482674	48.26652262	8.85664028	42.8768371							0	0	0							-609.8047566	0.01173725187	34196.1179293833	
607.2447566	94	1	5	0.9177282923	0.01181699335	92.32719554	0.03462312994	7.638181327	47.73963346	8.962136319	43.29823023							0	0	0							-607.2447566	0.01181699335	30492.1723042987	
604.6847566	94	1	5	0.918711923	0.01190622688	92.22676063	0.03276895149	7.740470423	47.20357938	9.069732056	43.72668857							0	0	0							-604.6847566	0.01190622688	27279.842078423	
602.1247566	94	1	5	0.9196919289	0.01200580861	92.12459133	0.03097829926	7.84443037	46.65771537	9.179567783	44.16271684							0	0	0							-602.1247566	0.01200580861	24464.6055447758	
599.5647566	94	1	5	0.9206690714	0.01211672621	92.02059959	0.02925036091	7.950150047	46.10132734	9.291798941	44.60687372							0	0	0							-599.5647566	0.01211672621	21975.1729954585	
597.0047566	94	1	5	0.9216441613	0.01224012463	91.9146876	0.02758427045	8.057728128	45.53362134	9.406598477	45.05978018							0	0	0							-597.0047566	0.01224012463	19756.7865227469	
594.4447566	94	1	5	0.9226180687	0.01237733827	91.80674622	0.02597910938	8.16727467	44.95371059	9.524159686	45.52212973							0	0	0							-594.4447566	0.01237733827	17766.724349466	
591.8847566	94	1	5	0.9235917346	0.01252993158	91.69665305	0.02443390767	8.278913046	44.3605997	9.644699669	45.99470063							0	0	0							-591.8847566	0.01252993158	15971.1627807132	
589.3247566	94	1	5	0.924566185	0.0126997517	91.58427005	0.02294764455	8.392782303	43.75316526	9.768463601	46.47837114							0	0	0							-589.3247566	0.0126997517	14343.239745868	
586.7647566	94	1	5	0.9255425481	0.01288898791	91.46944053	0.02151924753	8.509040219	43.13013229	9.895729828	46.97413788							0	0	0							-586.7647566	0.01288898791	12860.733888002	
