T	w(AL)	w(MG)	w(SI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(MG@FCC_A1)	w(SI@FCC_A1)	w(AL@LIQUID)	w(MG@LIQUID)	w(SI@LIQUID)	w(AL@MG2SI)	w(MG@MG2SI)	w(SI@MG2SI)	w(AL@ALMG_BETA)	w(MG@ALMG_BETA)	w(SI@ALMG_BETA)	dwdT_L(AL@LIQUID)	dwdT_L(MG@LIQUID)	dwdT_L(SI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	%	%	%	SI	SI	SI				
882.5658135	91	6	3	0.1691641879	0.1697717701	97.96874892	1.759432921	0.2718181618	89.5749893	6.86713709	3.557873614							0	0	0	-882.5658135	0.1697717701	44.2583907452857	
882.4858135	91	6	3	0.1709625452	0.1715762453	97.96641517	1.761379973	0.2722048583	89.5571893	6.877859469	3.564951235							0	0	0	-882.4858135	0.1715762453	44.4104700483772	
882.4058135	91	6	3	0.1727547561	0.1733745453	97.964084	1.763324595	0.2725914091	89.53938417	6.888582383	3.57203345							0	0	0	-882.4058135	0.1733745453	44.5628682805883	
882.3258135	91	6	3	0.1745408498	0.1751666995	97.9617554	1.765266789	0.272977814	89.52157391	6.899305835	3.579120258							0	0	0	-882.3258135	0.1751666995	44.7155849980612	
882.2458135	91	6	3	0.1763208553	0.176952737	97.95942937	1.767206557	0.2733640727	89.50375851	6.910029831	3.586211657							0	0	0	-882.2458135	0.176952737	44.8686222531953	
882.1658135	91	6	3	0.1780948013	0.1787326867	97.95710592	1.769143898	0.2737501853	89.48593798	6.920754374	3.593307644							0	0	0	-882.1658135	0.1787326867	45.0219783720087	
882.0858135	91	6	3	0.1798627165	0.1805065775	97.95478503	1.771078815	0.2741361514	89.46811231	6.931479469	3.600408219							0	0	0	-882.0858135	0.1805065775	45.1756555480161	
882.0058135	91	6	3	0.1816246293	0.1822744378	97.95246672	1.773011309	0.2745219709	89.4502815	6.94220512	3.607513379							0	0	0	-882.0058135	0.1822744378	45.3296546807995	
881.9258135	91	6	3	0.183380568	0.1840362961	97.95015098	1.774941381	0.2749076436	89.43244555	6.952931332	3.614623122							0	0	0	-881.9258135	0.1840362961	45.483974222293	
881.8458135	91	6	3	0.1851305605	0.1857921806	97.9478378	1.776869033	0.2752931694	89.41460444	6.963658109	3.621737446							0	0	0	-881.8458135	0.1857921806	45.6386151581415	
881.7658135	91	6	3	0.186874635	0.1875421194	97.94552719	1.778794265	0.2756785481	89.39675819	6.974385456	3.62885635							0	0	0	-881.7658135	0.1875421194	45.7935772431644	
881.6858135	91	6	3	0.188612819	0.1892861404	97.94321914	1.78071708	0.2760637794	89.37890679	6.985113376	3.635979831							0	0	0	-881.6858135	0.1892861404	45.948862890302	
881.6058135	91	6	3	0.1903451401	0.1910242712	97.94091366	1.782637477	0.2764488634	89.36105024	6.995841875	3.643107887							0	0	0	-881.6058135	0.1910242712	46.1044705732922	
881.5258135	91	6	3	0.1920716258	0.1927565395	97.93861074	1.78455546	0.2768337997	89.34318853	7.006570956	3.650240517							0	0	0	-881.5258135	0.1927565395	46.2604001687964	
881.4458135	91	6	3	0.1937923032	0.1944829726	97.93631038	1.786471028	0.2772185882	89.32532166	7.017300624	3.657377718							0	0	0	-881.4458135	0.1944829726	46.4166541960264	
881.3658135	91	6	3	0.1955071995	0.1962035977	97.93401259	1.788384184	0.2776032287	89.30744963	7.028030884	3.66451949							0	0	0	-881.3658135	0.1962035977	46.5732325932456	
881.2858135	91	6	3	0.1972163416	0.1979184418	97.93171735	1.790294928	0.277987721	89.28957243	7.03876174	3.671665828							0	0	0	-881.2858135	0.1979184418	46.7301353038159	
881.2058135	91	6	3	0.1989197561	0.1996275318	97.92942467	1.792203262	0.2783720651	89.27169007	7.049493196	3.678816732							0	0	0	-881.2058135	0.1996275318	46.8873623129537	
881.1258135	91	6	3	0.2006174696	0.2013308944	97.92713455	1.794109188	0.2787562606	89.25380254	7.060225256	3.6859722							0	0	0	-881.1258135	0.2013308944	47.0449136119904	
881.0458135	91	6	3	0.2023095085	0.2030285562	97.92484699	1.796012706	0.2791403074	89.23590984	7.070957926	3.69313223							0	0	0	-881.0458135	0.2030285562	47.2027892358688	
880.9658135	91	6	3	0.2039958992	0.2047205436	97.92256198	1.797913818	0.2795242054	89.21801197	7.081691209	3.700296819							0	0	0	-880.9658135	0.2047205436	47.3609906379876	
880.8858135	91	6	3	0.2056766676	0.2064068828	97.92027952	1.799812525	0.2799079543	89.20010892	7.09242511	3.707465966							0	0	0	-880.8858135	0.2064068828	47.5195207568559	
880.8058135	91	6	3	0.2073518397	0.2080875997	97.91799962	1.801708828	0.280291554	89.1822007	7.103159633	3.714639668							0	0	0	-880.8058135	0.2080875997	47.6783754640706	
880.7258135	91	6	3	0.2090214412	0.2097627205	97.91572227	1.80360273	0.2806750043	89.16428729	7.113894783	3.721817923							0	0	0	-880.7258135	0.2097627205	47.8375564183703	
880.6458135	91	6	3	0.2106854979	0.2114322707	97.91344746	1.805494231	0.281058305	89.14636871	7.124630564	3.72900073							0	0	0	-880.6458135	0.2114322707	47.9970651561319	
880.5658135	91	6	3	0.2123440351	0.2130962761	97.91117521	1.807383332	0.281441456	89.12844493	7.13536698	3.736188087							0	0	0	-880.5658135	0.2130962761	48.1569020133741	
880.4858135	91	6	3	0.2139970781	0.2147547619	97.90890551	1.809270036	0.2818244571	89.11051597	7.146104037	3.74337999							0	0	0	-880.4858135	0.2147547619	48.3170657156941	
880.4058135	91	6	3	0.2156446521	0.2164077537	97.90663835	1.811154342	0.282207308	89.09258182	7.156841737	3.750576439							0	0	0	-880.4058135	0.2164077537	48.4775581314332	
880.3258135	91	6	3	0.2172867822	0.2180552763	97.90437374	1.813036254	0.2825900086	89.07464248	7.167580087	3.757777432							0	0	0	-880.3258135	0.2180552763	48.6383809675775	
880.2458135	91	6	3	0.2189234931	0.2196973549	97.90211167	1.814915771	0.2829725588	89.05669795	7.178319089	3.764982965							0	0	0	-880.2458135	0.2196973549	48.799530244417	
880.1658135	91	6	3	0.2205548096	0.2213340143	97.89985215	1.816792896	0.2833549583	89.03874821	7.18905875	3.772193037							0	0	0	-880.1658135	0.2213340143	48.9610092823203	
880.0858135	91	6	3	0.2221807562	0.2229652792	97.89759516	1.818667629	0.283737207	89.02079328	7.199799072	3.779407646							0	0	0	-880.0858135	0.2229652792	49.122818537906	
880.0058135	91	6	3	0.2238013573	0.2245911741	97.89534072	1.820539973	0.2841193047	89.00283315	7.21054006	3.786626789							0	0	0	-880.0058135	0.2245911741	49.2849584838811	
879.9258135	91	6	3	0.2254166373	0.2262117234	97.89308882	1.822409928	0.2845012511	88.98486781	7.22128172	3.793850466							0	0	0	-879.9258135	0.2262117234	49.4474296492279	
879.8458135	91	6	3	0.2270266201	0.2278269513	97.89083946	1.824277496	0.2848830462	88.96689727	7.232024054	3.801078673							0	0	0	-879.8458135	0.2278269513	49.6102310318031	
879.7658135	91	6	3	0.2286313299	0.229436882	97.88859263	1.826142678	0.2852646897	88.94892152	7.242767068	3.808311408							0	0	0	-879.7658135	0.229436882	49.7733632260588	
879.6858135	91	6	3	0.2302307903	0.2310415394	97.88634834	1.828005476	0.2856461815	88.93094056	7.253510767	3.815548669							0	0	0	-879.6858135	0.2310415394	49.9368268044046	
879.6058135	91	6	3	0.2318250252	0.2326409474	97.88410659	1.829865891	0.2860275213	88.91295439	7.264255154	3.822790454							0	0	0	-879.6058135	0.2326409474	50.1006240187367	
879.5258135	91	6	3	0.2334140581	0.2342351295	97.88186737	1.831723924	0.286408709	88.89496301	7.275000233	3.830036761							0	0	0	-879.5258135	0.2342351295	50.2647539422246	
879.4458135	91	6	3	0.2349979123	0.2358241094	97.87963068	1.833579577	0.2867897444	88.8769664	7.28574601	3.837287588							0	0	0	-879.4458135	0.2358241094	50.4292141715617	
