T	w(AL)	w(MG)	w(SI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(MG@FCC_A1)	w(SI@FCC_A1)	w(AL@LIQUID)	w(MG@LIQUID)	w(SI@LIQUID)	w(AL@MG2SI)	w(MG@MG2SI)	w(SI@MG2SI)	dwdT_L(AL@LIQUID)	dwdT_L(MG@LIQUID)	dwdT_L(SI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	SI	SI	SI				
628.4923063	97	2	1	1	0.9730225296	99.68936695	0.2982102357	0.0124228135				0	63.38009805	36.61990195				-628.4923063	0.9730225296	-85160.933902619	
628.4123063	97	2	1	1	0.9730215912	99.68946309	0.2981494024	0.01238751094				0	63.38009805	36.61990195				-628.4123063	0.9730215912	-85351.7767713611	
628.3323063	97	2	1	1	0.973020655	99.689559	0.2980887071	0.01235228843				0	63.38009805	36.61990195				-628.3323063	0.973020655	-85547.9887877838	
628.2523063	97	2	1	1	0.9730197209	99.6896547	0.2980281496	0.01231714588				0	63.38009805	36.61990195				-628.2523063	0.9730197209	-85745.1472730376	
628.1723063	97	2	1	1	0.973018789	99.68975019	0.2979677296	0.01228208317				0	63.38009805	36.61990195				-628.1723063	0.973018789	-85938.5375845041	
628.0923063	97	2	1	1	0.9730178591	99.68984545	0.2979074471	0.0122471002				0	63.38009805	36.61990195				-628.0923063	0.9730178591	-86132.8858937247	
628.0123063	97	2	1	1	0.9730169314	99.6899405	0.2978473018	0.01221219686				0	63.38009805	36.61990195				-628.0123063	0.9730169314	-86332.7096863929	
627.9323063	97	2	1	1	0.9730160058	99.69003533	0.2977872935	0.01217737303				0	63.38009805	36.61990195				-627.9323063	0.9730160058	-86528.8046787991	
627.8523063	97	2	1	1	0.9730150823	99.69012995	0.297727422	0.01214262862				0	63.38009805	36.61990195				-627.8523063	0.9730150823	-86730.515552693	
627.7723063	97	2	1	1	0.973014161	99.69022435	0.2976676872	0.01210796351				0	63.38009805	36.61990195				-627.7723063	0.973014161	-86928.3808695233	
627.6923063	97	2	1	1	0.9730132417	99.69031853	0.2976080889	0.01207337759				0	63.38009805	36.61990195				-627.6923063	0.9730132417	-87122.4712270679	
627.6123063	97	2	1	1	0.9730123245	99.6904125	0.2975486268	0.01203887077				0	63.38009805	36.61990195				-627.6123063	0.9730123245	-87322.1744966971	
